refseqid	cds_len	transcript_len
NM_145270	1716	2217
NM_014188	585	1303
NR_147951	0	572
NM_001144999	3009	6749
NM_013348	1311	2851
NM_013346	489	2400
NM_201559	2022	7314
NM_201557	840	1696
NR_134481	0	3209
NR_134480	0	3284
NR_135464	0	5133
NR_002946	0	906
NM_001270730	972	4804
NM_001270729	972	4975
NM_001348249	756	1659
NM_001348249	756	1659
NM_006656	1386	2748
NM_006643	1239	2310
NM_012200	1008	1641
NM_014016	1764	3745
NM_017545	1113	1746
NM_001127461	2940	4320
NM_001204285	1428	1811
NR_002946	0	906
NM_001195790	1767	1767
NM_001195422	1545	2595
NM_001195753	720	1384
NM_003948	1482	4718
NR_123734	0	2973
NR_125349	0	2881
NR_125339	0	1405
NR_123738	0	2163
NM_033219	1329	1636
NM_001319666	282	3534
NM_001319665	408	2005
NM_001319664	351	3531
NM_001319663	351	3513
NM_001319662	351	3368
NM_001319661	351	3347
NM_001319659	453	718
NM_001319658	453	759
NM_001319656	1029	3372
NM_001304441	1335	3147
NM_030674	1464	8484
NM_032548	1011	1987
NM_032547	369	1964
NM_032546	1203	2060
NR_135509	0	540
NM_001350039	2301	3069
NM_001350027	1113	1998
NM_001350025	1122	2007
NM_001350024	1203	2088
NR_136758	0	3923
NR_134526	0	608
NR_136757	0	3760
NR_136755	0	4385
NR_132313	0	3622
NR_132312	0	3922
NR_136749	0	3010
NR_146290	0	1253
NM_001195234	1359	2163
NM_052997	4026	4405
NR_038422	0	1173
NR_038399	0	1294
NR_038380	0	4654
NM_001195138	654	654
NM_003895	4839	7075
NR_024489	0	2248
NM_001207025	1440	6944
NR_125361	0	4929
NM_001324002	1416	3184
NM_020070	642	900
NM_021948	2736	3470
NM_020738	5316	7375
NM_021946	5136	7127
NM_021944	1617	2411
NM_021943	684	3333
NR_037844	0	4619
NM_001276696	909	2724
NM_001286270	951	2129
NR_121638	0	698
NR_029484	0	83
NR_029483	0	87
NR_029493	0	72
NR_029492	0	71
NR_029489	0	82
NR_029488	0	71
NR_029487	0	84
NR_029486	0	89
NM_001145712	294	600
NM_018699	1893	5349
NM_018698	594	2706
NM_018697	1353	4353
NR_015440	0	3708
NR_024371	0	620
NM_152261	351	3415
NM_144565	1452	2003
NR_036215	0	61
NM_001348024	2109	3637
NM_001348023	2109	4021
NM_001348019	1551	3068
NM_001348018	1551	3012
NM_001348017	1551	3139
NR_030277	0	95
NM_080656	351	1254
NM_080655	828	1810
NM_080654	690	2120
NM_080652	795	2827
NM_033487	1581	2774
NM_033068	1281	1347
NM_032112	480	1016
NM_080645	5700	8087
NM_001193508	3294	7122
NM_001193503	1176	1356
NM_001354277	5070	7646
NM_001354126	711	9148
NM_015530	1359	3177
NM_015516	1062	2710
NM_015513	1263	2696
NM_002378	1527	2079
NM_002377	978	1134
NM_001738	786	1304
NM_001735	5031	5464
NM_001354742	2343	3214
NR_045259	0	5677
NR_045494	0	2854
NR_024455	0	1952
NR_040065	0	568
NR_147024	0	937
NR_027088	0	2074
NR_147025	0	1026
NM_001098479	1329	1574
NM_001351385	1737	2340
NR_039612	0	73
NR_039838	0	70
NM_001178108	2073	4329
NM_001178109	1983	4239
NM_001302508	1755	3215
NM_001308170	2415	3512
NM_001318792	2499	3318
NM_206901	618	1111
NR_029509	0	75
NM_022473	5652	10881
NM_022468	1689	3551
NM_022467	1275	2479
NM_020977	5619	8203
NM_022463	1308	3024
NM_018557	13800	16531
NR_125997	0	378
NM_170736	1128	3061
NM_170735	744	4755
NR_103534	0	1640
NM_001351804	1878	3070
NM_004878	459	1787
NM_004874	1374	4464
NM_005643	636	1562
NR_036218	0	63
NM_001287510	417	2485
NM_001350942	993	2343
NM_002994	345	2488
NM_003799	1431	6249
NM_003825	636	2641
NM_003824	627	1853
NM_004640	1287	2160
NM_004640	1287	2160
NM_004640	1287	2160
NM_003828	1998	2765
NM_003017	495	3144
NM_003016	666	2963
NM_003829	6126	7609
NM_003019	1128	1283
NM_133639	711	1705
NM_133635	1290	2886
NM_133631	4821	7494
NM_144572	2892	6067
NM_144571	1668	8794
NM_144570	573	3683
NM_144569	3651	3962
NM_144568	834	1827
NM_144567	1635	4698
NR_104620	0	399
NR_104621	0	379
NM_001144906	792	1527
NM_001320613	3438	4732
NR_146204	0	662
NM_001146220	285	885
NR_038934	0	1003
NR_146202	0	1110
NR_146203	0	2417
NM_001318741	375	12743
NM_001318731	4536	5337
NM_001282190	1446	2018
NM_001320592	2121	4445
NM_001318730	4860	5338
NR_146199	0	432
NR_146200	0	507
NR_146201	0	451
NM_001320593	2121	4441
NM_001320598	1794	2816
NM_001320605	1356	1657
NM_001320608	861	2262
NM_001320606	1413	2242
NM_001282592	891	2790
NM_001282591	567	2453
NM_001284305	1413	3874
NM_001320611	1590	2473
NM_001284292	3483	4111
NM_001284303	1320	3563
NM_001320594	1887	4515
NM_001320600	639	1054
NM_001320599	1797	2430
NM_001324423	489	5982
NM_001203252	1233	5717
NM_001322309	1743	2686
NM_001954	752	1085
NM_001954	2631	3824
NM_002491	297	755
NM_002489	246	2058
NM_002488	300	726
NM_002878	987	2404
NM_003747	3984	9599
NM_001329847	3555	6965
NM_001347860	1047	3170
NM_001294344	1914	4855
NM_001321421	606	1238
NR_125998	0	495
NM_001134665	1020	3569
NM_001134664	309	1405
NM_001134663	309	1561
NM_001134651	675	6076
NM_001134650	357	6085
NM_001291416	4227	5805
NR_125999	0	694
NR_132752	0	114
NM_001160213	2649	3675
NM_001346793	1002	1521
NM_001347030	1170	2113
NR_106786	0	89
NR_038351	0	446
NM_001177984	5820	11433
NM_006388	1542	2233
NM_021956	2727	4592
NM_031898	1473	1784
NM_031896	828	2345
NM_024867	5469	5638
NM_031894	552	813
NM_021950	894	3331
NR_132742	0	4157
NR_132738	0	981
NM_001304341	456	1710
NM_004712	2334	2972
NR_104623	0	2363
NR_104622	0	2363
NM_001346890	1671	3375
NM_001346862	2421	3268
NM_001290117	567	2515
NM_001288715	3405	5287
NR_027045	0	1823
NR_126366	0	958
NR_126367	0	534
NR_126368	0	531
NM_001322270	2196	4919
NM_001258269	3882	6394
NM_001322272	2349	5277
NM_001080792	558	1710
NM_001080791	585	1920
NM_001048183	2109	6239
NM_001242487	5514	6048
NM_001346591	993	3153
NM_001346590	993	3085
NM_001346581	1692	9566
NM_001997	402	575
NM_004518	2535	9179
NM_005452	1833	2363
NM_001331125	264	588
NR_049882	0	78
NR_138250	0	870
NM_001135555	2022	3473
NM_001135554	2022	3460
NM_001290276	1011	3131
NM_001290271	1473	2362
NM_058207	243	444
NM_058238	1050	3912
NM_058243	4089	5198
NM_058248	462	1009
NM_058246	981	2476
NM_058244	1056	1722
NR_125730	0	105
NM_001308068	2151	4995
NM_001308061	372	4578
NM_001270517	417	1496
NM_198544	495	1319
NM_199006	234	1252
NR_036462	0	1431
NM_001243768	432	1383
NR_033823	0	1605
NR_045929	0	1745
NM_170699	993	1382
NM_152704	2016	10605
NM_170693	1104	1909
NM_172362	2970	8106
NM_172361	1068	3168
NM_001304487	270	903
NM_001324230	1071	2172
NM_012312	915	1573
NM_014574	2142	3970
NM_014573	531	2568
NM_014571	987	4114
NM_014569	2520	4344
NM_015896	1323	1794
NR_135061	0	541
NR_135062	0	445
NR_135063	0	371
NM_001351133	1920	3456
NM_001352373	2583	5066
NM_001352370	2367	4890
NR_046600	0	706
NM_001329478	399	7215
NM_001329493	921	3587
NM_001352869	3039	6151
NR_104624	0	1284
NM_001326304	1350	3683
NM_001330635	4488	7720
NM_033028	1560	2498
NM_001277348	438	2474
NM_033035	480	2629
NM_080622	1410	1776
NM_001090	2424	3350
NM_002048	1038	2828
NM_001353511	2076	2959
NM_001379	4851	5410
NR_126000	0	1868
NM_001352220	576	2857
NM_001352219	876	3112
NM_001352218	576	2929
NM_001352217	573	2854
NR_037806	0	1662
NM_015254	5481	8766
NM_001243609	438	3642
NM_001244682	1317	2903
NM_001349264	1962	6171
NM_001346548	1746	2800
NR_106787	0	65
NM_001146314	633	2243
NR_107000	0	96
NM_004186	2358	3520
NM_001317814	801	4904
NM_001317813	801	4957
NM_001317812	564	5310
NM_001317803	1110	1409
NM_001318901	1176	3289
NM_001321983	1149	6409
NM_001321982	1215	2831
NM_001321981	1701	4845
NM_001320910	1188	3097
NR_003022	0	152
NR_003025	0	152
NM_001304449	1770	1867
NM_001304447	1698	4729
NR_106788	0	67
NR_111984	0	3832
NM_002199	1050	2286
NR_146629	0	442
NM_001206992	1449	1855
NM_002940	1800	4194
NM_001206954	978	1303
NM_001112717	3174	6243
NM_001084393	405	1635
NR_111945	0	2214
NR_111947	0	2214
NM_001130028	1917	2696
NR_111945	0	2215
NR_111947	0	2215
NM_001128850	927	1476
NM_002247	3537	6103
NM_001206954	978	1303
NM_001206954	978	1303
NM_001204419	1362	5710
NM_001024661	1425	2164
NM_001291380	1425	2164
NM_001141945	1134	1765
NM_001135671	579	1637
NM_001135670	588	1415
NM_001204420	1308	5656
NM_001206954	978	1303
NM_001024661	1425	2164
NM_001291380	1425	2164
NM_001135751	720	1069
NM_001135748	651	2064
NM_001291723	1488	2731
NM_145685	1422	3570
NM_001115152	585	1303
NM_001131066	633	1645
NM_001320257	1512	4526
NM_001320252	645	2883
NM_001320247	1842	2367
NM_001330719	1110	1668
NM_145064	1095	1654
NM_152628	1323	2455
NM_152625	2235	6278
NM_152624	1263	10198
NR_027136	0	6979
NM_001255983	744	1633
NR_135082	0	1748
NM_001352309	1965	6564
NR_149049	0	552
NR_149058	0	1247
NM_001304344	855	3634
NM_005693	1344	1931
NM_006479	1008	2218
NM_006476	312	1338
NM_012175	1416	2408
NM_001246	1419	2031
NM_198141	2745	4586
NM_001354599	1368	4752
NM_001354597	1224	4732
NM_001199828	270	655
NM_001199824	1079	1269
NM_001350174	2292	2590
NR_109898	0	6299
NR_135613	0	139
NM_001349347	822	2563
NM_001349346	858	2599
NM_001347148	414	966
NM_173600	24668	24831
NM_001261451	849	2194
NM_001321233	3453	4082
NM_001321232	3423	5323
NR_024279	0	2732
NM_001349417	1878	7448
NR_039973	0	66
NM_001160708	3228	4120
NM_001174168	1839	4919
NM_001242524	783	1772
NM_001242524	783	1772
NM_001242524	783	1772
NM_001242524	783	1772
NM_001350590	693	2630
NM_012391	1008	1914
NM_014630	3804	8179
NM_001257401	471	946
NM_001257407	2433	3800
NM_001316957	444	731
NM_001316952	654	1642
NM_001316951	1023	2215
NM_001316944	624	2354
NM_001316943	969	2699
NM_001316942	822	1972
NM_001303109	1404	3070
NM_001303104	2268	4078
NM_001303103	2343	4153
NM_001318943	519	1454
NM_078470	1233	5569
NM_001351555	1731	2267
NM_018310	1260	2000
NM_016733	1854	3848
NM_020920	6909	7475
NR_073500	0	3390
NR_073501	0	3766
NR_073502	0	3645
NR_073503	0	3642
NR_148413	0	3442
NM_001297666	666	1751
NR_147210	0	3245
NR_147211	0	1689
NR_023386	0	5368
NR_135765	0	2567
NR_135764	0	1546
NR_037446	0	74
NM_001351855	2664	3604
NM_001352060	783	2006
NR_026752	0	1765
NR_027504	0	2636
NR_037446	0	74
NR_026567	0	2015
NM_001271733	2070	4668
NR_135824	0	1797
NR_037446	0	73
NR_135765	0	2569
NR_135056	0	511
NR_135057	0	508
NR_135058	0	367
NR_135059	0	364
NM_001348515	1407	3728
NM_001348514	1527	3848
NM_001348513	1626	3947
NM_001348512	1761	4082
NM_001348509	4071	6999
NM_001351050	810	1088
NM_001351049	834	3278
NM_001351039	1146	2551
NM_001351038	1146	2608
NM_001351037	1785	2686
NM_001351036	1785	2654
NR_039768	0	87
NM_001305206	282	4706
NM_175884	708	6827
NM_172313	2352	2989
NM_031215	1437	3785
NR_137287	0	5235
NR_137288	0	5115
NM_001352937	2268	3174
NM_001352936	2337	3050
NM_001352935	2442	3368
NM_001352934	2448	3211
NM_001352933	2568	3343
NM_001352932	2628	3260
NM_001352931	2652	3435
NR_125946	0	2470
NM_001307923	1203	3207
NM_001326	2154	2823
NM_018302	945	3633
NM_018301	1242	6935
NM_018300	1551	2601
NM_018299	543	8426
NM_015192	3651	7089
NM_018296	2265	2401
NM_022103	1833	3860
NM_022101	669	2326
NR_039844	0	74
NM_001130009	2727	6902
NM_006504	2103	5331
NM_001322907	621	2342
NM_001322906	621	2141
NM_001322905	621	2147
NM_001322904	621	2184
NM_001322903	621	2214
NM_001322902	621	2118
NR_135115	0	491
NR_135114	0	622
NM_001242956	1206	4242
NM_001243	1788	3686
NM_001242992	1782	2945
NM_001243013	2112	3341
NM_001243007	1779	3878
NM_001308023	5145	10004
NM_001318757	810	2239
NM_001350324	960	4239
NM_001348421	996	2362
NM_198562	804	3590
NM_001324322	639	2162
NR_037847	0	2490
NM_001256689	1860	2400
NM_001349902	1950	4812
NM_001349901	2181	5108
NM_001199570	1644	3456
NR_109848	0	2719
NM_001193465	3315	5137
NM_001193314	1482	2969
NM_001319106	1035	7108
NM_001319105	915	6657
NR_135054	0	207
NR_033757	0	3911
NR_033758	0	3805
NM_001204088	588	2210
NM_001204089	546	2025
NR_077246	0	838
NM_033437	2472	6772
NM_001320080	516	4315
NM_001185010	342	2801
NM_001278422	1809	2337
NM_001281513	1359	2271
NM_001278441	1176	1646
NM_001278442	957	1617
NM_033377	468	732
NM_031477	474	1588
NM_031468	786	9461
NM_033364	2304	4433
NM_033363	417	973
NM_033362	417	1046
NM_024771	714	3681
NM_024770	1224	9792
NM_024769	1122	2955
NM_031458	2565	3343
NR_110078	0	509
NR_147205	0	479
NM_001105659	1875	2862
NR_033887	0	3783
NM_170692	3843	10881
NR_106732	0	110
NR_046507	0	4443
NM_001321463	1689	3730
NM_001321449	741	944
NM_001321445	627	2148
NM_001320437	4869	6050
NM_001350417	2526	5267
NM_001350416	3045	5786
NM_001351335	612	2655
NM_001351334	612	2100
NM_001351333	618	1665
NM_001351332	732	1783
NM_001351330	732	1783
NR_031657	0	119
NM_001136000	3195	11631
NM_001136001	1629	2140
NM_001346992	915	1572
NM_001346979	378	1421
NM_001346978	378	1119
NM_001346973	3963	4869
NR_038404	0	2574
NM_001171968	2520	3471
NM_001171990	816	4765
NM_001270837	849	1676
NM_004382	1248	2577
NM_005074	1404	1843
NM_006045	3144	7622
NR_046176	0	4343
NM_001164246	1269	3800
NM_001164245	1296	3827
NM_001267549	522	2630
NM_001267548	606	2456
NM_001270873	762	1512
NM_001270841	264	869
NM_001286661	435	2037
NM_001286660	408	2440
NM_001286659	3708	6237
NM_001281782	3411	5177
NM_001281781	3267	5033
NM_001286668	2997	3331
NM_001293675	480	1547
NM_001309431	546	4090
NM_001309427	627	983
NM_001309426	1017	1373
NM_001309193	3168	10943
NM_001321225	3690	4174
NM_001282519	810	1631
NM_001282517	531	1439
NM_001282516	732	1582
NM_001286243	1572	1888
NM_001282505	945	1663
NM_001349232	2112	5406
NM_001349186	630	5571
NM_001349185	807	2507
NM_001349184	879	5573
NM_001349183	879	5702
NM_001349182	879	5726
NM_001349181	957	2689
NM_001349117	1428	3545
NM_001184718	1974	3683
NM_001184717	1974	4118
NM_001178125	990	3188
NM_001286762	1908	3970
NM_001291661	9313	9576
NM_001289061	1545	2615
NM_001291641	1956	4088
NM_001304437	1074	1879
NM_001297779	483	1094
NR_110692	0	698
NR_102318	0	5575
NR_102733	0	2898
NR_102732	0	3096
NR_102422	0	3943
NR_102333	0	1667
NR_039613	0	62
NM_001122898	510	1243
NM_001102575	1875	5219
NM_001251852	1485	4380
NM_001346348	1443	6067
NM_005636	567	1217
NR_106742	0	109
NM_001320494	822	10257
NM_001320493	963	2479
NM_001320488	1140	1744
NM_022900	2394	3879
NM_022899	1875	3628
NM_001350790	1728	1987
NR_039832	0	82
NR_036214	0	68
NM_001202544	1989	2984
NM_001312688	1518	6384
NM_001318532	327	2528
NR_036057	0	68
NR_039614	0	77
NM_006544	2127	8511
NR_110616	0	3511
NM_001130861	912	2314
NM_001130860	3483	4444
NM_001130867	1218	1735
NM_001130914	891	1594
NM_000693	1539	3607
NM_001278784	768	1586
NM_001287755	1011	4271
NR_033690	0	2867
NR_033691	0	692
NM_001304496	789	2869
NM_001300796	387	2492
NM_001304802	1413	2301
NM_001350642	1293	4238
NM_001350641	1293	4582
NM_001350640	1293	4378
NR_110799	0	1212
NM_001304360	4920	5412
NM_005792	483	1101
NM_005789	765	3437
NM_001304504	1044	4043
NR_038280	0	1084
NM_001353520	1461	2675
NM_002072	1080	6343
NM_001353518	1524	2738
NM_002066	477	723
NM_001353517	1524	2869
NM_001195578	336	2755
NM_001166108	3372	5860
NR_039615	0	78
NM_001350672	2211	4175
NM_001145962	3264	4670
NM_001207073	879	1522
NM_001207072	879	1652
NM_001207074	879	1468
NM_001324255	7029	11732
NM_018703	5277	6734
NM_018702	2220	8426
NM_020377	1041	4957
NM_019074	2058	3420
NM_019058	699	1749
NR_027087	0	1846
NM_133372	3501	6614
NM_014722	3207	5678
NM_016048	897	1940
NM_016047	378	771
NM_032259	2373	3269
NM_032258	1650	2079
NM_032258	1650	2079
NM_032258	1650	2079
NM_032258	1650	2079
NM_032257	1098	1774
NM_032256	1545	2999
NM_025188	1743	3581
NM_025180	2112	6086
NM_025160	1986	6872
NM_032246	1710	3530
NM_022148	767	856
NM_024701	837	2727
NM_024700	1191	4605
NM_024693	912	1654
NR_136506	0	5334
NR_136507	0	4841
NR_136508	0	5295
NR_045408	0	530
NR_045409	0	437
NR_144360	0	378
NM_001166347	1821	2923
NM_001330272	1545	8098
NM_001166348	1821	2853
NR_109781	0	973
NM_001083965	1686	2841
NM_001207006	462	707
NM_001206999	6210	8708
NM_001322324	1545	6246
NM_001322323	1524	2272
NM_001324504	969	2702
NM_001351506	1803	5317
NR_106789	0	72
NR_039623	0	84
NM_001349385	1491	2341
NM_152787	2139	6787
NM_152764	1329	1715
NR_135143	0	3018
NR_135144	0	2093
NR_135778	0	2367
NR_135780	0	2471
NR_135781	0	2138
NR_135782	0	1820
NR_135783	0	1547
NR_135784	0	2906
NR_135785	0	1546
NR_135786	0	2893
NR_135777	0	2993
NR_135787	0	3142
NR_135788	0	3084
NR_135789	0	4022
NM_001130822	327	2362
NM_001195728	1698	11644
NM_001197129	471	2821
NM_001197219	2064	7744
NM_001197140	486	1039
NM_001197139	486	993
NM_001197184	1002	1077
NM_001350144	1314	3374
NR_135790	0	3511
NR_135791	0	3690
NR_135792	0	3302
NR_135793	0	3356
NM_001329790	708	1814
NM_001257072	258	1747
NM_001256172	264	1554
NM_001256358	405	2403
NM_181050	2481	3552
NM_001321996	795	3416
NM_001321995	1056	3316
NM_001321994	1002	5556
NM_001432	510	4628
NM_031475	2565	3531
NR_024498	0	3653
NM_001351818	1749	2917
NM_153609	2436	3194
NM_022873	417	860
NM_022872	405	848
NM_020935	2940	8032
NR_037481	0	93
NM_001304549	468	934
NM_001304531	987	2160
NM_005649	1818	2555
NM_005647	1734	5715
NM_018082	3402	4273
NM_020749	1311	3803
NM_018075	1983	2743
NM_018073	1458	3352
NM_016318	1344	1795
NM_052847	207	4246
NM_052844	1611	1818
NR_110698	0	1078
NM_001193270	1530	2330
NM_001256370	1326	2185
NM_002941	4956	6839
NM_002846	2940	3784
NM_004637	624	2232
NM_032876	1617	4262
NM_032875	1311	10381
NM_032867	2088	6038
NM_032861	1965	3969
NM_053050	339	655
NM_053049	486	1200
NM_053046	1224	2245
NM_053044	1362	2541
NM_053034	1107	1636
NM_053032	465	2587
NM_053028	5385	7476
NM_153698	681	1225
NR_125952	0	783
NR_125953	0	662
NM_001291633	1998	4259
NM_001288995	360	621
NM_001288986	4851	5828
NM_001289050	909	2012
NM_001289049	1392	3345
NM_001289048	1392	3400
NR_031740	0	52
NR_135804	0	2222
NM_001290043	2061	5732
NM_001290043	2061	5732
NM_003282	549	731
NM_003281	564	6143
NM_002513	510	1014
NM_001352714	3189	4583
NM_016354	2169	2776
NM_001282630	1605	4338
NM_207414	3957	4167
NR_037576	0	1767
NR_037577	0	1702
NR_037580	0	1855
NR_033926	0	2652
NM_001177381	3024	6797
NM_016154	642	1189
NM_001350221	3513	6214
NM_016133	678	2649
NM_001351145	468	647
NM_001351144	2082	2491
NM_006243	1461	3128
NM_033104	2718	12942
NM_001278121	1176	7445
NM_173694	3399	6118
NM_001297649	498	1379
NM_001303128	315	1746
NM_001303127	570	1946
NM_001303126	546	1287
NM_001303124	1305	2289
NM_001321510	864	2755
NM_001321509	1239	3260
NM_002153	1164	1434
NM_003789	939	1482
NM_003787	1917	3957
NM_002152	2100	2384
NM_002150	1182	1423
NM_015971	729	1415
NM_020328	1641	4687
NM_020325	1779	3328
NR_002997	0	166
NM_001112724	1191	1693
NM_001320945	1071	1743
NM_001354618	1548	2889
NR_027751	0	3702
NM_001354994	2721	6477
NM_001122823	1581	2441
NM_015901	1059	2186
NM_001170820	687	3709
NM_001172410	594	975
NM_001348535	1308	2274
NM_001348527	1557	2205
NR_104214	0	1852
NM_001139510	924	2117
NM_007371	2181	5635
NM_007367	873	4725
NM_007168	4746	5723
NM_007172	1407	5223
NM_006312	7545	8857
NM_007366	4392	5633
NM_014231	357	2957
NM_014230	1884	2850
NR_002909	0	2238
NR_036473	0	2346
NM_001098800	2220	2586
NM_207416	2754	4927
NM_207418	450	2393
NM_207417	963	1848
NR_004404	0	205
NM_001113492	1269	4000
NM_001113491	1761	3825
NM_001174090	2757	3252
NM_001351591	666	1381
NR_003109	0	2015
NR_135806	0	7005
NR_135808	0	6806
NR_135807	0	6851
NR_003077	0	80
NR_002987	0	130
NR_002976	0	132
NR_003035	0	134
NM_004019	1023	1571
NR_146731	0	596
NR_146730	0	1115
NM_198436	1212	2266
NM_198435	1212	2170
NM_198434	1212	2280
NM_198433	1212	2589
NM_198406	1035	2029
NM_198400	3744	7022
NM_001143668	1569	3058
NM_001316339	894	1802
NM_001320108	519	3205
NM_152836	1035	3210
NM_145332	1557	5051
NM_152864	627	1430
NM_145689	2127	2678
NM_152858	456	1848
NM_152857	456	1716
NM_145341	1377	3698
NM_145333	1476	4970
NM_139215	1779	2191
NM_152837	948	3123
NM_001320522	1344	2904
NR_145417	0	3563
NR_146165	0	2486
NR_146167	0	8825
NM_001145463	876	2854
NM_001145462	852	2738
NM_001145461	894	2762
NM_001319140	576	2877
NM_001319139	555	3789
NM_001321054	309	1150
NM_014009	1296	2382
NM_014942	2169	5340
NM_012401	5517	6335
NM_014945	2052	4381
NR_110758	0	2148
NR_110790	0	1519
NM_001304957	996	2151
NR_034182	0	2050
NM_001814	1392	1921
NR_039616	0	77
NR_146732	0	1020
NM_001348491	4263	7010
NM_001348520	2442	3501
NM_001348516	1290	3651
NR_004054	0	88
NR_033295	0	88
NR_004054	0	88
NR_033295	0	88
NR_003066	0	75
NM_003246	3513	7243
NM_004132	1683	3059
NM_004130	1053	2022
NM_003355	930	1646
NM_004127	1476	1886
NM_004126	222	954
NM_003353	375	795
NM_002478	963	1806
NM_002474	5919	6882
NM_003340	444	3961
NM_003334	3177	3599
NM_001146152	1215	2934
NM_001160227	6993	7449
NM_001146116	4704	7278
NM_032826	996	6815
NM_031263	1395	2945
NM_032824	1668	5212
NR_028469	0	6684
NR_027085	0	2741
NM_001323365	996	3399
NM_001323364	564	3507
NM_001324381	2685	3871
NM_000304	483	1861
NR_037657	0	768
NM_001302695	201	1096
NM_001293069	1632	3269
NM_001292049	1026	2900
NM_001292048	606	2493
NM_001292046	450	743
NM_001302680	537	927
NM_001292045	477	770
NM_001302670	693	1172
NM_001302654	441	773
NM_001302653	573	1328
NM_001302652	591	1238
NM_001302648	375	5372
NM_001302647	375	5407
NM_001302646	375	5537
NM_001302645	375	5366
NR_036216	0	76
NM_001170765	1302	10364
NM_001168340	2010	3222
NM_018676	2559	3347
NM_003598	1344	2161
NM_003597	1539	4030
NM_002075	1023	1730
NM_002070	1068	2258
NM_198053	495	1681
NM_198992	1572	3286
NM_198991	774	1747
NM_198990	1182	5062
NM_198988	1506	1916
NM_198977	2640	3114
NR_049850	0	59
NM_001323935	1341	2844
NM_001323934	1260	1899
NM_030933	1962	2474
NM_024605	2361	3056
NM_030930	1793	2321
NR_133635	0	1435
NR_133636	0	1576
NR_133634	0	1269
NM_001318469	1224	3389
NR_026850	0	2324
NM_004896	984	4256
NM_005652	1629	2983
NM_005648	339	2092
NM_004865	561	1328
NM_006601	483	2030
NR_052852	0	1337
NM_001144767	1335	2500
NM_012397	1176	3180
NM_012396	384	2726
NM_006628	339	5468
NM_006625	552	4076
NM_012394	465	642
NM_012393	4017	5385
NR_125352	0	3438
NM_001136234	2742	5160
NM_001136233	2532	5179
NM_001278174	2100	6196
NM_001278173	2490	6200
NM_001278171	2100	6244
NM_001278170	2454	6065
NM_022820	1515	1721
NM_030666	1140	2662
NM_030665	5721	7660
NM_030662	1203	1733
NM_030660	921	6758
NM_030653	2721	3927
NM_004350	1248	4270
NM_004494	723	2387
NM_004347	1305	1454
NM_003584	1134	1639
NR_135106	0	4258
NR_135107	0	4215
NM_001168394	1254	2470
NM_004902	1575	2856
NM_004900	1149	1538
NM_005822	594	3418
NM_004899	1248	1965
NM_005030	1812	2277
NM_012227	865	1189
NM_012225	816	1391
NM_020117	3531	4905
NM_021095	1908	3252
NM_001330209	2919	3523
NR_134976	0	3576
NM_001256296	420	939
NM_001253729	2130	3707
NM_001291877	8628	9477
NM_001301036	1341	5896
NM_001301033	3039	3906
NM_001301032	3246	5553
NM_001301031	3210	5517
NM_013373	2298	5012
