readType	refseqid	row	juncpos5	juncpos3	num_NC.42
3UTR	NM_001278289	61859	210882283	210884393	8
3UTR	NM_001278289	61859	210882945	210884393	1
3UTR	NM_001278289	61859	210884684	210885691	1
3UTR	NM_001282710	40247	11318234	11318246	9
3UTR	NM_001282711	40254	11312171	11317863	4
3UTR	NM_001282711	40254	11315135	11317863	9
3UTR	NM_001282711	40254	11318234	11318246	9
3UTR	NM_001282712	32694	11312171	11317863	4
3UTR	NM_001282712	32694	11315135	11317863	9
3UTR	NM_001282712	32694	11318234	11318246	9
3UTR	NM_001282723	32634	20901330	20886854	2
3UTR	NM_001282724	32637	20901330	20886854	2
3UTR	NM_001282958	48246	233431924	233445614	3
3UTR	NM_001282972	32091	242289618	242291382	52
3UTR	NM_001282973	57864	242289618	242291382	52
3UTR	NM_001282983	45397	242403395	242405089	1
3UTR	NM_001287503	25476	182787139	182794288	2
3UTR	NM_001287503	25476	182793005	182794288	23
3UTR	NM_001287504	25464	182787139	182794288	2
3UTR	NM_001287504	25464	182793005	182794288	23
3UTR	NM_001288838	55471	58373609	58386484	18
3UTR	NM_001288838	55471	58381937	58386484	3
3UTR	NM_001291328	30533	24387204	24392225	9
3UTR	NM_001291328	30533	24390552	24392225	11
3UTR	NM_001304536	21583	222289929	222285272	3
3UTR	NM_001304537	21582	222289929	222285272	3
3UTR	NM_001308021	62391	208446518	208445722	1
3UTR	NM_001308022	21279	218931940	218664961	1
3UTR	NM_001308023	641	218931940	218664961	1
3UTR	NM_001308042	30329	202025665	202028558	2
3UTR	NM_001308042	30329	202027807	202028558	1
3UTR	NM_001308042	30329	202028807	202031877	2
3UTR	NM_001308824	6728	198285152	198283675	1
3UTR	NM_001318909	26853	27550044	27549085	3
3UTR	NM_001318926	34003	210884684	210885691	1
3UTR	NM_001318927	34002	210884684	210885691	1
3UTR	NM_001318928	34001	210884684	210885691	1
3UTR	NM_001318929	34000	210884684	210885691	1
3UTR	NM_001318930	33999	210884684	210885691	1
3UTR	NM_001318931	33998	210884684	210885691	1
3UTR	NM_001319100	17586	65309843	65310773	5
3UTR	NM_001319101	17585	65309843	65310773	5
3UTR	NM_001320418	10929	99786013	99785933	5
3UTR	NM_001320589	48783	54365885	54531825	8
3UTR	NM_001320589	48783	54450220	54531825	1
3UTR	NM_001320903	36183	242617867	242615652	3
3UTR	NM_001320965	1420	242169248	242167825	1
3UTR	NM_001320966	8595	242169248	242167825	1
3UTR	NM_001321029	28071	242289618	242291382	52
3UTR	NM_001321030	28070	242289618	242291382	52
3UTR	NM_001321031	28069	242289618	242291382	52
3UTR	NM_001321032	28068	242289618	242291358	3
3UTR	NM_001321032	28068	242289618	242291382	52
3UTR	NM_001321033	7783	242289618	242291382	52
3UTR	NM_001321034	52044	242289618	242291382	52
3UTR	NM_001321035	19977	242289618	242291382	52
3UTR	NM_001321109	30938	220047309	220048002	2
3UTR	NM_001321110	12543	220047309	220048002	2
3UTR	NM_001321210	6005	32239251	32237121	1
3UTR	NM_001321454	41415	100017749	100017400	1
3UTR	NM_001321455	39552	100017749	100017400	1
3UTR	NM_001321458	38975	100017749	100017400	1
3UTR	NM_001321459	39463	100017749	100017400	1
3UTR	NM_001321460	39464	100017749	100017400	1
3UTR	NM_001321468	21046	39971510	39964199	9
3UTR	NM_001321474	21042	39971510	39964199	9
3UTR	NM_001321475	21041	39971510	39964199	9
3UTR	NM_001321499	12144	110303627	110301901	5
3UTR	NM_001321499	12144	110303627	110302668	1
3UTR	NM_001321500	12143	110303627	110301901	5
3UTR	NM_001321500	12143	110303627	110302668	1
3UTR	NM_001321501	60520	110303627	110301901	5
3UTR	NM_001321501	60520	110303627	110302668	1
3UTR	NM_001321502	60519	110303627	110301901	5
3UTR	NM_001321502	60519	110303627	110302668	1
3UTR	NM_001321503	44407	110303627	110301901	5
3UTR	NM_001321503	44407	110303627	110302668	1
3UTR	NM_001321504	44406	110303627	110301901	5
3UTR	NM_001321504	44406	110303627	110302668	1
3UTR	NM_001321507	25185	110303627	110301901	5
3UTR	NM_001321507	25185	110303627	110302668	1
3UTR	NM_001321508	25184	110303627	110301901	5
3UTR	NM_001321508	25184	110303627	110302668	1
3UTR	NM_001321511	57583	110303627	110301901	5
3UTR	NM_001321511	57583	110303627	110302668	1
3UTR	NM_001321512	25161	110303627	110301901	5
3UTR	NM_001321512	25161	110303627	110302668	1
3UTR	NM_001321513	25160	110303627	110301901	5
3UTR	NM_001321513	25160	110303627	110302668	1
3UTR	NM_001321731	11017	72411204	72406590	5
3UTR	NM_001321743	38091	131810464	131810025	8
3UTR	NM_001321744	48692	131810464	131810025	8
3UTR	NM_001321745	58847	131810464	131810025	8
3UTR	NM_001321746	11966	131810464	131810025	8
3UTR	NM_001321747	11965	131810464	131810025	8
3UTR	NM_001321748	48690	131810464	131810025	8
3UTR	NM_001322373	54240	37428869	37429006	8
3UTR	NM_001322373	54240	37428869	37431443	2
3UTR	NM_001322373	54240	37428869	37431447	6
3UTR	NM_001322374	15586	37428869	37429006	8
3UTR	NM_001322374	15586	37428869	37431443	2
3UTR	NM_001322374	15586	37428869	37431447	6
3UTR	NM_001322375	15585	37428869	37431447	6
3UTR	NM_001322376	27662	37428869	37431443	2
3UTR	NM_001322376	27662	37428869	37431447	6
3UTR	NM_001329113	33134	28521358	28561317	15
3UTR	NM_001329113	33134	28533020	28561317	3
3UTR	NM_001329113	33134	28550314	28561317	11
3UTR	NM_001329114	33131	28521358	28561317	15
3UTR	NM_001329114	33131	28533020	28561317	3
3UTR	NM_001329114	33131	28550314	28561317	11
3UTR	NM_001330131	36372	208446518	208445722	1
3UTR	NM_001330132	8412	208446518	208445722	1
3UTR	NM_001330133	8411	208446518	208445722	1
3UTR	NM_001330135	47281	208446518	208445722	1
3UTR	NM_001330136	47280	208446518	208445722	1
3UTR	NM_001330196	60654	239359392	239360426	3
3UTR	NM_001330201	25643	233431924	233433762	1
3UTR	NM_001330202	25642	233431924	233433762	1
3UTR	NM_001330203	25641	233431924	233445614	3
3UTR	NM_001330247	15560	178084042	178084136	28
3UTR	NM_001330251	15734	178084042	178084136	28
3UTR	NM_001330314	12864	114475330	114472772	6
3UTR	NM_001330315	55449	114475330	114472772	6
3UTR	NM_001330459	50677	38525286	38523255	14
3UTR	NM_001330460	21405	38525286	38523255	14
3UTR	NM_001330461	21404	38525286	38523255	14
3UTR	NM_001330462	47169	38525286	38523255	14
3UTR	NM_001330463	47168	38525286	38523255	14
3UTR	NM_001349287	36302	242289618	242291382	52
3UTR	NM_001349288	36301	242289618	242291382	52
3UTR	NM_001349289	36300	242289618	242291358	3
3UTR	NM_001349289	36300	242289618	242291382	52
3UTR	NM_001349290	15773	242289618	242291382	52
3UTR	NM_001349291	15772	242289618	242291382	52
3UTR	NM_001349302	48724	242289618	242291382	52
3UTR	NM_001349304	37679	242289618	242291382	52
3UTR	NM_001349305	62125	242289618	242291382	52
3UTR	NM_001349306	35235	242289618	242291382	52
3UTR	NM_001349307	35234	242289618	242291382	52
3UTR	NM_001349308	29101	242289618	242291382	52
3UTR	NM_001349309	17677	242289618	242291382	52
3UTR	NM_001349310	7029	242289618	242291382	52
3UTR	NM_001349311	31543	242289618	242291382	52
3UTR	NM_001349312	31542	242289618	242291382	52
3UTR	NM_001349313	31541	242289618	242291382	52
3UTR	NM_001349314	31540	242289618	242291382	52
3UTR	NM_001349315	8857	242289618	242291382	52
3UTR	NM_001350854	23029	200684295	200625558	1
3UTR	NM_001351520	57954	70452460	70451761	1
3UTR	NM_001351520	57954	70452597	70451761	1
3UTR	NM_001351520	57954	70454867	70451761	5
3UTR	NM_001351522	57952	70452460	70451761	1
3UTR	NM_001351522	57952	70452597	70451761	1
3UTR	NM_001351522	57952	70454867	70451761	5
3UTR	NM_001351559	58062	109473426	109492544	2
3UTR	NM_001351561	58061	109473426	109492544	2
3UTR	NM_001351590	22116	202025665	202028558	2
3UTR	NM_001351590	22116	202027807	202028558	1
3UTR	NM_001351590	22116	202028807	202031877	2
3UTR	NM_001351593	13209	202028807	202031877	2
3UTR	NM_001351594	13208	202028807	202031877	2
3UTR	NM_001353969	59876	74087278	74089330	21
3UTR	NM_001353969	59876	74087716	74089330	2
3UTR	NM_001353970	13852	74087278	74089330	21
3UTR	NM_001353970	13852	74087716	74089330	2
3UTR	NM_001353976	13851	74087278	74089330	21
3UTR	NM_001353976	13851	74087716	74089330	2
3UTR	NM_001354347	24593	190615276	190612057	1
3UTR	NM_001354587	13591	97915910	97930066	3
3UTR	NM_001355251	51364	110969792	110969199	30
3UTR	NM_001521	36787	27550044	27549085	3
3UTR	NM_001927	14527	220018544	220291306	1
3UTR	NM_001927	14527	220031689	220290736	1
3UTR	NM_001927	14527	220167561	220291315	1
3UTR	NM_001927	14527	220180059	220290773	1
3UTR	NM_001927	14527	220290392	220290839	1
3UTR	NM_001927	14527	220291274	220291323	2
3UTR	NM_001927	14527	220291283	220291344	1
3UTR	NM_001927	14527	220291313	220291347	1
3UTR	NM_002166	27946	8823036	8823815	185
3UTR	NM_002398	32074	66795888	66798378	18
3UTR	NM_002398	32074	66796277	66798378	20
3UTR	NM_002518	47642	101609989	101612258	4
3UTR	NM_002665	33876	88053153	88056339	1
3UTR	NM_002807	10979	232035435	232037249	47
3UTR	NM_003872	21031	206661919	206662332	1
3UTR	NM_003879	3485	202028807	202031877	2
3UTR	NM_004379	60522	208462207	208463804	1
3UTR	NM_004404	34284	242289618	242291382	52
3UTR	NM_004438	13457	222289929	222285272	3
3UTR	NM_004846	33066	233431924	233433762	1
3UTR	NM_004899	1175	28521358	28561317	15
3UTR	NM_004899	1175	28533020	28561317	3
3UTR	NM_004899	1175	28550314	28561317	11
3UTR	NM_005019	45163	183011763	183007765	1
3UTR	NM_005336	17635	242169248	242167825	1
3UTR	NM_005544	29703	227659705	227600966	6
3UTR	NM_006036	24427	44546145	44545528	2
3UTR	NM_006155	62113	242289618	242291382	52
3UTR	NM_006736	10120	220149557	220150709	15
3UTR	NM_006736	10120	220149557	220151454	1
3UTR	NM_006857	51948	70131557	70131644	1
3UTR	NM_006916	32608	210884684	210885691	1
3UTR	NM_014171	33953	46851368	46851924	1
3UTR	NM_014369	48664	131130793	131132655	1
3UTR	NM_014607	54583	136540453	136541079	1
3UTR	NM_014614	54580	54093222	54092710	4
3UTR	NM_014911	50022	69692571	69689115	1
3UTR	NM_015147	43578	65309843	65310773	5
3UTR	NM_015320	15040	131803861	131803911	1
3UTR	NM_016316	11401	100017749	100017400	1
3UTR	NM_016510	57972	239007201	239007230	4
3UTR	NM_016622	29908	86437736	86439549	1
3UTR	NM_017727	8182	27263822	27264148	1
3UTR	NM_018084	27826	55518812	55518300	1
3UTR	NM_021141	27913	217070441	217070890	2
3UTR	NM_022374	3637	38525286	38523255	14
3UTR	NM_022648	54966	218931940	218664961	1
3UTR	NM_023083	15684	241538123	241538219	1
3UTR	NM_023085	13001	241538123	241538219	1
3UTR	NM_024293	15357	220047309	220048002	2
3UTR	NM_025181	14134	114475330	114472772	6
3UTR	NM_032494	35081	112988480	112974045	3
3UTR	NM_032995	5634	131803019	131803381	1
3UTR	NM_032995	5634	131803019	131803611	12
3UTR	NM_032995	5634	131803861	131803911	1
3UTR	NM_133478	14240	74448561	74445919	1
3UTR	NM_134442	28860	208462207	208463804	1
3UTR	NM_138622	13080	111911481	111921710	2
3UTR	NM_138623	13076	111911481	111921710	2
3UTR	NM_138624	13075	111911481	111921710	2
3UTR	NM_138625	13070	111911481	111921710	2
3UTR	NM_139279	34569	47167941	47131384	1
3UTR	NM_144711	46380	170606609	170606614	1
3UTR	NM_145212	26476	99812219	99813617	1
3UTR	NM_147223	20132	24985645	24991090	1
3UTR	NM_147223	20132	24991004	24991090	12
3UTR	NM_147223	20132	24991004	24991093	5
3UTR	NM_152391	64180	11318234	11318246	9
3UTR	NM_152945	8689	178990911	178994124	4
3UTR	NM_173074	26623	46819614	46808730	3
3UTR	NM_194247	21805	178084042	178084136	28
3UTR	NM_199192	59058	28521358	28561317	15
3UTR	NM_199192	59058	28533020	28561317	3
3UTR	NM_199192	59058	28550314	28561317	11
3UTR	NM_199193	57030	28521358	28561317	15
3UTR	NM_199193	57030	28533020	28561317	3
3UTR	NM_199193	57030	28550314	28561317	11
3UTR	NM_199229	5064	210884684	210885691	1
3UTR	NM_201266	62201	206661919	206662332	1
3UTR	NM_201279	27905	206661919	206662332	1
3UTR	NM_203346	11011	242169248	242167825	1
3UTR	NM_207003	23594	111911481	111921710	2
5UTR	NM_000183	69604	26467858	26477115	39
5UTR	NM_000867	69010	231989686	231988844	5
5UTR	NM_000877	68999	102759480	102770401	2
5UTR	NM_000877	68999	102770477	102774179	2
5UTR	NM_000877	68999	102770477	102774182	1
5UTR	NM_001001521	68129	64068366	64083440	47
5UTR	NM_001001521	68129	64069733	64083440	1
5UTR	NM_001001664	68875	139259689	139307727	2
5UTR	NM_001002243	67993	64751746	64778577	4
5UTR	NM_001002257	67988	30670249	30748453	1
5UTR	NM_001002257	67988	30682588	30748453	2
5UTR	NM_001002258	68032	176046384	176046194	78
5UTR	NM_001002756	68499	69646670	69642431	31
5UTR	NM_001002756	68499	69650714	69646736	32
5UTR	NM_001002756	68499	69659034	69646736	4
5UTR	NM_001002756	68499	69664493	69659137	5
5UTR	NM_001004720	67786	106433070	106471504	21
5UTR	NM_001004722	67785	106361595	106432887	4
5UTR	NM_001004722	67785	106433070	106471504	21
5UTR	NM_001005369	68387	55493517	55491001	1
5UTR	NM_001005369	68387	55494705	55491001	3
5UTR	NM_001005369	68387	55495714	55494771	8
5UTR	NM_001005369	68387	55496305	55495875	7
5UTR	NM_001005369	68387	55496349	55495875	1
5UTR	NM_001005476	68360	159313730	159389692	2
5UTR	NM_001005753	67666	86768240	86756520	2
5UTR	NM_001005753	67666	86769375	86756520	36
5UTR	NM_001005753	67666	86790427	86756520	3
5UTR	NM_001006622	68625	128568429	128528578	1
5UTR	NM_001006622	68625	128568586	128528578	8
5UTR	NM_001006623	68624	128568429	128528578	1
5UTR	NM_001006623	68624	128568586	128528578	8
5UTR	NM_001006635	67610	177134397	177134944	2
5UTR	NM_001006636	68295	144969082	144966371	2
5UTR	NM_001006636	68295	145090006	144993304	1
5UTR	NM_001008410	67449	119997006	120003065	1
5UTR	NM_001008489	67445	170551132	170551725	4
5UTR	NM_001008489	67445	170551757	170553871	5
5UTR	NM_001008489	67445	170554041	170557456	1
5UTR	NM_001008491	68000	242255025	242263631	4
5UTR	NM_001008491	68000	242255397	242256914	2
5UTR	NM_001008491	68000	242255397	242263631	31
5UTR	NM_001008491	68000	242255955	242256914	3
5UTR	NM_001008491	68000	242255970	242256914	2
5UTR	NM_001008491	68000	242257014	242263631	4
5UTR	NM_001008492	68511	242255025	242263631	4
5UTR	NM_001008492	68511	242255397	242263631	31
5UTR	NM_001008492	68511	242257014	242263631	4
5UTR	NM_001008910	67930	220110244	220110618	6
5UTR	NM_001008910	67930	220110518	220110618	1
5UTR	NM_001009993	67327	131849382	131840230	3
5UTR	NM_001009993	67327	131850787	131840230	1
5UTR	NM_001011	68002	3622940	3623182	2
5UTR	NM_001011	68002	3622940	3623191	10
5UTR	NM_001011	68002	3623038	3623182	3
5UTR	NM_001011708	67221	175094036	175087888	12
5UTR	NM_001011708	67221	175113180	175094179	2
5UTR	NM_001014972	66988	71558995	71575883	1
5UTR	NM_001014972	66988	71559005	71575883	1
5UTR	NM_001015056	66960	74666678	74659793	1
5UTR	NM_001015056	66960	74667480	74659793	1
5UTR	NM_001017396	67565	95831605	95843228	1
5UTR	NM_001017396	67565	95842004	95843228	1
5UTR	NM_001017927	66902	120123933	120097937	1
5UTR	NM_001017927	66902	120124366	120097547	6
5UTR	NM_001024680	66548	68693276	68692310	1
5UTR	NM_001031738	66337	85829730	85829187	2
5UTR	NM_001032281	65676	188378343	188368497	1
5UTR	NM_001033557	28016	44396413	44428325	7
5UTR	NM_001035507	66606	27274661	27275781	4
5UTR	NM_001035521	66165	27573181	27566445	1
5UTR	NM_001035521	66165	27579606	27566445	3
5UTR	NM_001037174	66586	152671653	152670830	1
5UTR	NM_001037663	66964	207024408	207024637	2
5UTR	NM_001037663	66964	207024408	207024683	8
5UTR	NM_001037872	65009	100106279	100081447	1
5UTR	NM_001039492	24573	106013104	106002997	12
5UTR	NM_001039492	24573	106015299	106002997	15
5UTR	NM_001039492	24573	106015427	106002997	5
5UTR	NM_001039492	24573	106015427	106013154	1
5UTR	NM_001039538	67481	210372365	210444760	1
5UTR	NM_001039550	39481	220144240	220144520	14
5UTR	NM_001040142	66628	166150645	166152283	1
5UTR	NM_001040143	66624	166150645	166152283	1
5UTR	NM_001042410	41338	220094622	220094950	5
5UTR	NM_001042467	59331	238396080	238402046	1
5UTR	NM_001077191	66119	219124907	219127403	1
5UTR	NM_001077194	66118	219124907	219127403	1
5UTR	NM_001077198	29279	220093156	220092775	2
5UTR	NM_001077269	66078	175547502	175450339	1
5UTR	NM_001079866	65488	219524246	219525662	1
5UTR	NM_001079866	65488	219524466	219525662	3
5UTR	NM_001080124	65831	202122877	202131184	2
5UTR	NM_001083953	42083	43823070	43819555	1
5UTR	NM_001100422	26722	201171324	201194154	6
5UTR	NM_001100422	26722	201171645	201194154	12
5UTR	NM_001100422	26722	201194203	201253946	28
5UTR	NM_001100423	26721	201171324	201194154	6
5UTR	NM_001100423	26721	201171645	201194154	12
5UTR	NM_001100423	26721	201194203	201253946	28
5UTR	NM_001100424	3123	201171324	201194154	6
5UTR	NM_001100424	3123	201171645	201194154	12
5UTR	NM_001100424	3123	201194203	201253946	28
5UTR	NM_001100623	65036	131862971	131878507	2
5UTR	NM_001103146	8414	233562102	233568134	2
5UTR	NM_001103146	8414	233565364	233568134	1
5UTR	NM_001103146	8414	233568199	233599865	1
5UTR	NM_001103146	8414	233589401	233599865	1
5UTR	NM_001103147	58242	233562102	233565295	1
5UTR	NM_001103147	58242	233562102	233568134	2
5UTR	NM_001103147	58242	233565364	233568134	1
5UTR	NM_001103147	58242	233568199	233599865	1
5UTR	NM_001103147	58242	233589401	233599865	1
5UTR	NM_001103148	47480	233568199	233599865	1
5UTR	NM_001103148	47480	233589401	233599865	1
5UTR	NM_001104586	47626	203777047	203782600	1
5UTR	NM_001105	64974	158674781	158656012	2
5UTR	NM_001105	64974	158674897	158656012	8
5UTR	NM_001105	64974	158683040	158675071	3
5UTR	NM_001105198	65006	120436801	120438408	1
5UTR	NM_001105198	65006	120437193	120438408	2
5UTR	NM_001105199	65005	120436801	120438408	1
5UTR	NM_001105199	65005	120437193	120438408	2
5UTR	NM_001105537	54538	219523703	219523599	1
5UTR	NM_001111067	65329	158674781	158656012	2
5UTR	NM_001111067	65329	158674897	158656012	8
5UTR	NM_001111067	65329	158683040	158675071	3
5UTR	NM_001114132	65086	203879705	203880879	1
5UTR	NM_001115016	66775	97303686	97302922	1
5UTR	NM_001115016	66775	97304020	97302922	2
5UTR	NM_001127183	30573	201981204	201994452	9
5UTR	NM_001127184	19592	201981204	201994452	9
5UTR	NM_001127207	32885	217277371	217278579	1
5UTR	NM_001127207	32885	217277521	217278579	1
5UTR	NM_001127207	32885	217278615	217279370	4
5UTR	NM_001127257	18335	196522005	196544756	1
5UTR	NM_001127399	16664	30369928	30371111	3
5UTR	NM_001127399	16664	30369928	30379494	41
5UTR	NM_001127399	16664	30371329	30379494	1
5UTR	NM_001127399	16664	30371407	30379494	4
5UTR	NM_001127399	16664	30378776	30379494	2
5UTR	NM_001127400	49618	30369928	30371111	3
5UTR	NM_001127400	49618	30369928	30379494	41
5UTR	NM_001127400	49618	30371329	30379494	1
5UTR	NM_001127400	49618	30371407	30379494	4
5UTR	NM_001127400	49618	30378776	30379494	2
5UTR	NM_001127401	56793	30369928	30371111	3
5UTR	NM_001127401	56793	30369928	30378716	4
5UTR	NM_001127401	56793	30369928	30379494	41
5UTR	NM_001127401	56793	30371329	30379494	1
5UTR	NM_001127401	56793	30371407	30379494	4
5UTR	NM_001127401	56793	30378776	30379494	2
5UTR	NM_001128150	24157	190647740	190647328	1
5UTR	NM_001128150	24157	190648999	190647328	1
5UTR	NM_001128928	24106	191208687	191224765	9
5UTR	NM_001128928	24106	191213757	191224765	2
5UTR	NM_001130480	53363	58274003	58275962	4
5UTR	NM_001130481	53364	58274003	58275962	4
5UTR	NM_001130483	21724	58274003	58275962	4
5UTR	NM_001130849	10248	231577945	231624674	17
5UTR	NM_001130850	10251	231577945	231624674	17
5UTR	NM_001134224	56625	99061548	99135427	2
5UTR	NM_001134224	56625	99135488	99136409	4
5UTR	NM_001134225	3447	99061548	99135427	2
5UTR	NM_001134225	3447	99135488	99136409	4
5UTR	NM_001134693	22623	27294469	27294331	243
5UTR	NM_001135021	7173	85581952	85582199	6
5UTR	NM_001135021	7173	85581952	85582678	1
5UTR	NM_001135021	7173	85582293	85582678	2
5UTR	NM_001135021	7173	85582293	85584090	1
5UTR	NM_001135021	7173	85582721	85584090	1
5UTR	NM_001135022	7200	85581952	85582199	6
5UTR	NM_001135022	7200	85581952	85582678	1
5UTR	NM_001135022	7200	85582293	85582678	2
5UTR	NM_001135022	7200	85582293	85584090	1
5UTR	NM_001135022	7200	85582721	85584090	1
5UTR	NM_001135023	7201	85581952	85582199	6
5UTR	NM_001135023	7201	85582293	85584090	1
5UTR	NM_001135023	7201	85582721	85584090	1
5UTR	NM_001135592	22828	55459844	55459944	1601
5UTR	NM_001135745	29367	202645600	202633668	1
5UTR	NM_001136039	22593	201754114	201756641	2
5UTR	NM_001136193	15219	207630378	207631368	3
5UTR	NM_001136193	15219	207630471	207631368	2
5UTR	NM_001136194	60864	207630378	207631368	3
5UTR	NM_001136194	60864	207630471	207631368	2
5UTR	NM_001136528	12346	224903816	224866639	1
5UTR	NM_001136554	7984	172016800	171974367	1
5UTR	NM_001136574	11861	211341344	211341136	1
5UTR	NM_001136574	11861	211341446	211341136	1
5UTR	NM_001136574	11861	211342174	211341136	1
5UTR	NM_001136575	11860	211341344	211341136	1
5UTR	NM_001136575	11860	211341446	211341136	1
5UTR	NM_001136575	11860	211342174	211341136	1
5UTR	NM_001139488	58874	33701774	33736777	1
5UTR	NM_001142270	10668	169926227	169938033	1
5UTR	NM_001142271	30648	169926227	169938033	1
5UTR	NM_001142273	24482	122406948	122363756	1
5UTR	NM_001142274	23182	122406948	122363756	1
5UTR	NM_001142319	54380	24270184	24262382	3
5UTR	NM_001142355	37692	201754114	201756692	1
5UTR	NM_001142356	57730	201754114	201756641	2
5UTR	NM_001142614	65106	62932844	62934032	1
5UTR	NM_001142614	65106	62932871	62934032	1
5UTR	NM_001142614	65106	62933187	62934032	4
5UTR	NM_001142615	8520	62932844	62934032	1
5UTR	NM_001142615	8520	62932871	62934032	1
5UTR	NM_001142615	8520	62933187	62934032	4
5UTR	NM_001142616	23581	62932844	62934032	1
5UTR	NM_001142616	23581	62932871	62934032	1
5UTR	NM_001142616	23581	62933187	62934032	4
5UTR	NM_001143960	38737	61372331	61389977	13
5UTR	NM_001143960	38737	61385147	61389977	4
5UTR	NM_001143960	38737	61386574	61389977	3
5UTR	NM_001143960	38737	61390090	61390187	42
5UTR	NM_001145048	3393	27852036	27852726	6
5UTR	NM_001145048	3393	27852819	27853894	1
5UTR	NM_001145049	9121	27852036	27852726	6
5UTR	NM_001145412	18093	178128131	178098999	13
5UTR	NM_001145412	18093	178129260	178098999	5
5UTR	NM_001145413	18092	178128131	178098999	13
5UTR	NM_001145413	18092	178129260	178098999	5
5UTR	NM_001145450	9179	39103251	39107320	13
5UTR	NM_001145450	9179	39107370	39107741	17
5UTR	NM_001145710	30537	24346403	24347200	3
5UTR	NM_001145710	30537	24346494	24347200	1
5UTR	NM_001145909	2145	159857701	159922408	1
5UTR	NM_001146158	47805	74692441	74692114	1
5UTR	NM_001153	47714	69969307	70008652	37
5UTR	NM_001153	47714	69990208	70008652	1
5UTR	NM_001161404	44157	128415526	128415136	1
5UTR	NM_001161404	44157	128415536	128415136	2
5UTR	NM_001161404	44157	128431252	128415136	1
5UTR	NM_001161404	44157	128432195	128415136	3
5UTR	NM_001161404	44157	128432588	128415136	52
5UTR	NM_001164629	13261	144969082	144966371	2
5UTR	NM_001164629	13261	145090006	144993304	1
5UTR	NM_001166285	23406	73461512	73466771	54
5UTR	NM_001166285	23406	73462773	73466771	1
5UTR	NM_001167608	43952	227700803	227729320	1
5UTR	NM_001167608	43952	227702486	227702789	2
