readType	refseqid	row	juncpos5	juncpos3	num_CRC.41
3UTR	NM_001282712	32694	11304387	11317863	1
3UTR	NM_001282712	32694	11312171	11317863	5
3UTR	NM_001282712	32694	11315135	11317863	8
3UTR	NM_001282712	32694	11318234	11318246	1
3UTR	NM_001282723	32634	20901330	20886854	3
3UTR	NM_001282724	32637	20901330	20886854	3
3UTR	NM_001282925	52596	204291992	204292219	1
3UTR	NM_001282926	52629	204291992	204292219	1
3UTR	NM_001282927	23211	204291992	204292219	1
3UTR	NM_001282932	52620	204291992	204292219	1
3UTR	NM_001282958	48246	233431924	233445614	5
3UTR	NM_001282958	48246	233439051	233445614	2
3UTR	NM_001282972	32091	242289618	242291382	87
3UTR	NM_001282973	57864	242289618	242291382	87
3UTR	NM_001282983	45397	242403395	242405089	1
3UTR	NM_001284233	54894	144709549	144704702	2
3UTR	NM_001286834	59400	3831072	3590659	1
3UTR	NM_001286837	59418	3831072	3590659	1
3UTR	NM_001287503	25476	182787139	182794288	2
3UTR	NM_001287503	25476	182793005	182794288	68
3UTR	NM_001287504	25464	182787139	182794288	2
3UTR	NM_001287504	25464	182793005	182794288	68
3UTR	NM_001287505	25463	182757387	182758338	1
3UTR	NM_001288838	55471	58373609	58386484	15
3UTR	NM_001288838	55471	58381937	58386484	2
3UTR	NM_001291328	30533	24387204	24392225	4
3UTR	NM_001291328	30533	24390552	24392225	1
3UTR	NM_001293233	7578	16082976	16085615	1
3UTR	NM_001304536	21583	222289929	222285272	1
3UTR	NM_001304537	21582	222289929	222285272	1
3UTR	NM_001308021	62391	208446518	208445574	1
3UTR	NM_001308042	30329	202025665	202028558	19
3UTR	NM_001308042	30329	202028807	202031877	1
3UTR	NM_001308824	6728	198285152	198283675	1
3UTR	NM_001316306	3319	173362828	173368819	53
3UTR	NM_001316306	3319	173366629	173368819	68
3UTR	NM_001319100	17586	65309843	65310773	4
3UTR	NM_001319101	17585	65309843	65310773	4
3UTR	NM_001320418	10929	99786013	99785933	11
3UTR	NM_001320589	48783	54365885	54531825	6
3UTR	NM_001320589	48783	54374569	54531825	1
3UTR	NM_001320903	36183	242617867	242615652	12
3UTR	NM_001320932	32830	25602159	25600422	3
3UTR	NM_001320933	32829	25602159	25600422	3
3UTR	NM_001320934	32828	25602159	25600422	3
3UTR	NM_001320935	32827	25602159	25600422	3
3UTR	NM_001320965	1420	242169248	242167825	1
3UTR	NM_001320966	8595	242169248	242167825	1
3UTR	NM_001321029	28071	242289618	242291382	87
3UTR	NM_001321030	28070	242289618	242291382	87
3UTR	NM_001321031	28069	242289618	242291382	87
3UTR	NM_001321032	28068	242289618	242291358	5
3UTR	NM_001321032	28068	242289618	242291382	87
3UTR	NM_001321033	7783	242289618	242291382	87
3UTR	NM_001321034	52044	242289618	242291382	87
3UTR	NM_001321035	19977	242289618	242291382	87
3UTR	NM_001321099	11320	197702236	197701643	1
3UTR	NM_001321099	11320	197805489	197705444	1
3UTR	NM_001321100	11319	197702236	197701643	1
3UTR	NM_001321100	11319	197805489	197705444	1
3UTR	NM_001321109	30938	220047309	220048002	1
3UTR	NM_001321110	12543	220047309	220048002	1
3UTR	NM_001321325	18039	27666928	27667056	6
3UTR	NM_001321468	21046	39971510	39964199	7
3UTR	NM_001321474	21042	39971510	39964199	7
3UTR	NM_001321475	21041	39971510	39964199	7
3UTR	NM_001321499	12144	110303627	110301901	3
3UTR	NM_001321500	12143	110303627	110301901	3
3UTR	NM_001321501	60520	110303627	110301901	3
3UTR	NM_001321502	60519	110303627	110301901	3
3UTR	NM_001321503	44407	110303627	110301901	3
3UTR	NM_001321504	44406	110303627	110301901	3
3UTR	NM_001321507	25185	110303627	110301901	3
3UTR	NM_001321508	25184	110303627	110301901	3
3UTR	NM_001321511	57583	110303627	110301901	3
3UTR	NM_001321512	25161	110303627	110301901	3
3UTR	NM_001321513	25160	110303627	110301901	3
3UTR	NM_001321528	50730	96688416	96688023	1
3UTR	NM_001321531	51750	96688416	96688023	1
3UTR	NM_001321731	11017	72411204	72406590	1
3UTR	NM_001321743	38091	131810464	131810025	4
3UTR	NM_001321744	48692	131810464	131810025	4
3UTR	NM_001321745	58847	131810464	131810025	4
3UTR	NM_001321746	11966	131810464	131810025	4
3UTR	NM_001321747	11965	131810464	131810025	4
3UTR	NM_001321748	48690	131810464	131810025	4
3UTR	NM_001322101	62105	25040710	25042223	2
3UTR	NM_001322373	54240	37428869	37429006	18
3UTR	NM_001322373	54240	37428869	37431447	11
3UTR	NM_001322374	15586	37428869	37429006	18
3UTR	NM_001322374	15586	37428869	37431447	11
3UTR	NM_001322375	15585	37428869	37431447	11
3UTR	NM_001322376	27662	37428869	37431447	11
3UTR	NM_001329113	33134	28521358	28561317	16
3UTR	NM_001329113	33134	28550314	28561317	1
3UTR	NM_001329114	33131	28521358	28561317	16
3UTR	NM_001329114	33131	28550314	28561317	1
3UTR	NM_001330131	36372	208446518	208445574	1
3UTR	NM_001330131	36372	208486530	208446670	2
3UTR	NM_001330132	8412	208446518	208445574	1
3UTR	NM_001330133	8411	208446518	208445574	1
3UTR	NM_001330133	8411	208486530	208446670	2
3UTR	NM_001330135	47281	208446518	208445574	1
3UTR	NM_001330135	47281	208486530	208446670	2
3UTR	NM_001330136	47280	208446518	208445574	1
3UTR	NM_001330203	25641	233431924	233445614	5
3UTR	NM_001330203	25641	233439051	233445614	2
3UTR	NM_001330247	15560	178084042	178084136	79
3UTR	NM_001330251	15734	178084042	178084136	79
3UTR	NM_001330307	11374	120861664	120865740	2
3UTR	NM_001330314	12864	114475330	114472772	16
3UTR	NM_001330314	12864	114476731	114472772	2
3UTR	NM_001330315	55449	114475330	114472772	16
3UTR	NM_001330315	55449	114476731	114472772	2
3UTR	NM_001330459	50677	38525286	38523255	5
3UTR	NM_001330460	21405	38525286	38523255	5
3UTR	NM_001330461	21404	38525286	38523255	5
3UTR	NM_001330462	47169	38525286	38523255	5
3UTR	NM_001330463	47168	38525286	38523255	5
3UTR	NM_001349287	36302	242289618	242291382	87
3UTR	NM_001349288	36301	242289618	242291382	87
3UTR	NM_001349289	36300	242289618	242291358	5
3UTR	NM_001349289	36300	242289618	242291382	87
3UTR	NM_001349290	15773	242289618	242291382	87
3UTR	NM_001349291	15772	242289618	242291382	87
3UTR	NM_001349302	48724	242289618	242291382	87
3UTR	NM_001349304	37679	242289618	242291382	87
3UTR	NM_001349305	62125	242289618	242291382	87
3UTR	NM_001349306	35235	242289618	242291382	87
3UTR	NM_001349307	35234	242289618	242291382	87
3UTR	NM_001349308	29101	242289618	242291382	87
3UTR	NM_001349309	17677	242289618	242291382	87
3UTR	NM_001349310	7029	242289618	242291382	87
3UTR	NM_001349311	31543	242289618	242291382	87
3UTR	NM_001349312	31542	242289618	242291382	87
3UTR	NM_001349313	31541	242289618	242291382	87
3UTR	NM_001349314	31540	242289618	242291382	87
3UTR	NM_001349315	8857	242289618	242291382	87
3UTR	NM_001350854	23029	200710798	200625558	1
3UTR	NM_001351381	51617	25602159	25600422	3
3UTR	NM_001351382	51616	25602159	25600422	3
3UTR	NM_001351383	51988	25602159	25600422	3
3UTR	NM_001351384	51987	25602159	25600422	3
3UTR	NM_001351385	238	25602159	25600422	3
3UTR	NM_001351386	14411	25602159	25600422	3
3UTR	NM_001351387	14410	25602159	25600422	3
3UTR	NM_001351388	34798	25602159	25600422	3
3UTR	NM_001351390	4705	25602159	25600422	3
3UTR	NM_001351392	17322	25602159	25600422	3
3UTR	NM_001351393	46246	25602159	25600422	3
3UTR	NM_001351395	17318	25602159	25600422	3
3UTR	NM_001351520	57954	70452460	70451761	1
3UTR	NM_001351520	57954	70452597	70451761	1
3UTR	NM_001351522	57952	70452460	70451761	1
3UTR	NM_001351522	57952	70452597	70451761	1
3UTR	NM_001351559	58062	109473426	109492544	2
3UTR	NM_001351561	58061	109473426	109492544	2
3UTR	NM_001351590	22116	202025665	202028558	19
3UTR	NM_001351590	22116	202028807	202031877	1
3UTR	NM_001351593	13209	202028807	202031877	1
3UTR	NM_001351594	13208	202028807	202031877	1
3UTR	NM_001353969	59876	74087278	74089330	27
3UTR	NM_001353969	59876	74087716	74089330	1
3UTR	NM_001353970	13852	74087278	74089330	27
3UTR	NM_001353970	13852	74087716	74089330	1
3UTR	NM_001353976	13851	74087278	74089330	27
3UTR	NM_001353976	13851	74087716	74089330	1
3UTR	NM_001354347	24593	190615276	190612057	3
3UTR	NM_001354360	35976	144709549	144704702	2
3UTR	NM_001354587	13591	97915910	97930066	3
3UTR	NM_001355251	51364	110969792	110969199	23
3UTR	NM_001809	19062	27016194	27016680	19
3UTR	NM_002166	27946	8823036	8823815	120
3UTR	NM_002518	47642	101609989	101612258	12
3UTR	NM_002665	33876	88053153	88056339	1
3UTR	NM_002807	10979	232035435	232037249	31
3UTR	NM_002823	12613	232448068	232578098	1
3UTR	NM_002823	12613	232577226	232577637	1
3UTR	NM_002936	46878	3831072	3590659	1
3UTR	NM_003879	3485	202028807	202031877	1
3UTR	NM_004404	34284	242289618	242291382	87
3UTR	NM_004438	13457	222289929	222285272	1
3UTR	NM_004522	1859	149868197	149879592	1
3UTR	NM_004899	1175	28521358	28561317	16
3UTR	NM_004899	1175	28550314	28561317	1
3UTR	NM_005019	45163	183011763	183007765	1
3UTR	NM_005336	17635	242169248	242167825	1
3UTR	NM_005444	1541	219457430	219461118	1
3UTR	NM_005544	29703	227659705	227600966	4
3UTR	NM_005759	44108	204291992	204292219	1
3UTR	NM_006155	62113	242289618	242291382	87
3UTR	NM_006464	31733	85552038	85545846	1
3UTR	NM_006464	31733	85552038	85549793	1
3UTR	NM_006590	54781	85875976	85876140	5
3UTR	NM_006736	10120	220149557	220150709	33
3UTR	NM_006857	51948	70131557	70131644	3
3UTR	NM_014369	48664	131130793	131132239	7
3UTR	NM_014607	54583	136540453	136541079	2
3UTR	NM_014607	54583	136540465	136541079	2
3UTR	NM_014614	54580	54093222	54092710	10
3UTR	NM_014911	50022	69732701	69693683	1
3UTR	NM_015147	43578	65309843	65310773	4
3UTR	NM_016622	29908	86437736	86439549	2
3UTR	NM_021095	1180	27422973	27422705	1
3UTR	NM_021907	31210	25602159	25600422	3
3UTR	NM_022374	3637	38525286	38523255	5
3UTR	NM_024293	15357	220047309	220048002	1
3UTR	NM_024322	24416	25040710	25042223	2
3UTR	NM_024989	43052	197702236	197701643	1
3UTR	NM_024989	43052	197805489	197705444	1
3UTR	NM_025181	14134	114475330	114472772	16
3UTR	NM_025181	14134	114476731	114472772	2
3UTR	NM_032494	35081	112988480	112974045	6
3UTR	NM_032515	17506	242512000	242512119	1
3UTR	NM_032546	152	27529410	27529755	2
3UTR	NM_032976	59262	202072906	202073793	5
3UTR	NM_032976	59262	202074285	202082311	9
3UTR	NM_033147	54649	25602159	25600422	3
3UTR	NM_033148	23191	25602159	25600422	3
3UTR	NM_052905	28074	153505950	153506005	1
3UTR	NM_054033	43515	24283796	24285934	1
3UTR	NM_138622	13080	111907724	111921710	1
3UTR	NM_138623	13076	111907724	111921710	1
3UTR	NM_138624	13075	111881716	111907621	1
3UTR	NM_138624	13075	111907724	111921710	1
3UTR	NM_138625	13070	111881716	111907621	1
3UTR	NM_138625	13070	111907724	111921710	1
3UTR	NM_138637	59915	120012424	120020633	3
3UTR	NM_144575	46393	30953596	30946102	2
3UTR	NM_147223	20132	24985645	24991090	1
3UTR	NM_147223	20132	24991004	24991090	4
3UTR	NM_147223	20132	24991004	24991093	2
3UTR	NM_152391	64180	11318234	11318246	1
3UTR	NM_152945	8689	178990911	178994124	14
3UTR	NM_173074	26623	46815214	46808730	3
3UTR	NM_173074	26623	46819614	46808730	8
3UTR	NM_173853	20825	27666928	27667053	4
3UTR	NM_173853	20825	27666928	27667056	6
3UTR	NM_183360	25170	25602159	25600422	3
3UTR	NM_183361	38460	25602159	25600422	3
3UTR	NM_187841	55376	27529410	27529755	2
3UTR	NM_194247	21805	178084042	178084136	79
3UTR	NM_199192	59058	28521358	28561317	16
3UTR	NM_199192	59058	28550314	28561317	1
3UTR	NM_199193	57030	28521358	28561317	16
3UTR	NM_199193	57030	28550314	28561317	1
3UTR	NM_201594	2847	85663717	85663960	1
3UTR	NM_203346	11011	242169248	242167825	1
3UTR	NM_207003	23594	111907724	111921710	1
5UTR	NM_000183	69604	26467858	26477115	48
5UTR	NM_000408	68683	157291921	157332610	1
5UTR	NM_000408	68683	157292316	157332610	1
5UTR	NM_000408	68683	157293025	157332610	12
5UTR	NM_000408	68683	157293127	157332610	1
5UTR	NM_000408	68683	157326988	157332610	1
5UTR	NM_000534	68555	190649290	190656516	1
5UTR	NM_000534	68555	190649319	190656516	4
5UTR	NM_000534	68555	190649340	190656516	1
5UTR	NM_000575	69548	113542020	113541355	1
5UTR	NM_000576	69547	113594285	113593821	1
5UTR	NM_000817	69054	171673558	171675039	1
5UTR	NM_000877	68999	102759480	102770401	5
5UTR	NM_000877	68999	102770477	102774179	5
5UTR	NM_001001521	68129	64068366	64083440	52
5UTR	NM_001001521	68129	64069338	64083440	10
5UTR	NM_001001521	68129	64069733	64083440	3
5UTR	NM_001001664	68875	139259689	139307727	2
5UTR	NM_001002243	67993	64751746	64778577	11
5UTR	NM_001002257	67988	30670249	30748453	2
5UTR	NM_001002257	67988	30670815	30748453	1
5UTR	NM_001002258	68032	176046384	176046194	162
5UTR	NM_001002258	68032	176046384	176046211	1
5UTR	NM_001002756	68499	69646670	69642431	40
5UTR	NM_001002756	68499	69650714	69646736	26
5UTR	NM_001002756	68499	69664493	69659137	4
5UTR	NM_001004720	67786	106433070	106471504	45
5UTR	NM_001004720	67786	106433070	106471507	1
5UTR	NM_001004722	67785	106361595	106432887	5
5UTR	NM_001004722	67785	106362796	106432887	1
5UTR	NM_001004722	67785	106433070	106471504	45
5UTR	NM_001004722	67785	106433070	106471507	1
5UTR	NM_001005209	67769	220408165	220408868	1
5UTR	NM_001005209	67769	220409099	220409411	1
5UTR	NM_001005369	68387	55493517	55491001	2
5UTR	NM_001005369	68387	55494705	55491001	6
5UTR	NM_001005369	68387	55494705	55493654	1
5UTR	NM_001005369	68387	55495714	55494771	24
5UTR	NM_001005369	68387	55496305	55495875	13
5UTR	NM_001005476	68360	159313730	159389692	6
5UTR	NM_001005739	68676	64246072	64211153	2
5UTR	NM_001005753	67666	86769375	86756520	55
5UTR	NM_001005753	67666	86790427	86756520	2
5UTR	NM_001006622	68625	128568586	128528578	10
5UTR	NM_001006623	68624	128568586	128528578	10
5UTR	NM_001006635	67610	177134397	177134944	4
5UTR	NM_001006636	68295	144969082	144966371	1
5UTR	NM_001006636	68295	144987808	144969146	1
5UTR	NM_001006636	68295	144993243	144969146	1
5UTR	NM_001006946	68287	20425023	20424847	9
5UTR	NM_001008387	31689	79252899	79253209	15
5UTR	NM_001008410	67449	119981464	120003065	4
5UTR	NM_001008489	67445	170551132	170551725	2
5UTR	NM_001008489	67445	170551251	170551725	4
5UTR	NM_001008489	67445	170551757	170553871	6
5UTR	NM_001008489	67445	170554041	170557456	3
5UTR	NM_001008491	68000	242255025	242256914	1
5UTR	NM_001008491	68000	242255025	242263631	7
5UTR	NM_001008491	68000	242255397	242256914	4
5UTR	NM_001008491	68000	242255397	242263631	66
5UTR	NM_001008491	68000	242255970	242256914	2
5UTR	NM_001008491	68000	242257009	242263631	1
5UTR	NM_001008491	68000	242257014	242263631	5
5UTR	NM_001008491	68000	242259702	242263631	1
5UTR	NM_001008492	68511	242255025	242263631	7
5UTR	NM_001008492	68511	242255397	242259618	1
5UTR	NM_001008492	68511	242255397	242263631	66
5UTR	NM_001008492	68511	242257009	242263631	1
5UTR	NM_001008492	68511	242257014	242263631	5
5UTR	NM_001008492	68511	242259702	242263631	1
5UTR	NM_001008910	67930	220110244	220110618	17
5UTR	NM_001008910	67930	220110518	220110618	6
5UTR	NM_001009993	67327	131850787	131840230	7
5UTR	NM_001011	68002	3622940	3623182	16
5UTR	NM_001011	68002	3622940	3623191	7
5UTR	NM_001011	68002	3623038	3623182	6
5UTR	NM_001011708	67221	175094036	175087888	22
5UTR	NM_001014972	66988	71503884	71575883	1
5UTR	NM_001014972	66988	71558995	71575883	1
5UTR	NM_001014972	66988	71559005	71575883	3
5UTR	NM_001015056	66960	74668833	74659793	13
5UTR	NM_001017371	67745	174829133	174828611	2
5UTR	NM_001017927	66902	120124366	120097547	2
5UTR	NM_001024680	66548	68694343	68693602	1
5UTR	NM_001031738	66337	85829730	85829187	1
5UTR	NM_001032281	65676	188418927	188368497	2
5UTR	NM_001032998	66700	143635305	143642918	2
5UTR	NM_001033045	66278	175347601	175346715	1
5UTR	NM_001033045	66278	175347738	175346715	1
5UTR	NM_001033557	28016	44396413	44428325	10
5UTR	NM_001033557	28016	44407536	44428325	1
5UTR	NM_001035507	66606	27274661	27275781	9
5UTR	NM_001035521	66165	27573181	27566445	4
5UTR	NM_001035521	66165	27579606	27566445	6
5UTR	NM_001037174	66586	152671653	152670830	15
5UTR	NM_001037663	66964	207024408	207024637	4
5UTR	NM_001037663	66964	207024408	207024683	23
5UTR	NM_001037872	65009	100106279	100081447	4
5UTR	NM_001039348	66927	56150846	56149582	1
5UTR	NM_001039348	66927	56150846	56150074	1
5UTR	NM_001039349	66926	56150846	56149582	1
5UTR	NM_001039492	24573	106013104	106002997	28
5UTR	NM_001039492	24573	106015299	106002997	13
5UTR	NM_001039492	24573	106015299	106013154	1
5UTR	NM_001039492	24573	106015427	106002997	9
5UTR	NM_001039492	24573	106015427	106013154	2
5UTR	NM_001039550	39481	220144240	220144520	18
5UTR	NM_001042410	41338	220094622	220094950	6
5UTR	NM_001042467	59331	238396080	238402046	37
5UTR	NM_001042519	65540	191045835	191064423	3
5UTR	NM_001042520	65539	191045835	191064423	3
5UTR	NM_001042521	65538	191045835	191064423	3
5UTR	NM_001056	64957	108905526	108910103	11
5UTR	NM_001077198	29279	220093156	220092775	3
5UTR	NM_001077198	29279	220093732	220092775	1
5UTR	NM_001077198	29279	220093732	220093207	3
5UTR	NM_001077198	29279	220094257	220092775	1
5UTR	NM_001077198	29279	220094257	220093207	3
5UTR	NM_001077269	66078	175462329	175450339	1
5UTR	NM_001079	66442	98330457	98340479	1
5UTR	NM_001079526	66438	214014868	214013368	2
5UTR	NM_001079866	65488	219523896	219525662	1
5UTR	NM_001079866	65488	219524466	219525662	11
5UTR	NM_001079866	65488	219524889	219525662	1
5UTR	NM_001079878	59351	98962997	98986402	1
5UTR	NM_001080124	65831	202098277	202098739	1
5UTR	NM_001080124	65831	202098345	202098739	7
5UTR	NM_001080124	65831	202098835	202131184	2
5UTR	NM_001080124	65831	202122877	202131184	3
5UTR	NM_001080124	65831	202123105	202131184	5
5UTR	NM_001080475	56918	208890113	208866681	1
5UTR	NM_001080527	66316	128293407	128317275	7
5UTR	NM_001083112	58882	157291921	157332610	1
5UTR	NM_001083112	58882	157292316	157332610	1
5UTR	NM_001083112	58882	157293025	157332610	12
5UTR	NM_001083112	58882	157293127	157332610	1
5UTR	NM_001083112	58882	157326988	157332610	1
5UTR	NM_001083953	42083	43819983	43819555	1
5UTR	NM_001083953	42083	43823070	43819555	2
5UTR	NM_001100422	26722	201171141	201194154	1
5UTR	NM_001100422	26722	201171324	201194154	10
5UTR	NM_001100422	26722	201171645	201194154	4
5UTR	NM_001100422	26722	201194203	201253946	24
5UTR	NM_001100422	26722	201236974	201253946	1
5UTR	NM_001100422	26722	201242842	201253946	1
5UTR	NM_001100422	26722	201243094	201253946	5
5UTR	NM_001100422	26722	201248740	201253946	2
5UTR	NM_001100423	26721	201171141	201194154	1
5UTR	NM_001100423	26721	201171324	201194154	10
5UTR	NM_001100423	26721	201171645	201194154	4
5UTR	NM_001100423	26721	201194203	201253946	24
5UTR	NM_001100423	26721	201236974	201253946	1
5UTR	NM_001100423	26721	201242842	201253946	1
5UTR	NM_001100423	26721	201243094	201253946	5
5UTR	NM_001100423	26721	201248740	201253946	2
5UTR	NM_001100424	3123	201171141	201194154	1
5UTR	NM_001100424	3123	201171324	201194154	10
5UTR	NM_001100424	3123	201171645	201194154	4
5UTR	NM_001100424	3123	201194203	201253946	24
5UTR	NM_001100424	3123	201236974	201253946	1
5UTR	NM_001100424	3123	201242842	201253946	1
5UTR	NM_001100424	3123	201243094	201253946	5
5UTR	NM_001100424	3123	201248740	201253946	2
5UTR	NM_001100623	65036	131862971	131878507	29
5UTR	NM_001103146	8414	233562102	233568134	10
5UTR	NM_001103146	8414	233565364	233568134	3
5UTR	NM_001103146	8414	233568199	233599865	4
5UTR	NM_001103146	8414	233599196	233599865	1
5UTR	NM_001103147	58242	233562102	233565295	1
5UTR	NM_001103147	58242	233562102	233568134	10
5UTR	NM_001103147	58242	233565364	233568134	3
5UTR	NM_001103147	58242	233568199	233599865	4
5UTR	NM_001103147	58242	233599196	233599865	1
5UTR	NM_001103148	47480	233568199	233599865	4
5UTR	NM_001103148	47480	233599196	233599865	1
5UTR	NM_001104586	47626	203777047	203782600	3
5UTR	NM_001104586	47626	203782766	203806583	3
5UTR	NM_001105	64974	158674897	158656012	3
5UTR	NM_001105	64974	158732308	158675071	1
5UTR	NM_001105198	65006	120436801	120438408	4
5UTR	NM_001105198	65006	120436852	120438408	4
5UTR	NM_001105198	65006	120437193	120438408	1
5UTR	NM_001105199	65005	120436801	120438408	4
5UTR	NM_001105199	65005	120436852	120438408	4
5UTR	NM_001105199	65005	120437193	120438408	1
5UTR	NM_001105537	54538	219523424	219521186	1
5UTR	NM_001105537	54538	219523703	219523599	1
5UTR	NM_001111067	65329	158674897	158656012	3
5UTR	NM_001111067	65329	158732308	158675071	1
5UTR	NM_001115016	66775	97304020	97302922	2
5UTR	NM_001127183	30573	201981204	201994452	30
5UTR	NM_001127183	30573	201983624	201994452	2
5UTR	NM_001127184	19592	201981204	201994452	30
5UTR	NM_001127184	19592	201983624	201994452	2
5UTR	NM_001127207	32885	217277371	217278579	2
5UTR	NM_001127207	32885	217278615	217279370	7
5UTR	NM_001127257	18335	196522005	196544756	5
5UTR	NM_001127257	18335	196523585	196544756	1
5UTR	NM_001127399	16664	30369928	30371111	2
5UTR	NM_001127399	16664	30369928	30379494	19
5UTR	NM_001127399	16664	30371171	30379494	1
5UTR	NM_001127400	49618	30369928	30371111	2
5UTR	NM_001127400	49618	30369928	30379494	19
5UTR	NM_001127400	49618	30371171	30379494	1
5UTR	NM_001127401	56793	30369928	30371111	2
5UTR	NM_001127401	56793	30369928	30379494	19
5UTR	NM_001127401	56793	30371171	30379494	1
5UTR	NM_001127401	56793	30371407	30378716	1
5UTR	NM_001128143	38253	190649290	190656516	1
5UTR	NM_001128143	38253	190649319	190656516	4
5UTR	NM_001128143	38253	190649340	190656516	1
5UTR	NM_001128144	49371	190649290	190656516	1
5UTR	NM_001128144	49371	190649319	190656516	4
5UTR	NM_001128144	49371	190649340	190656516	1
5UTR	NM_001128150	24157	190647740	190647328	14
5UTR	NM_001128150	24157	190648995	190647328	4
5UTR	NM_001128212	42769	160143047	160139604	3
5UTR	NM_001128213	42768	160143047	160139604	3
5UTR	NM_001128928	24106	191208687	191224765	5
5UTR	NM_001129993	28244	61293122	61295984	1
5UTR	NM_001129993	28244	61293162	61295984	2
5UTR	NM_001129993	28244	61293593	61295984	1
5UTR	NM_001129993	28244	61296120	61297477	6
5UTR	NM_001130009	626	17935234	17941196	2
5UTR	NM_001130009	626	17935612	17941196	3
5UTR	NM_001130158	29934	192110337	192141613	2
5UTR	NM_001130158	29934	192110352	192141613	20
5UTR	NM_001130480	53363	58273956	58275962	2
5UTR	NM_001130480	53363	58274003	58275962	6
5UTR	NM_001130481	53364	58273956	58275962	2
5UTR	NM_001130481	53364	58274003	58275962	6
5UTR	NM_001130483	21724	58273956	58275962	2
5UTR	NM_001130483	21724	58274003	58275962	6
5UTR	NM_001130849	10248	231577945	231624674	21
5UTR	NM_001130849	10248	231578773	231624674	1
5UTR	NM_001130850	10251	231577945	231624674	21
5UTR	NM_001130850	10251	231578773	231624674	1
5UTR	NM_001134224	56625	99135488	99136409	2
5UTR	NM_001134225	3447	99135488	99136409	2
5UTR	NM_001134693	22623	27294469	27294331	259
5UTR	NM_001135021	7173	85581952	85582199	3
5UTR	NM_001135021	7173	85582293	85582678	4
