contig	strand	refseqid	row	Gblock_id	transc_start	transc_end	exon_starts	exon_ends
chr2	+	NM_000090	69951	NM_000090:69951:68	189866261	189866315	189866261	189866315
chr2	+	NM_000090	69951	NM_000090:69951:69	189866315	189867023	189866315	189867023
chr2	+	NM_000090	69951	NM_000090:69951:70	189867023	189867077	189867023	189867077
chr2	+	NM_000090	69951	NM_000090:69951:71	189867077	189867680	189867077	189867680
chr2	+	NM_000090	69951	NM_000090:69951:72	189867680	189867788	189867680	189867788
chr2	+	NM_000090	69951	NM_000090:69951:73	189867788	189868136	189867788	189868136
chr2	+	NM_000090	69951	NM_000090:69951:74	189868136	189868190	189868136	189868190
chr2	+	NM_000090	69951	NM_000090:69951:75	189868190	189868459	189868190	189868459
chr2	+	NM_000090	69951	NM_000090:69951:76	189868459	189868513	189868459	189868513
chr2	+	NM_000090	69951	NM_000090:69951:77	189868513	189868707	189868513	189868707
chr2	+	NM_000090	69951	NM_000090:69951:78	189868707	189868869	189868707	189868869
chr2	+	NM_000090	69951	NM_000090:69951:79	189868869	189868982	189868869	189868982
chr2	+	NM_000090	69951	NM_000090:69951:80	189868982	189869090	189868982	189869090
chr2	+	NM_000090	69951	NM_000090:69951:81	189869090	189870075	189869090	189870075
chr2	+	NM_000090	69951	NM_000090:69951:82	189870075	189870183	189870075	189870183
chr2	+	NM_000090	69951	NM_000090:69951:83	189870183	189870931	189870183	189870931
chr2	+	NM_000090	69951	NM_000090:69951:84	189870931	189870985	189870931	189870985
chr2	+	NM_000090	69951	NM_000090:69951:85	189870985	189871070	189870985	189871070
chr2	+	NM_000090	69951	NM_000090:69951:86	189871070	189871178	189871070	189871178
chr2	+	NM_000090	69951	NM_000090:69951:87	189871178	189871662	189871178	189871662
chr2	+	NM_000090	69951	NM_000090:69951:88	189871662	189871716	189871662	189871716
chr2	+	NM_000090	69951	NM_000090:69951:89	189871716	189872225	189871716	189872225
chr2	+	NM_000090	69951	NM_000090:69951:90	189872225	189872333	189872225	189872333
chr2	+	NM_000090	69951	NM_000090:69951:91	189872333	189872610	189872333	189872610
chr2	+	NM_000090	69951	NM_000090:69951:92	189872610	189872664	189872610	189872664
chr2	+	NM_000090	69951	NM_000090:69951:93	189872664	189872760	189872664	189872760
chr2	+	NM_000090	69951	NM_000090:69951:94	189872760	189872868	189872760	189872868
chr2	+	NM_000090	69951	NM_000090:69951:95	189872868	189873649	189872868	189873649
chr2	+	NM_000090	69951	NM_000090:69951:96	189873649	189873947	189873649	189873947
chr2	+	NM_000090	69951	NM_000090:69951:97	189873947	189874903	189873947	189874903
chr2	+	NM_000090	69951	NM_000090:69951:98	189874903	189875091	189874903	189875091
chr2	+	NM_000090	69951	NM_000090:69951:99	189875091	189875373	189875091	189875373
chr2	+	NM_000090	69951	NM_000090:69951:100	189875373	189875616	189875373	189875616
chr2	+	NM_000090	69951	NM_000090:69951:101	189875616	189876353	189875616	189876353
chr2	+	NM_000090	69951	NM_000090:69951:102	189876353	189876500	189876353	189876500
chr2	+	NM_000090	69951	NM_000090:69951:103	189876500	189877472	189876500	189877472
chr2	+	NM_000179	69887	NM_000179:69887:1	48010220	48010372	48010220	48010372
chr2	+	NM_000179	69887	NM_000179:69887:2	48010372	48010632	48010372	48010632
chr2	+	NM_000179	69887	NM_000179:69887:3	48010632	48018065	48010632	48018065
chr2	+	NM_000179	69887	NM_000179:69887:4	48018065	48018262	48018065	48018262
chr2	+	NM_000179	69887	NM_000179:69887:5	48018262	48023032	48018262	48023032
chr2	+	NM_000179	69887	NM_000179:69887:6	48023032	48023202	48023032	48023202
chr2	+	NM_000179	69887	NM_000179:69887:7	48023202	48025749	48023202	48025749
chr2	+	NM_000179	69887	NM_000179:69887:8	48025749	48028294	48025749	48028294
chr2	+	NM_000179	69887	NM_000179:69887:9	48028294	48030558	48028294	48030558
chr2	+	NM_000179	69887	NM_000179:69887:10	48030558	48030824	48030558	48030824
chr2	+	NM_000179	69887	NM_000179:69887:11	48030824	48032048	48030824	48032048
chr2	+	NM_000179	69887	NM_000179:69887:12	48032048	48032166	48032048	48032166
chr2	+	NM_000179	69887	NM_000179:69887:13	48032166	48032756	48032166	48032756
chr2	+	NM_000179	69887	NM_000179:69887:14	48032756	48032846	48032756	48032846
chr2	+	NM_000179	69887	NM_000179:69887:15	48032846	48033342	48032846	48033342
chr2	+	NM_000179	69887	NM_000179:69887:16	48033342	48033497	48033342	48033497
chr2	+	NM_000179	69887	NM_000179:69887:17	48033497	48033590	48033497	48033590
chr2	+	NM_000179	69887	NM_000179:69887:18	48033590	48033790	48033590	48033790
chr2	+	NM_000179	69887	NM_000179:69887:19	48033790	48033917	48033790	48033917
chr2	+	NM_000179	69887	NM_000179:69887:20	48033917	48033999	48033917	48033999
chr2	+	NM_000179	69887	NM_000179:69887:21	48033999	48034092	48033999	48034092
chr2	+	NM_000189	69879	NM_000189:69879:1	75059781	75061707	75059781	75061707
chr2	+	NM_000189	69879	NM_000189:69879:2	75061707	75061770	75061707	75061770
chr2	+	NM_000189	69879	NM_000189:69879:3	75061770	75081419	75061770	75081419
chr2	+	NM_000189	69879	NM_000189:69879:4	75081419	75081582	75081419	75081582
chr2	+	NM_000189	69879	NM_000189:69879:5	75081582	75094762	75081582	75094762
chr2	+	NM_000189	69879	NM_000189:69879:6	75094762	75094911	75094762	75094911
chr2	+	NM_000189	69879	NM_000189:69879:7	75094911	75099426	75094911	75099426
chr2	+	NM_000189	69879	NM_000189:69879:8	75099426	75099546	75099426	75099546
chr2	+	NM_000189	69879	NM_000189:69879:9	75099546	75100402	75099546	75100402
chr2	+	NM_000189	69879	NM_000189:69879:10	75100402	75100498	75100402	75100498
chr2	+	NM_000189	69879	NM_000189:69879:11	75100498	75100970	75100498	75100970
chr2	+	NM_000189	69879	NM_000189:69879:12	75100970	75101070	75100970	75101070
chr2	+	NM_000189	69879	NM_000189:69879:13	75101070	75101392	75101070	75101392
chr2	+	NM_000189	69879	NM_000189:69879:14	75101392	75101576	75101392	75101576
chr2	+	NM_000189	69879	NM_000189:69879:15	75101576	75104292	75101576	75104292
chr2	+	NM_000189	69879	NM_000189:69879:16	75104292	75104448	75104292	75104448
chr2	+	NM_000189	69879	NM_000189:69879:17	75104448	75105814	75104448	75105814
chr2	+	NM_000189	69879	NM_000189:69879:18	75105814	75106048	75105814	75106048
chr2	+	NM_000189	69879	NM_000189:69879:19	75106048	75107391	75106048	75107391
chr2	+	NM_000189	69879	NM_000189:69879:20	75107391	75107696	75107391	75107696
chr2	+	NM_000189	69879	NM_000189:69879:21	75107696	75108837	75107696	75108837
chr2	+	NM_000189	69879	NM_000189:69879:22	75108837	75108986	75108837	75108986
chr2	+	NM_000189	69879	NM_000189:69879:23	75108986	75109246	75108986	75109246
chr2	+	NM_000189	69879	NM_000189:69879:24	75109246	75109366	75109246	75109366
chr2	+	NM_000189	69879	NM_000189:69879:25	75109366	75112620	75109366	75112620
chr2	+	NM_000189	69879	NM_000189:69879:26	75112620	75112716	75112620	75112716
chr2	+	NM_000189	69879	NM_000189:69879:27	75112716	75113420	75112716	75113420
chr2	+	NM_000189	69879	NM_000189:69879:28	75113420	75113520	75113420	75113520
chr2	+	NM_000189	69879	NM_000189:69879:29	75113520	75113616	75113520	75113616
chr2	+	NM_000189	69879	NM_000189:69879:30	75113616	75113800	75113616	75113800
chr2	+	NM_000189	69879	NM_000189:69879:31	75113800	75115029	75113800	75115029
chr2	+	NM_000189	69879	NM_000189:69879:32	75115029	75115185	75115029	75115185
chr2	+	NM_000189	69879	NM_000189:69879:33	75115185	75116371	75115185	75116371
chr2	+	NM_000189	69879	NM_000189:69879:34	75116371	75116605	75116371	75116605
chr2	+	NM_000189	69879	NM_000189:69879:35	75116605	75117923	75116605	75117923
chr2	+	NM_000189	69879	NM_000189:69879:36	75117923	75118068	75117923	75118068
chr2	+	NM_000189	69879	NM_000189:69879:37	75118068	75120481	75118068	75120481
chr2	+	NM_000312	69483	NM_000312:69483:1	128175995	128176068	128175995	128176068
chr2	+	NM_000312	69483	NM_000312:69483:2	128176068	128177497	128176068	128177497
chr2	+	NM_000312	69483	NM_000312:69483:3	128177497	128177518	128177497	128177518
chr2	+	NM_000312	69483	NM_000312:69483:4	128177518	128177588	128177518	128177588
chr2	+	NM_000312	69483	NM_000312:69483:5	128177588	128178858	128177588	128178858
chr2	+	NM_000312	69483	NM_000312:69483:6	128178858	128179025	128178858	128179025
chr2	+	NM_000312	69483	NM_000312:69483:7	128179025	128180492	128179025	128180492
chr2	+	NM_000312	69483	NM_000312:69483:8	128180492	128180517	128180492	128180517
chr2	+	NM_000312	69483	NM_000312:69483:9	128180517	128180609	128180517	128180609
chr2	+	NM_000312	69483	NM_000312:69483:10	128180609	128180747	128180609	128180747
chr2	+	NM_000312	69483	NM_000312:69483:11	128180747	128180849	128180747	128180849
chr2	+	NM_000312	69483	NM_000312:69483:12	128180849	128180984	128180849	128180984
chr2	+	NM_000312	69483	NM_000312:69483:13	128180984	128183660	128180984	128183660
chr2	+	NM_000312	69483	NM_000312:69483:14	128183660	128183803	128183660	128183803
chr2	+	NM_000312	69483	NM_000312:69483:15	128183803	128184680	128183803	128184680
chr2	+	NM_000312	69483	NM_000312:69483:16	128184680	128184798	128184680	128184798
chr2	+	NM_000312	69483	NM_000312:69483:17	128184798	128185932	128184798	128185932
chr2	+	NM_000312	69483	NM_000312:69483:18	128185932	128186522	128185932	128186522
chr2	+	NM_000312	69483	NM_000312:69483:19	128186522	128186822	128186522	128186822
chr2	+	NM_000341	36465	NM_000341:36465:1	44502596	44502674	44502596	44502674
chr2	+	NM_000341	36465	NM_000341:36465:2	44502674	44503104	44502674	44503104
chr2	+	NM_000341	36465	NM_000341:36465:3	44503104	44507854	44503104	44507854
chr2	+	NM_000341	36465	NM_000341:36465:4	44507854	44508034	44507854	44508034
chr2	+	NM_000341	36465	NM_000341:36465:5	44508034	44508525	44508034	44508525
chr2	+	NM_000341	36465	NM_000341:36465:6	44508525	44508680	44508525	44508680
chr2	+	NM_000341	36465	NM_000341:36465:7	44508680	44513170	44508680	44513170
chr2	+	NM_000341	36465	NM_000341:36465:8	44513170	44513296	44513170	44513296
chr2	+	NM_000341	36465	NM_000341:36465:9	44513296	44527109	44513296	44527109
chr2	+	NM_000341	36465	NM_000341:36465:10	44527109	44527229	44527109	44527229
chr2	+	NM_000341	36465	NM_000341:36465:11	44527229	44528141	44527229	44528141
chr2	+	NM_000341	36465	NM_000341:36465:12	44528141	44528266	44528141	44528266
chr2	+	NM_000341	36465	NM_000341:36465:13	44528266	44531281	44528266	44531281
chr2	+	NM_000341	36465	NM_000341:36465:14	44531281	44531477	44531281	44531477
chr2	+	NM_000341	36465	NM_000341:36465:15	44531477	44539724	44531477	44539724
chr2	+	NM_000341	36465	NM_000341:36465:16	44539724	44539892	44539724	44539892
chr2	+	NM_000341	36465	NM_000341:36465:17	44539892	44540973	44539892	44540973
chr2	+	NM_000341	36465	NM_000341:36465:18	44540973	44541090	44540973	44541090
chr2	+	NM_000341	36465	NM_000341:36465:19	44541090	44547337	44541090	44547337
chr2	+	NM_000341	36465	NM_000341:36465:20	44547337	44547778	44547337	44547778
chr2	+	NM_000341	36465	NM_000341:36465:21	44547778	44547962	44547778	44547962
chr2	+	NM_000463	69644	NM_000463:69644:1	234602511	234668918	234602511	234668918
chr2	+	NM_000463	69644	NM_000463:69644:2	234668918	234668933	234668918	234668933
chr2	+	NM_000463	69644	NM_000463:69644:3	234668933	234669797	234668933	234669797
chr2	+	NM_000463	69644	NM_000463:69644:4	234669797	234675679	234669797	234675679
chr2	+	NM_000463	69644	NM_000463:69644:5	234675679	234675811	234675679	234675811
chr2	+	NM_000463	69644	NM_000463:69644:6	234675811	234676494	234675811	234676494
chr2	+	NM_000463	69644	NM_000463:69644:7	234676494	234676582	234676494	234676582
chr2	+	NM_000463	69644	NM_000463:69644:8	234676582	234676865	234676582	234676865
chr2	+	NM_000463	69644	NM_000463:69644:9	234676865	234677085	234676865	234677085
chr2	+	NM_000463	69644	NM_000463:69644:10	234677085	234680907	234677085	234680907
chr2	+	NM_000463	69644	NM_000463:69644:11	234680907	234681205	234680907	234681205
chr2	+	NM_000463	69644	NM_000463:69644:12	234681205	234681945	234681205	234681945
chr2	+	NM_000523	69600	NM_000523:69600:1	176957531	176957618	176957531	176957618
chr2	+	NM_000523	69600	NM_000523:69600:2	176957618	176958399	176957618	176958399
chr2	+	NM_000523	69600	NM_000523:69600:3	176958399	176959207	176958399	176959207
chr2	+	NM_000523	69600	NM_000523:69600:4	176959207	176959458	176959207	176959458
chr2	+	NM_000523	69600	NM_000523:69600:5	176959458	176960666	176959458	176960666
chr2	+	NM_000578	69546	NM_000578:69546:1	219246751	219247091	219246751	219247091
chr2	+	NM_000578	69546	NM_000578:69546:2	219247091	219247098	219247091	219247098
chr2	+	NM_000578	69546	NM_000578:69546:3	219247098	219247682	219247098	219247682
chr2	+	NM_000578	69546	NM_000578:69546:4	219247682	219247825	219247682	219247825
chr2	+	NM_000578	69546	NM_000578:69546:5	219247825	219248965	219247825	219248965
chr2	+	NM_000578	69546	NM_000578:69546:6	219248965	219249088	219248965	219249088
chr2	+	NM_000578	69546	NM_000578:69546:7	219249088	219249869	219249088	219249869
chr2	+	NM_000578	69546	NM_000578:69546:8	219249869	219249989	219249869	219249989
chr2	+	NM_000578	69546	NM_000578:69546:9	219249989	219251357	219249989	219251357
chr2	+	NM_000578	69546	NM_000578:69546:10	219251357	219251464	219251357	219251464
chr2	+	NM_000578	69546	NM_000578:69546:11	219251464	219251882	219251464	219251882
chr2	+	NM_000578	69546	NM_000578:69546:12	219251882	219251953	219251882	219251953
chr2	+	NM_000578	69546	NM_000578:69546:13	219251953	219252287	219251953	219252287
chr2	+	NM_000578	69546	NM_000578:69546:14	219252287	219252355	219252287	219252355
chr2	+	NM_000578	69546	NM_000578:69546:15	219252355	219252522	219252355	219252522
chr2	+	NM_000578	69546	NM_000578:69546:16	219252522	219252678	219252522	219252678
chr2	+	NM_000578	69546	NM_000578:69546:17	219252678	219254592	219252678	219254592
chr2	+	NM_000578	69546	NM_000578:69546:18	219254592	219254751	219254592	219254751
chr2	+	NM_000578	69546	NM_000578:69546:19	219254751	219255920	219254751	219255920
chr2	+	NM_000578	69546	NM_000578:69546:20	219255920	219256010	219255920	219256010
chr2	+	NM_000578	69546	NM_000578:69546:21	219256010	219256098	219256010	219256098
chr2	+	NM_000578	69546	NM_000578:69546:22	219256098	219256218	219256098	219256218
chr2	+	NM_000578	69546	NM_000578:69546:23	219256218	219257703	219256218	219257703
chr2	+	NM_000578	69546	NM_000578:69546:24	219257703	219257853	219257703	219257853
chr2	+	NM_000578	69546	NM_000578:69546:25	219257853	219258842	219257853	219258842
chr2	+	NM_000578	69546	NM_000578:69546:26	219258842	219258916	219258842	219258916
chr2	+	NM_000578	69546	NM_000578:69546:27	219258916	219259354	219258916	219259354
chr2	+	NM_000578	69546	NM_000578:69546:28	219259354	219259508	219259354	219259508
chr2	+	NM_000578	69546	NM_000578:69546:29	219259508	219259647	219259508	219259647
chr2	+	NM_000578	69546	NM_000578:69546:30	219259647	219259758	219259647	219259758
chr2	+	NM_000578	69546	NM_000578:69546:31	219259758	219261617	219259758	219261617
chr2	+	NM_000597	69803	NM_000597:69803:1	217498126	217498246	217498126	217498246
chr2	+	NM_000597	69803	NM_000597:69803:2	217498246	217498290	217498246	217498290
chr2	+	NM_000597	69803	NM_000597:69803:3	217498290	217498688	217498290	217498688
chr2	+	NM_000597	69803	NM_000597:69803:4	217498688	217525279	217498688	217525279
chr2	+	NM_000597	69803	NM_000597:69803:5	217525279	217525509	217525279	217525509
chr2	+	NM_000597	69803	NM_000597:69803:6	217525509	217526580	217525509	217526580
chr2	+	NM_000597	69803	NM_000597:69803:7	217526580	217526721	217526580	217526721
chr2	+	NM_000597	69803	NM_000597:69803:8	217526721	217528662	217526721	217528662
chr2	+	NM_000597	69803	NM_000597:69803:9	217528662	217528827	217528662	217528827
chr2	+	NM_000597	69803	NM_000597:69803:10	217528827	217529158	217528827	217529158
chr2	+	NM_000784	68674	NM_000784:68674:1	219646471	219646905	219646471	219646905
chr2	+	NM_000784	68674	NM_000784:68674:2	219646905	219647160	219646905	219647160
chr2	+	NM_000784	68674	NM_000784:68674:3	219647160	219674299	219647160	219674299
chr2	+	NM_000784	68674	NM_000784:68674:4	219674299	219674490	219674299	219674490
chr2	+	NM_000784	68674	NM_000784:68674:5	219674490	219676944	219674490	219676944
chr2	+	NM_000784	68674	NM_000784:68674:6	219676944	219677144	219676944	219677144
chr2	+	NM_000784	68674	NM_000784:68674:7	219677144	219677274	219677144	219677274
chr2	+	NM_000784	68674	NM_000784:68674:8	219677274	219677472	219677274	219677472
chr2	+	NM_000784	68674	NM_000784:68674:9	219677472	219677646	219677472	219677646
chr2	+	NM_000784	68674	NM_000784:68674:10	219677646	219677819	219677646	219677819
chr2	+	NM_000784	68674	NM_000784:68674:11	219677819	219678743	219677819	219678743
chr2	+	NM_000784	68674	NM_000784:68674:12	219678743	219678910	219678743	219678910
chr2	+	NM_000784	68674	NM_000784:68674:13	219678910	219679102	219678910	219679102
chr2	+	NM_000784	68674	NM_000784:68674:14	219679102	219679181	219679102	219679181
chr2	+	NM_000784	68674	NM_000784:68674:15	219679181	219679267	219679181	219679267
chr2	+	NM_000784	68674	NM_000784:68674:16	219679267	219679480	219679267	219679480
chr2	+	NM_000784	68674	NM_000784:68674:17	219679480	219679633	219679480	219679633
chr2	+	NM_000784	68674	NM_000784:68674:18	219679633	219679753	219679633	219679753
chr2	+	NM_000784	68674	NM_000784:68674:19	219679753	219680016	219679753	219680016
chr2	+	NM_000817	69054	NM_000817:69054:1	171673199	171673558	171673199	171673558
chr2	+	NM_000817	69054	NM_000817:69054:2	171673558	171675038	171673558	171675038
chr2	+	NM_000817	69054	NM_000817:69054:3	171675038	171675101	171675038	171675101
chr2	+	NM_000817	69054	NM_000817:69054:4	171675101	171675183	171675101	171675183
chr2	+	NM_000817	69054	NM_000817:69054:5	171675183	171678596	171675183	171678596
chr2	+	NM_000817	69054	NM_000817:69054:6	171678596	171678659	171678596	171678659
chr2	+	NM_000817	69054	NM_000817:69054:7	171678659	171685984	171678659	171685984
chr2	+	NM_000817	69054	NM_000817:69054:8	171685984	171686143	171685984	171686143
chr2	+	NM_000817	69054	NM_000817:69054:9	171686143	171687459	171686143	171687459
chr2	+	NM_000817	69054	NM_000817:69054:10	171687459	171687702	171687459	171687702
chr2	+	NM_000817	69054	NM_000817:69054:11	171687702	171693302	171687702	171693302
chr2	+	NM_000817	69054	NM_000817:69054:12	171693302	171693393	171693302	171693393
chr2	+	NM_000817	69054	NM_000817:69054:13	171693393	171699078	171693393	171699078
chr2	+	NM_000817	69054	NM_000817:69054:14	171699078	171700554	171699078	171700554
chr2	+	NM_000817	69054	NM_000817:69054:15	171700554	171700667	171700554	171700667
chr2	+	NM_000817	69054	NM_000817:69054:16	171700667	171702015	171700667	171702015
chr2	+	NM_000817	69054	NM_000817:69054:17	171702015	171702131	171702015	171702131
chr2	+	NM_000817	69054	NM_000817:69054:18	171702131	171702215	171702131	171702215
chr2	+	NM_000817	69054	NM_000817:69054:19	171702215	171702295	171702215	171702295
chr2	+	NM_000817	69054	NM_000817:69054:20	171702295	171702518	171702295	171702518
chr2	+	NM_000817	69054	NM_000817:69054:21	171702518	171702573	171702518	171702573
chr2	+	NM_000817	69054	NM_000817:69054:22	171702573	171704185	171702573	171704185
chr2	+	NM_000817	69054	NM_000817:69054:23	171704185	171704302	171704185	171704302
chr2	+	NM_000817	69054	NM_000817:69054:24	171704302	171705795	171704302	171705795
chr2	+	NM_000817	69054	NM_000817:69054:25	171705795	171705860	171705795	171705860
chr2	+	NM_000817	69054	NM_000817:69054:26	171705860	171709223	171705860	171709223
chr2	+	NM_000817	69054	NM_000817:69054:27	171709223	171709302	171709223	171709302
chr2	+	NM_000817	69054	NM_000817:69054:28	171709302	171710382	171709302	171710382
chr2	+	NM_000817	69054	NM_000817:69054:29	171710382	171710532	171710382	171710532
chr2	+	NM_000817	69054	NM_000817:69054:30	171710532	171713527	171710532	171713527
chr2	+	NM_000817	69054	NM_000817:69054:31	171713527	171713635	171713527	171713635
chr2	+	NM_000817	69054	NM_000817:69054:32	171713635	171715313	171713635	171715313
chr2	+	NM_000817	69054	NM_000817:69054:33	171715313	171715403	171715313	171715403
chr2	+	NM_000817	69054	NM_000817:69054:34	171715403	171716218	171715403	171716218
chr2	+	NM_000817	69054	NM_000817:69054:35	171716218	171716392	171716218	171716392
chr2	+	NM_000817	69054	NM_000817:69054:36	171716392	171717659	171716392	171717659
chr2	+	NM_000885	68995	NM_000885:68995:1	182321618	182322381	182321618	182322381
chr2	+	NM_000885	68995	NM_000885:68995:2	182322381	182322578	182322381	182322578
chr2	+	NM_000885	68995	NM_000885:68995:3	182322578	182322922	182322578	182322922
chr2	+	NM_000885	68995	NM_000885:68995:4	182322922	182323044	182322922	182323044
chr2	+	NM_000885	68995	NM_000885:68995:5	182323044	182339686	182323044	182339686
chr2	+	NM_000885	68995	NM_000885:68995:6	182339686	182339793	182339686	182339793
chr2	+	NM_000885	68995	NM_000885:68995:7	182339793	182339885	182339793	182339885
chr2	+	NM_000885	68995	NM_000885:68995:8	182339885	182340015	182339885	182340015
chr2	+	NM_000885	68995	NM_000885:68995:9	182340015	182343483	182340015	182343483
chr2	+	NM_000885	68995	NM_000885:68995:10	182343483	182343551	182343483	182343551
chr2	+	NM_000885	68995	NM_000885:68995:11	182343551	182344863	182343551	182344863
chr2	+	NM_000885	68995	NM_000885:68995:12	182344863	182344993	182344863	182344993
chr2	+	NM_000885	68995	NM_000885:68995:13	182344993	182346324	182344993	182346324
chr2	+	NM_000885	68995	NM_000885:68995:14	182346324	182346410	182346324	182346410
chr2	+	NM_000885	68995	NM_000885:68995:15	182346410	182347086	182346410	182347086
chr2	+	NM_000885	68995	NM_000885:68995:16	182347086	182347149	182347086	182347149
chr2	+	NM_000885	68995	NM_000885:68995:17	182347149	182347240	182347149	182347240
