contig	strand	refseqid	row	site_pos	PosType	PosAno
chr2	+	NM_000090	69951	189871071	ss3	E43
chr2	+	NM_000090	69951	189871178	ss5	E43
chr2	+	NM_000090	69951	189871663	ss3	E44
chr2	+	NM_000090	69951	189871716	ss5	E44
chr2	+	NM_000090	69951	189872226	ss3	E45
chr2	+	NM_000090	69951	189872333	ss5	E45
chr2	+	NM_000090	69951	189872611	ss3	E46
chr2	+	NM_000090	69951	189872664	ss5	E46
chr2	+	NM_000090	69951	189872761	ss3	E47
chr2	+	NM_000090	69951	189872868	ss5	E47
chr2	+	NM_000090	69951	189873650	ss3	E48
chr2	+	NM_000090	69951	189873947	ss5	E48
chr2	+	NM_000090	69951	189874904	ss3	E49
chr2	+	NM_000090	69951	189875091	ss5	E49
chr2	+	NM_000090	69951	189875374	ss3	E50
chr2	+	NM_000090	69951	189875616	ss5	E50
chr2	+	NM_000090	69951	189876354	ss3	E51
chr2	+	NM_000090	69951	189876500	ce	ce
chr2	+	NM_000090	69951	189877472	te	E51
chr2	+	NM_000179	69887	48010221	ts	E1
chr2	+	NM_000179	69887	48010373	cs	cs
chr2	+	NM_000179	69887	48010632	ss5	E1
chr2	+	NM_000179	69887	48018066	ss3	E2
chr2	+	NM_000179	69887	48018262	ss5	E2
chr2	+	NM_000179	69887	48023033	ss3	E3
chr2	+	NM_000179	69887	48023202	ss5	E3
chr2	+	NM_000179	69887	48025750	ss3	E4
chr2	+	NM_000179	69887	48028294	ss5	E4
chr2	+	NM_000179	69887	48030559	ss3	E5
chr2	+	NM_000179	69887	48030824	ss5	E5
chr2	+	NM_000179	69887	48032049	ss3	E6
chr2	+	NM_000179	69887	48032166	ss5	E6
chr2	+	NM_000179	69887	48032757	ss3	E7
chr2	+	NM_000179	69887	48032846	ss5	E7
chr2	+	NM_000179	69887	48033343	ss3	E8
chr2	+	NM_000179	69887	48033497	ss5	E8
chr2	+	NM_000179	69887	48033591	ss3	E9
chr2	+	NM_000179	69887	48033790	ss5	E9
chr2	+	NM_000179	69887	48033918	ss3	E10
chr2	+	NM_000179	69887	48033999	ce	ce
chr2	+	NM_000179	69887	48034092	te	E10
chr2	+	NM_000189	69879	75059782	ts	E1
chr2	+	NM_000189	69879	75061708	cs	cs
chr2	+	NM_000189	69879	75061770	ss5	E1
chr2	+	NM_000189	69879	75081420	ss3	E2
chr2	+	NM_000189	69879	75081582	ss5	E2
chr2	+	NM_000189	69879	75094763	ss3	E3
chr2	+	NM_000189	69879	75094911	ss5	E3
chr2	+	NM_000189	69879	75099427	ss3	E4
chr2	+	NM_000189	69879	75099546	ss5	E4
chr2	+	NM_000189	69879	75100403	ss3	E5
chr2	+	NM_000189	69879	75100498	ss5	E5
chr2	+	NM_000189	69879	75100971	ss3	E6
chr2	+	NM_000189	69879	75101070	ss5	E6
chr2	+	NM_000189	69879	75101393	ss3	E7
chr2	+	NM_000189	69879	75101576	ss5	E7
chr2	+	NM_000189	69879	75104293	ss3	E8
chr2	+	NM_000189	69879	75104448	ss5	E8
chr2	+	NM_000189	69879	75105815	ss3	E9
chr2	+	NM_000189	69879	75106048	ss5	E9
chr2	+	NM_000189	69879	75107392	ss3	E10
chr2	+	NM_000189	69879	75107696	ss5	E10
chr2	+	NM_000189	69879	75108838	ss3	E11
chr2	+	NM_000189	69879	75108986	ss5	E11
chr2	+	NM_000189	69879	75109247	ss3	E12
chr2	+	NM_000189	69879	75109366	ss5	E12
chr2	+	NM_000189	69879	75112621	ss3	E13
chr2	+	NM_000189	69879	75112716	ss5	E13
chr2	+	NM_000189	69879	75113421	ss3	E14
chr2	+	NM_000189	69879	75113520	ss5	E14
chr2	+	NM_000189	69879	75113617	ss3	E15
chr2	+	NM_000189	69879	75113800	ss5	E15
chr2	+	NM_000189	69879	75115030	ss3	E16
chr2	+	NM_000189	69879	75115185	ss5	E16
chr2	+	NM_000189	69879	75116372	ss3	E17
chr2	+	NM_000189	69879	75116605	ss5	E17
chr2	+	NM_000189	69879	75117924	ss3	E18
chr2	+	NM_000189	69879	75118068	ce	ce
chr2	+	NM_000189	69879	75120481	te	E18
chr2	+	NM_000312	69483	128175996	ts	E1
chr2	+	NM_000312	69483	128176068	ss5	E1
chr2	+	NM_000312	69483	128177498	ss3	E2
chr2	+	NM_000312	69483	128177519	cs	cs
chr2	+	NM_000312	69483	128177588	ss5	E2
chr2	+	NM_000312	69483	128178859	ss3	E3
chr2	+	NM_000312	69483	128179025	ss5	E3
chr2	+	NM_000312	69483	128180493	ss3	E4
chr2	+	NM_000312	69483	128180517	ss5	E4
chr2	+	NM_000312	69483	128180610	ss3	E5
chr2	+	NM_000312	69483	128180747	ss5	E5
chr2	+	NM_000312	69483	128180850	ss3	E6
chr2	+	NM_000312	69483	128180984	ss5	E6
chr2	+	NM_000312	69483	128183661	ss3	E7
chr2	+	NM_000312	69483	128183803	ss5	E7
chr2	+	NM_000312	69483	128184681	ss3	E8
chr2	+	NM_000312	69483	128184798	ss5	E8
chr2	+	NM_000312	69483	128185933	ss3	E9
chr2	+	NM_000312	69483	128186522	ce	ce
chr2	+	NM_000312	69483	128186822	te	E9
chr2	+	NM_000341	36465	44502597	ts	E1
chr2	+	NM_000341	36465	44502675	cs	cs
chr2	+	NM_000341	36465	44503104	ss5	E1
chr2	+	NM_000341	36465	44507855	ss3	E2
chr2	+	NM_000341	36465	44508034	ss5	E2
chr2	+	NM_000341	36465	44508526	ss3	E3
chr2	+	NM_000341	36465	44508680	ss5	E3
chr2	+	NM_000341	36465	44513171	ss3	E4
chr2	+	NM_000341	36465	44513296	ss5	E4
chr2	+	NM_000341	36465	44527110	ss3	E5
chr2	+	NM_000341	36465	44527229	ss5	E5
chr2	+	NM_000341	36465	44528142	ss3	E6
chr2	+	NM_000341	36465	44528266	ss5	E6
chr2	+	NM_000341	36465	44531282	ss3	E7
chr2	+	NM_000341	36465	44531477	ss5	E7
chr2	+	NM_000341	36465	44539725	ss3	E8
chr2	+	NM_000341	36465	44539892	ss5	E8
chr2	+	NM_000341	36465	44540974	ss3	E9
chr2	+	NM_000341	36465	44541090	ss5	E9
chr2	+	NM_000341	36465	44547338	ss3	E10
chr2	+	NM_000341	36465	44547778	ce	ce
chr2	+	NM_000341	36465	44547962	te	E10
chr2	+	NM_000463	69644	234602511	ss5	NM_001072:E1
chr2	+	NM_000463	69644	234668919	ts	E1
chr2	+	NM_000463	69644	234668934	cs	cs
chr2	+	NM_000463	69644	234669797	ss5	E1
chr2	+	NM_000463	69644	234675680	ss3	E2
chr2	+	NM_000463	69644	234675811	ss5	E2
chr2	+	NM_000463	69644	234676495	ss3	E3
chr2	+	NM_000463	69644	234676582	ss5	E3
chr2	+	NM_000463	69644	234676866	ss3	E4
chr2	+	NM_000463	69644	234677085	ss5	E4
chr2	+	NM_000463	69644	234680908	ss3	E5
chr2	+	NM_000463	69644	234681205	ce	ce
chr2	+	NM_000463	69644	234681945	te	E5
chr2	+	NM_000523	69600	176957532	ts	E1
chr2	+	NM_000523	69600	176957619	cs	cs
chr2	+	NM_000523	69600	176958399	ss5	E1
chr2	+	NM_000523	69600	176959208	ss3	E2
chr2	+	NM_000523	69600	176959458	ce	ce
chr2	+	NM_000523	69600	176960666	te	E2
chr2	+	NM_000578	69546	219246752	ts	E1
chr2	+	NM_000578	69546	219247092	cs	cs
chr2	+	NM_000578	69546	219247098	ss5	E1
chr2	+	NM_000578	69546	219247683	ss3	E2
chr2	+	NM_000578	69546	219247825	ss5	E2
chr2	+	NM_000578	69546	219248966	ss3	E3
chr2	+	NM_000578	69546	219249088	ss5	E3
chr2	+	NM_000578	69546	219249870	ss3	E4
chr2	+	NM_000578	69546	219249989	ss5	E4
chr2	+	NM_000578	69546	219251358	ss3	E5
chr2	+	NM_000578	69546	219251464	ss5	E5
chr2	+	NM_000578	69546	219251883	ss3	E6
chr2	+	NM_000578	69546	219251953	ss5	E6
chr2	+	NM_000578	69546	219252288	ss3	E7
chr2	+	NM_000578	69546	219252355	ss5	E7
chr2	+	NM_000578	69546	219252523	ss3	E8
chr2	+	NM_000578	69546	219252678	ss5	E8
chr2	+	NM_000578	69546	219254593	ss3	E9
chr2	+	NM_000578	69546	219254751	ss5	E9
chr2	+	NM_000578	69546	219255921	ss3	E10
chr2	+	NM_000578	69546	219256010	ss5	E10
chr2	+	NM_000578	69546	219256099	ss3	E11
chr2	+	NM_000578	69546	219256218	ss5	E11
chr2	+	NM_000578	69546	219257704	ss3	E12
chr2	+	NM_000578	69546	219257853	ss5	E12
chr2	+	NM_000578	69546	219258843	ss3	E13
chr2	+	NM_000578	69546	219258916	ss5	E13
chr2	+	NM_000578	69546	219259355	ss3	E14
chr2	+	NM_000578	69546	219259508	ss5	E14
chr2	+	NM_000578	69546	219259648	ss3	E15
chr2	+	NM_000578	69546	219259758	ce	ce
chr2	+	NM_000578	69546	219261617	te	E15
chr2	+	NM_000597	69803	217498127	ts	E1
chr2	+	NM_000597	69803	217498247	cs	cs
chr2	+	NM_000597	69803	217498290	ss5	E1
chr2	+	NM_000597	69803	217498291	ss3	E2
chr2	+	NM_000597	69803	217498688	ss5	E2
chr2	+	NM_000597	69803	217525280	ss3	E3
chr2	+	NM_000597	69803	217525509	ss5	E3
chr2	+	NM_000597	69803	217526581	ss3	E4
chr2	+	NM_000597	69803	217526721	ss5	E4
chr2	+	NM_000597	69803	217528663	ss3	E5
chr2	+	NM_000597	69803	217528827	ce	ce
chr2	+	NM_000597	69803	217529158	te	E5
chr2	+	NM_000784	68674	219646472	ts	E1
chr2	+	NM_000784	68674	219646906	cs	cs
chr2	+	NM_000784	68674	219647160	ss5	E1
chr2	+	NM_000784	68674	219674300	ss3	E2
chr2	+	NM_000784	68674	219674490	ss5	E2
chr2	+	NM_000784	68674	219676945	ss3	E3
chr2	+	NM_000784	68674	219677144	ss5	E3
chr2	+	NM_000784	68674	219677275	ss3	E4
chr2	+	NM_000784	68674	219677472	ss5	E4
chr2	+	NM_000784	68674	219677647	ss3	E5
chr2	+	NM_000784	68674	219677819	ss5	E5
chr2	+	NM_000784	68674	219678744	ss3	E6
chr2	+	NM_000784	68674	219678910	ss5	E6
chr2	+	NM_000784	68674	219679103	ss3	E7
chr2	+	NM_000784	68674	219679181	ss5	E7
chr2	+	NM_000784	68674	219679268	ss3	E8
chr2	+	NM_000784	68674	219679480	ss5	E8
chr2	+	NM_000784	68674	219679634	ss3	E9
chr2	+	NM_000784	68674	219679753	ce	ce
chr2	+	NM_000784	68674	219680016	te	E9
chr2	+	NM_000817	69054	171673200	ts	E1
chr2	+	NM_000817	69054	171673558	ss5	E1
chr2	+	NM_000817	69054	171675039	ss3	E2
chr2	+	NM_000817	69054	171675102	cs	cs
chr2	+	NM_000817	69054	171675183	ss5	E2
chr2	+	NM_000817	69054	171678597	ss3	E3
chr2	+	NM_000817	69054	171678659	ss5	E3
chr2	+	NM_000817	69054	171685985	ss3	E4
chr2	+	NM_000817	69054	171686143	ss5	E4
chr2	+	NM_000817	69054	171687460	ss3	E5
chr2	+	NM_000817	69054	171687702	ss5	E5
chr2	+	NM_000817	69054	171693303	ss3	E6
chr2	+	NM_000817	69054	171693393	ss5	E6
chr2	+	NM_000817	69054	171699079	ss3	n-dE6ss5
chr2	+	NM_000817	69054	171700555	ss3	E7
chr2	+	NM_000817	69054	171700667	ss5	E7
chr2	+	NM_000817	69054	171702016	ss3	E8
chr2	+	NM_000817	69054	171702131	ss5	E8
chr2	+	NM_000817	69054	171702216	ss3	E9
chr2	+	NM_000817	69054	171702295	ss5	E9
chr2	+	NM_000817	69054	171702519	ss3	E10
chr2	+	NM_000817	69054	171702573	ss5	E10
chr2	+	NM_000817	69054	171704186	ss3	E11
chr2	+	NM_000817	69054	171704302	ss5	E11
chr2	+	NM_000817	69054	171705796	ss3	E12
chr2	+	NM_000817	69054	171705860	ss5	E12
chr2	+	NM_000817	69054	171709224	ss3	E13
chr2	+	NM_000817	69054	171709302	ss5	E13
chr2	+	NM_000817	69054	171710383	ss3	E14
chr2	+	NM_000817	69054	171710532	ss5	E14
chr2	+	NM_000817	69054	171713528	ss3	E15
chr2	+	NM_000817	69054	171713635	ss5	E15
chr2	+	NM_000817	69054	171715314	ss3	E16
chr2	+	NM_000817	69054	171715403	ss5	E16
chr2	+	NM_000817	69054	171716219	ss3	E17
chr2	+	NM_000817	69054	171716392	ce	ce
chr2	+	NM_000817	69054	171717659	te	E17
chr2	+	NM_000885	68995	182321619	ts	E1
chr2	+	NM_000885	68995	182322382	cs	cs
chr2	+	NM_000885	68995	182322578	ss5	E1
chr2	+	NM_000885	68995	182322923	ss3	E2
chr2	+	NM_000885	68995	182323044	ss5	E2
chr2	+	NM_000885	68995	182339687	ss3	E3
chr2	+	NM_000885	68995	182339793	ss5	E3
chr2	+	NM_000885	68995	182339886	ss3	E4
chr2	+	NM_000885	68995	182340015	ss5	E4
chr2	+	NM_000885	68995	182343484	ss3	E5
chr2	+	NM_000885	68995	182343551	ss5	E5
chr2	+	NM_000885	68995	182344864	ss3	E6
chr2	+	NM_000885	68995	182344993	ss5	E6
chr2	+	NM_000885	68995	182346325	ss3	E7
chr2	+	NM_000885	68995	182346410	ss5	E7
chr2	+	NM_000885	68995	182347087	ss3	E8
chr2	+	NM_000885	68995	182347149	ss5	E8
chr2	+	NM_000885	68995	182347241	ss3	E9
chr2	+	NM_000885	68995	182347378	ss5	E9
chr2	+	NM_000885	68995	182350608	ss3	E10
chr2	+	NM_000885	68995	182350719	ss5	E10
chr2	+	NM_000885	68995	182358052	ss3	E11
chr2	+	NM_000885	68995	182358146	ss5	E11
chr2	+	NM_000885	68995	182359449	ss3	E12
chr2	+	NM_000885	68995	182359539	ss5	E12
chr2	+	NM_000885	68995	182360098	ss3	E13
chr2	+	NM_000885	68995	182360143	ss5	E13
chr2	+	NM_000885	68995	182360510	ss3	E14
chr2	+	NM_000885	68995	182360664	ss5	E14
chr2	+	NM_000885	68995	182363350	ss3	E15
chr2	+	NM_000885	68995	182363504	ss5	E15
chr2	+	NM_000885	68995	182374385	ss3	E16
chr2	+	NM_000885	68995	182374534	ss5	E16
chr2	+	NM_000885	68995	182376426	ss3	E17
chr2	+	NM_000885	68995	182376502	ss5	E17
chr2	+	NM_000885	68995	182386918	ss3	E18
chr2	+	NM_000885	68995	182387068	ss5	E18
chr2	+	NM_000885	68995	182388164	ss3	E19
chr2	+	NM_000885	68995	182388259	ss5	E19
chr2	+	NM_000885	68995	182388898	ss3	E20
chr2	+	NM_000885	68995	182388977	ss5	E20
chr2	+	NM_000885	68995	182389929	ss3	E21
chr2	+	NM_000885	68995	182390018	ss5	E21
chr2	+	NM_000885	68995	182392024	ss3	E22
chr2	+	NM_000885	68995	182392114	ss5	E22
chr2	+	NM_000885	68995	182394268	ss3	E23
chr2	+	NM_000885	68995	182394375	ss5	E23
chr2	+	NM_000885	68995	182395251	ss3	E24
chr2	+	NM_000885	68995	182395376	ss5	E24
chr2	+	NM_000885	68995	182396384	ss3	E25
chr2	+	NM_000885	68995	182396503	ss5	E25
chr2	+	NM_000885	68995	182398999	ss3	E26
chr2	+	NM_000885	68995	182399097	ss5	E26
chr2	+	NM_000885	68995	182399543	ss3	E27
chr2	+	NM_000885	68995	182399662	ss5	E27
chr2	+	NM_000885	68995	182400159	ss3	E28
chr2	+	NM_000885	68995	182400254	ce	ce
chr2	+	NM_000885	68995	182403655	te	E28
chr2	+	NM_000998	68187	217363520	ts	E1
chr2	+	NM_000998	68187	217363598	cs	cs
chr2	+	NM_000998	68187	217363600	ss5	E1
chr2	+	NM_000998	68187	217363993	ss3	E2
chr2	+	NM_000998	68187	217364121	ss5	E2
chr2	+	NM_000998	68187	217364672	ss3	E3
chr2	+	NM_000998	68187	217364754	ss5	E3
chr2	+	NM_000998	68187	217366064	ss3	E4
chr2	+	NM_000998	68187	217366127	ce	ce
chr2	+	NM_000998	68187	217366188	te	E4
chr2	+	NM_001001521	68129	64068098	ts	E1
chr2	+	NM_001001521	68129	64068366	ss5	E1
chr2	+	NM_001001521	68129	64069338	ss5	n-dE1ss5
chr2	+	NM_001001521	68129	64069733	ss5	n-dE1ss5
chr2	+	NM_001001521	68129	64083440	ss3	E2
chr2	+	NM_001001521	68129	64083454	cs	cs
chr2	+	NM_001001521	68129	64083567	ss5	E2
chr2	+	NM_001001521	68129	64084963	ss3	E3
chr2	+	NM_001001521	68129	64085070	ss5	E3
chr2	+	NM_001001521	68129	64109600	ss3	E4
chr2	+	NM_001001521	68129	64109785	ss5	E4
chr2	+	NM_001001521	68129	64111094	ss3	E5
chr2	+	NM_001001521	68129	64111227	ss5	E5
chr2	+	NM_001001521	68129	64112723	ss3	E6
chr2	+	NM_001001521	68129	64113020	ss5	E6
chr2	+	NM_001001521	68129	64113475	ss3	E7
chr2	+	NM_001001521	68129	64113672	ss5	E7
chr2	+	NM_001001521	68129	64114536	ss3	E8
chr2	+	NM_001001521	68129	64114778	ss5	E8
chr2	+	NM_001001521	68129	64117215	ss3	E9
chr2	+	NM_001001521	68129	64117319	ss5	E9
chr2	+	NM_001001521	68129	64118254	ss3	E10
chr2	+	NM_001001521	68129	64118361	ce	ce
chr2	+	NM_001001521	68129	64118696	te	E10
chr2	+	NM_001001664	68875	139259350	ts	E1
chr2	+	NM_001001664	68875	139259689	ss5	E1
chr2	+	NM_001001664	68875	139307727	ss3	E2
chr2	+	NM_001001664	68875	139307787	cs	cs
chr2	+	NM_001001664	68875	139307864	ss5	E2
chr2	+	NM_001001664	68875	139308053	ss3	E3
chr2	+	NM_001001664	68875	139308174	ss5	E3
chr2	+	NM_001001664	68875	139308473	ss3	E4
chr2	+	NM_001001664	68875	139308544	ss3	n-dE4ss3
chr2	+	NM_001001664	68875	139308624	ss5	E4
chr2	+	NM_001001664	68875	139310124	ss3	E5
chr2	+	NM_001001664	68875	139310251	ss5	E5
chr2	+	NM_001001664	68875	139316592	ss3	E6
chr2	+	NM_001001664	68875	139316769	ss5	E6
chr2	+	NM_001001664	68875	139316852	ss3	E7
chr2	+	NM_001001664	68875	139316907	ss5	E7
chr2	+	NM_001001664	68875	139318375	ss3	E8
chr2	+	NM_001001664	68875	139318497	ss5	E8
chr2	+	NM_001001664	68875	139322278	ss3	E9
chr2	+	NM_001001664	68875	139322420	ss5	E9
chr2	+	NM_001001664	68875	139322510	ss3	E10
chr2	+	NM_001001664	68875	139322563	ss5	E10
chr2	+	NM_001001664	68875	139326506	ss3	E11
chr2	+	NM_001001664	68875	139326650	ce	ce
chr2	+	NM_001001664	68875	139330805	te	E11
chr2	+	NM_001003845	67876	171571857	ts	E1
chr2	+	NM_001003845	67876	171572023	cs	cs
chr2	+	NM_001003845	67876	171572073	ss5	E1
chr2	+	NM_001003845	67876	171572769	ss3	E2
chr2	+	NM_001003845	67876	171573914	ce	ce
chr2	+	NM_001003845	67876	171574498	te	E2
chr2	+	NM_001005386	68372	65454829	ts	E1
chr2	+	NM_001005386	68372	65455044	cs	cs
chr2	+	NM_001005386	68372	65455091	ss5	E1
chr2	+	NM_001005386	68372	65466986	ss3	E2
chr2	+	NM_001005386	68372	65467096	ss5	E2
chr2	+	NM_001005386	68372	65469183	ss3	E3
chr2	+	NM_001005386	68372	65469197	ss5	E3
chr2	+	NM_001005386	68372	65473658	ss3	E4
chr2	+	NM_001005386	68372	65473873	ss5	E4
chr2	+	NM_001005386	68372	65478161	ss3	E5
chr2	+	NM_001005386	68372	65478233	ss5	E5
chr2	+	NM_001005386	68372	65480862	ss3	E6
chr2	+	NM_001005386	68372	65480998	ss5	E6
chr2	+	NM_001005386	68372	65482679	ss3	E7
chr2	+	NM_001005386	68372	65482828	ss5	E7
chr2	+	NM_001005386	68372	65488381	ss3	E8
chr2	+	NM_001005386	68372	65488526	ss5	E8
chr2	+	NM_001005386	68372	65492177	ss3	E9
chr2	+	NM_001005386	68372	65492309	ss5	E9
chr2	+	NM_001005386	68372	65495698	ss3	E10
chr2	+	NM_001005386	68372	65495868	ce	ce
chr2	+	NM_001005386	68372	65498390	te	E10
chr2	+	NM_001006635	67610	177134123	ts	E1
chr2	+	NM_001006635	67610	177134397	ss5	E1
chr2	+	NM_001006635	67610	177134944	ss3	E2
chr2	+	NM_001006635	67610	177135138	cs	cs
chr2	+	NM_001006635	67610	177135147	ss5	E2
chr2	+	NM_001006635	67610	177161588	ss3	E3
chr2	+	NM_001006635	67610	177161635	ss5	E3
chr2	+	NM_001006635	67610	177162577	ss3	E4
chr2	+	NM_001006635	67610	177162623	ss5	E4
chr2	+	NM_001006635	67610	177188120	ss3	E5
chr2	+	NM_001006635	67610	177188192	ss5	E5
chr2	+	NM_001006635	67610	177191553	ss3	E6
chr2	+	NM_001006635	67610	177191629	ss5	E6
chr2	+	NM_001006635	67610	177193021	ss3	E7
chr2	+	NM_001006635	67610	177193113	ss5	E7
chr2	+	NM_001006635	67610	177193602	ss3	E8
chr2	+	NM_001006635	67610	177193640	ss5	E8
chr2	+	NM_001006635	67610	177194029	ss3	E9
chr2	+	NM_001006635	67610	177194154	ss5	E9
chr2	+	NM_001006635	67610	177195312	ss3	E10
chr2	+	NM_001006635	67610	177195388	ss5	E10
chr2	+	NM_001006635	67610	177202221	ss3	E11
chr2	+	NM_001006635	67610	177202392	ce	ce
chr2	+	NM_001006635	67610	177202753	te	E11
chr2	+	NM_001007231	67548	68961913	ts	E1
chr2	+	NM_001007231	67548	68962332	cs	cs
chr2	+	NM_001007231	67548	68962392	ss5	E1
chr2	+	NM_001007231	67548	69002353	ss3	E2
chr2	+	NM_001007231	67548	69002552	ss5	E2
chr2	+	NM_001007231	67548	69009365	ss3	E3
chr2	+	NM_001007231	67548	69009452	ss5	E3
chr2	+	NM_001007231	67548	69014972	ss3	E4
chr2	+	NM_001007231	67548	69015088	ss5	E4
chr2	+	NM_001007231	67548	69034405	ss3	E5
chr2	+	NM_001007231	67548	69034408	ss3	NM_001166277:E4
chr2	+	NM_001007231	67548	69034612	ss5	E5
chr2	+	NM_001007231	67548	69040419	ss3	E6
chr2	+	NM_001007231	67548	69040551	ss5	E6
chr2	+	NM_001007231	67548	69043421	ss3	E7
chr2	+	NM_001007231	67548	69043494	ss5	E7
chr2	+	NM_001007231	67548	69045005	ss3	E8
chr2	+	NM_001007231	67548	69045126	ss5	E8
chr2	+	NM_001007231	67548	69046255	ss3	E9
chr2	+	NM_001007231	67548	69046451	ss5	E9
chr2	+	NM_001007231	67548	69049472	ss3	E10
chr2	+	NM_001007231	67548	69050004	ss5	E10
chr2	+	NM_001007231	67548	69053119	ss3	E11
chr2	+	NM_001007231	67548	69053326	ce	ce
chr2	+	NM_001007231	67548	69053957	te	E11
chr2	+	NM_001008387	31689	79252812	ts	E1
chr2	+	NM_001008387	31689	79252899	ss5	E1
chr2	+	NM_001008387	31689	79253109	ss3	E2
chr2	+	NM_001008387	31689	79253209	ss3	n-dE2ss3
chr2	+	NM_001008387	31689	79253220	cs	cs
chr2	+	NM_001008387	31689	79253295	ss5	E2
chr2	+	NM_001008387	31689	79253839	ss3	E3
chr2	+	NM_001008387	31689	79253957	ss5	E3
chr2	+	NM_001008387	31689	79254160	ss3	E4
chr2	+	NM_001008387	31689	79254297	ss5	E4
chr2	+	NM_001008387	31689	79254933	ss3	E5
chr2	+	NM_001008387	31689	79255059	ss5	E5
chr2	+	NM_001008387	31689	79255335	ss3	E6
