Gblock_id	cds_len	transcript_len
NM_000189:69879:19	0	1343
NM_000189:69879:20	0	305
NM_000189:69879:21	0	1141
NM_000189:69879:22	0	149
NM_000189:69879:23	0	260
NM_000189:69879:24	0	120
NM_000189:69879:25	0	3254
NM_000189:69879:26	0	96
NM_000189:69879:27	0	704
NM_000189:69879:28	0	100
NM_000189:69879:29	0	96
NM_000189:69879:30	0	184
NM_000189:69879:31	0	1229
NM_000189:69879:32	0	156
NM_000189:69879:33	0	1186
NM_000189:69879:34	0	234
NM_000189:69879:35	0	1318
NM_000189:69879:36	0	145
NM_000189:69879:37	0	2413
NM_000312:69483:1	0	73
NM_000312:69483:2	0	1429
NM_000312:69483:3	0	21
NM_000312:69483:4	0	70
NM_000312:69483:5	0	1270
NM_000312:69483:6	0	167
NM_000312:69483:7	0	1467
NM_000312:69483:8	0	25
NM_000312:69483:9	0	92
NM_000312:69483:10	0	138
NM_000312:69483:11	0	102
NM_000312:69483:12	0	135
NM_000312:69483:13	0	2676
NM_000312:69483:14	0	143
NM_000312:69483:15	0	877
NM_000312:69483:16	0	118
NM_000312:69483:17	0	1134
NM_000312:69483:18	0	590
NM_000312:69483:19	0	300
NM_000341:36465:1	0	78
NM_000341:36465:2	0	430
NM_000341:36465:3	0	4750
NM_000341:36465:4	0	180
NM_000341:36465:5	0	491
NM_000341:36465:6	0	155
NM_000341:36465:7	0	4490
NM_000341:36465:8	0	126
NM_000341:36465:9	0	13813
NM_000341:36465:10	0	120
NM_000341:36465:11	0	912
NM_000341:36465:12	0	125
NM_000341:36465:13	0	3015
NM_000341:36465:14	0	196
NM_000341:36465:15	0	8247
NM_000341:36465:16	0	168
NM_000341:36465:17	0	1081
NM_000341:36465:18	0	117
NM_000341:36465:19	0	6247
NM_000341:36465:20	0	441
NM_000341:36465:21	0	184
NM_000463:69644:1	0	66407
NM_000463:69644:2	0	15
NM_000463:69644:3	0	864
NM_000463:69644:4	0	5882
NM_000463:69644:5	0	132
NM_000463:69644:6	0	683
NM_000463:69644:7	0	88
NM_000463:69644:8	0	283
NM_000463:69644:9	0	220
NM_000463:69644:10	0	3822
NM_000463:69644:11	0	298
NM_000463:69644:12	0	740
NM_000523:69600:1	0	87
NM_000523:69600:2	0	781
NM_000523:69600:3	0	808
NM_000523:69600:4	0	251
NM_000523:69600:5	0	1208
NM_000578:69546:1	0	340
NM_000578:69546:2	0	7
NM_000578:69546:3	0	584
NM_000578:69546:4	0	143
NM_000578:69546:5	0	1140
NM_000578:69546:6	0	123
NM_000578:69546:7	0	781
NM_000578:69546:8	0	120
NM_000578:69546:9	0	1368
NM_000578:69546:10	0	107
NM_000578:69546:11	0	418
NM_000578:69546:12	0	71
NM_000578:69546:13	0	334
NM_000578:69546:14	0	68
NM_000578:69546:15	0	167
NM_000578:69546:16	0	156
NM_000578:69546:17	0	1914
NM_000578:69546:18	0	159
NM_000578:69546:19	0	1169
NM_000578:69546:20	0	90
NM_000578:69546:21	0	88
NM_000578:69546:22	0	120
NM_000578:69546:23	0	1485
NM_000578:69546:24	0	150
NM_000578:69546:25	0	989
NM_000578:69546:26	0	74
NM_000578:69546:27	0	438
NM_000578:69546:28	0	154
NM_000578:69546:29	0	139
NM_000578:69546:30	0	111
NM_000578:69546:31	0	1859
NM_000597:69803:1	0	120
NM_000597:69803:2	0	44
NM_000597:69803:3	0	398
NM_000597:69803:4	0	26591
NM_000597:69803:5	0	230
NM_000597:69803:6	0	1071
NM_000597:69803:7	0	141
NM_000597:69803:8	0	1941
NM_000597:69803:9	0	165
NM_000597:69803:10	0	331
NM_000784:68674:1	0	434
NM_000784:68674:2	0	255
NM_000784:68674:3	0	27139
NM_000784:68674:4	0	191
NM_000784:68674:5	0	2454
NM_000784:68674:6	0	200
NM_000784:68674:7	0	130
NM_000784:68674:8	0	198
NM_000784:68674:9	0	174
NM_000784:68674:10	0	173
NM_000784:68674:11	0	924
NM_000784:68674:12	0	167
NM_000784:68674:13	0	192
NM_000784:68674:14	0	79
NM_000784:68674:15	0	86
NM_000784:68674:16	0	213
NM_000784:68674:17	0	153
NM_000784:68674:18	0	120
NM_000784:68674:19	0	263
NM_000817:69054:1	0	359
NM_000817:69054:2	0	1480
NM_000817:69054:3	0	63
NM_000817:69054:4	0	82
NM_000817:69054:5	0	3413
NM_000817:69054:6	0	63
NM_000817:69054:7	0	7325
NM_000817:69054:8	0	159
NM_000817:69054:9	0	1316
NM_000817:69054:10	0	243
NM_000817:69054:11	0	5600
NM_000817:69054:12	0	91
NM_000817:69054:13	0	5685
NM_000817:69054:14	0	1476
NM_000817:69054:15	0	113
NM_000817:69054:16	0	1348
NM_000817:69054:17	0	116
NM_000817:69054:18	0	84
NM_000817:69054:19	0	80
NM_000817:69054:20	0	223
NM_000817:69054:21	0	55
NM_000817:69054:22	0	1612
NM_000817:69054:23	0	117
NM_000817:69054:24	0	1493
NM_000817:69054:25	0	65
NM_000817:69054:26	0	3363
NM_000817:69054:27	0	79
NM_000817:69054:28	0	1080
NM_000817:69054:29	0	150
NM_000817:69054:30	0	2995
NM_000817:69054:31	0	108
NM_000817:69054:32	0	1678
NM_000817:69054:33	0	90
NM_000817:69054:34	0	815
NM_000817:69054:35	0	174
NM_000817:69054:36	0	1267
NM_000885:68995:1	0	763
NM_000885:68995:2	0	197
NM_000885:68995:3	0	344
NM_000885:68995:4	0	122
NM_000885:68995:5	0	16642
NM_000885:68995:6	0	107
NM_000885:68995:7	0	92
NM_000885:68995:8	0	130
NM_000885:68995:9	0	3468
NM_000885:68995:10	0	68
NM_000885:68995:11	0	1312
NM_000885:68995:12	0	130
NM_000885:68995:13	0	1331
NM_000885:68995:14	0	86
NM_000885:68995:15	0	676
NM_000885:68995:16	0	63
NM_000885:68995:17	0	91
NM_000885:68995:18	0	138
NM_000885:68995:19	0	3229
NM_000885:68995:20	0	112
NM_000885:68995:21	0	7332
NM_000885:68995:22	0	95
NM_000885:68995:23	0	1302
NM_000885:68995:24	0	91
NM_000885:68995:25	0	558
NM_000885:68995:26	0	46
NM_000885:68995:27	0	366
NM_000885:68995:28	0	155
NM_000885:68995:29	0	2685
NM_000885:68995:30	0	155
NM_000885:68995:31	0	10880
NM_000885:68995:32	0	150
NM_000885:68995:33	0	1891
NM_000885:68995:34	0	77
NM_000885:68995:35	0	10415
NM_000885:68995:36	0	151
NM_000885:68995:37	0	1095
NM_000885:68995:38	0	96
NM_000885:68995:39	0	638
NM_000885:68995:40	0	80
NM_000885:68995:41	0	951
NM_000885:68995:42	0	90
NM_000885:68995:43	0	2005
NM_000885:68995:44	0	91
NM_000885:68995:45	0	2153
NM_000885:68995:46	0	108
NM_000885:68995:47	0	875
NM_000885:68995:48	0	126
NM_000885:68995:49	0	1007
NM_000885:68995:50	0	120
NM_000885:68995:51	0	2495
NM_000885:68995:52	0	99
NM_000885:68995:53	0	445
NM_000885:68995:54	0	120
NM_000885:68995:55	0	496
NM_000885:68995:56	0	96
NM_000885:68995:57	0	3401
NM_000998:68187:1	0	78
NM_000998:68187:2	0	3
NM_000998:68187:3	0	392
NM_000998:68187:4	0	129
NM_000998:68187:5	0	550
NM_000998:68187:6	0	83
NM_000998:68187:7	0	1309
NM_000998:68187:8	0	64
NM_000998:68187:9	0	61
NM_001001521:68129:1	0	269
NM_001001521:68129:2	0	972
NM_001001521:68129:3	0	395
NM_001001521:68129:4	0	13706
NM_001001521:68129:5	0	14
NM_001001521:68129:6	0	114
NM_001001521:68129:7	0	1395
NM_001001521:68129:8	0	108
NM_001001521:68129:9	0	24529
NM_001001521:68129:10	0	186
NM_001001521:68129:11	0	1308
NM_001001521:68129:12	0	134
NM_001001521:68129:13	0	1495
NM_001001521:68129:14	0	298
NM_001001521:68129:15	0	454
NM_001001521:68129:16	0	198
NM_001001521:68129:17	0	863
NM_001001521:68129:18	0	243
NM_001001521:68129:19	0	2436
NM_001001521:68129:20	0	105
NM_001001521:68129:21	0	934
NM_001001521:68129:22	0	108
NM_001001521:68129:23	0	335
NM_001001664:68875:1	0	340
NM_001001664:68875:2	0	48037
NM_001001664:68875:3	0	60
NM_001001664:68875:4	0	78
NM_001001664:68875:5	0	188
NM_001001664:68875:6	0	122
NM_001001664:68875:7	0	298
NM_001001664:68875:8	0	71
NM_001001664:68875:9	0	81
NM_001001664:68875:10	0	1499
NM_001001664:68875:11	0	128
NM_001001664:68875:12	0	6340
NM_001001664:68875:13	0	178
NM_001001664:68875:14	0	82
NM_001001664:68875:15	0	56
NM_001001664:68875:16	0	1467
NM_001001664:68875:17	0	123
NM_001001664:68875:18	0	3780
NM_001001664:68875:19	0	143
NM_001001664:68875:20	0	89
NM_001001664:68875:21	0	54
NM_001001664:68875:22	0	3942
NM_001001664:68875:23	0	145
NM_001001664:68875:24	0	4155
NM_001003845:67876:1	0	166
NM_001003845:67876:2	0	51
NM_001003845:67876:3	0	695
NM_001003845:67876:4	0	1146
NM_001003845:67876:5	0	584
NM_001005386:68372:1	0	215
NM_001005386:68372:2	0	48
NM_001005386:68372:3	0	11894
NM_001005386:68372:4	0	111
NM_001005386:68372:5	0	2086
NM_001005386:68372:6	0	15
NM_001005386:68372:7	0	4460
NM_001005386:68372:8	0	216
NM_001005386:68372:9	0	4287
NM_001005386:68372:10	0	73
NM_001005386:68372:11	0	2628
NM_001005386:68372:12	0	137
NM_001005386:68372:13	0	1680
NM_001005386:68372:14	0	150
NM_001005386:68372:15	0	5552
NM_001005386:68372:16	0	146
NM_001005386:68372:17	0	3650
NM_001005386:68372:18	0	133
NM_001005386:68372:19	0	3388
NM_001005386:68372:20	0	171
NM_001005386:68372:21	0	2522
NM_001006635:67610:1	0	275
NM_001006635:67610:2	0	546
NM_001006635:67610:3	0	194
NM_001006635:67610:4	0	10
NM_001006635:67610:5	0	26440
NM_001006635:67610:6	0	48
NM_001006635:67610:7	0	941
NM_001006635:67610:8	0	47
NM_001006635:67610:9	0	25496
NM_001006635:67610:10	0	73
NM_001006635:67610:11	0	3360
NM_001006635:67610:12	0	77
NM_001006635:67610:13	0	1391
NM_001006635:67610:14	0	93
NM_001006635:67610:15	0	488
NM_001006635:67610:16	0	39
NM_001006635:67610:17	0	388
NM_001006635:67610:18	0	126
NM_001006635:67610:19	0	1157
NM_001006635:67610:20	0	77
NM_001006635:67610:21	0	6832
NM_001006635:67610:22	0	172
NM_001006635:67610:23	0	361
NM_001007231:67548:1	0	419
NM_001007231:67548:2	0	61
NM_001007231:67548:3	0	39960
NM_001007231:67548:4	0	200
NM_001007231:67548:5	0	6812
NM_001007231:67548:6	0	88
NM_001007231:67548:7	0	5519
NM_001007231:67548:8	0	117
NM_001007231:67548:9	0	19316
NM_001007231:67548:10	0	3
NM_001007231:67548:11	0	205
NM_001007231:67548:12	0	5806
NM_001007231:67548:13	0	133
NM_001007231:67548:14	0	2869
NM_001007231:67548:15	0	74
NM_001007231:67548:16	0	1510
NM_001007231:67548:17	0	122
NM_001007231:67548:18	0	1128
NM_001007231:67548:19	0	197
NM_001007231:67548:20	0	3020
NM_001007231:67548:21	0	533
NM_001007231:67548:22	0	3114
NM_001007231:67548:23	0	208
NM_001007231:67548:24	0	631
NM_001008387:31689:1	0	88
NM_001008387:31689:2	0	209
NM_001008387:31689:3	0	100
NM_001008387:31689:4	0	11
NM_001008387:31689:5	0	76
NM_001008387:31689:6	0	543
NM_001008387:31689:7	0	119
NM_001008387:31689:8	0	202
NM_001008387:31689:9	0	138
NM_001008387:31689:10	0	635
NM_001008387:31689:11	0	127
NM_001008387:31689:12	0	275
NM_001008387:31689:13	0	68
NM_001008387:31689:14	0	228
NM_001011:68002:1	0	88
NM_001011:68002:2	0	241
NM_001011:68002:3	0	9
NM_001011:68002:4	0	9
NM_001011:68002:5	0	75
NM_001011:68002:6	0	132
NM_001011:68002:7	0	72
NM_001011:68002:8	0	598
NM_001011:68002:9	0	144
NM_001011:68002:10	0	1079
NM_001011:68002:11	0	65
NM_001011:68002:12	0	2335
NM_001011:68002:13	0	151
NM_001011:68002:14	0	544
NM_001011:68002:15	0	78
NM_001011:68002:16	0	37
NM_001024457:66573:1	0	16
NM_001024457:66573:2	0	48
NM_001024457:66573:3	0	4939
NM_001024457:66573:4	0	28678
NM_001024457:66573:5	0	65
NM_001024457:66573:6	0	1581
NM_001024457:66573:7	0	112
NM_001024457:66573:8	0	444
NM_001024457:66573:9	0	153
NM_001024457:66573:10	0	4055
NM_001024457:66573:11	0	231
NM_001024457:66573:12	0	345
NM_001024457:66573:13	0	146
NM_001024457:66573:14	0	4601
NM_001024457:66573:15	0	196
NM_001024457:66573:16	0	6003
NM_001024457:66573:17	0	88
NM_001024457:66573:18	0	2431
NM_001024457:66573:19	0	210
NM_001024457:66573:20	0	2116
NM_001024457:66573:21	0	182
NM_001024457:66573:22	0	83
NM_001024457:66573:23	0	176
NM_001024457:66573:24	0	167
NM_001024457:66573:25	0	124
NM_001024457:66573:26	0	923
NM_001024457:66573:27	0	159
NM_001024457:66573:28	0	266
NM_001024457:66573:29	0	138
NM_001024457:66573:30	0	262
NM_001024457:66573:31	0	147
NM_001024457:66573:32	0	880
NM_001024457:66573:33	0	180
NM_001024457:66573:34	0	88
NM_001024457:66573:35	0	84
NM_001024457:66573:36	0	3151
NM_001024457:66573:37	0	118
NM_001024457:66573:38	0	3553
NM_001024457:66573:39	0	95
NM_001024457:66573:40	0	727
NM_001024457:66573:41	0	2224
NM_001024457:66573:42	0	7041
NM_001024457:66573:43	0	140
NM_001024457:66573:44	0	2582
NM_001024457:66573:45	0	196
NM_001024457:66573:46	0	14754
NM_001024457:66573:47	0	35
NM_001024457:66573:48	0	1429
NM_001032392:66295:1	0	8297
NM_001032392:66295:2	0	1688
NM_001032392:66295:3	0	63
NM_001032392:66295:4	0	49
NM_001032392:66295:5	0	4044
NM_001032392:66295:6	0	136
NM_001032392:66295:7	0	1145
NM_001032392:66295:8	0	106
NM_001032392:66295:9	0	1
NM_001032392:66295:10	0	3185
NM_001032392:66295:11	0	2656
NM_001033575:68608:1	0	631
NM_001033575:68608:2	0	393
NM_001033575:68608:3	0	252
NM_001033575:68608:4	0	138
NM_001033575:68608:5	0	52
NM_001033575:68608:6	0	2154
NM_001033575:68608:7	0	341
NM_001037131:66153:1	0	598
NM_001037131:66153:2	0	163
NM_001037131:66153:3	0	214329
NM_001037131:66153:4	0	59
NM_001037131:66153:5	0	8319
NM_001037131:66153:6	0	88
NM_001037131:66153:7	0	23318
NM_001037131:66153:8	0	86
NM_001037131:66153:9	0	3649
NM_001037131:66153:10	0	142
NM_001037131:66153:11	0	5514
NM_001037131:66153:12	0	135
NM_001037131:66153:13	0	47270
NM_001037131:66153:14	0	128
NM_001037131:66153:15	0	1480
NM_001037131:66153:16	0	156
NM_001037131:66153:17	0	7716
NM_001037131:66153:18	0	93
NM_001037131:66153:19	0	76013
NM_001037131:66153:20	0	105
NM_001037131:66153:21	0	25288
NM_001037131:66153:22	0	169
NM_001037131:66153:23	0	21858
NM_001037131:66153:24	0	159
NM_001037131:66153:25	0	37538
NM_001037131:66153:26	0	162
NM_001037131:66153:27	0	67937
NM_001037131:66153:28	0	155
NM_001037131:66153:29	0	4035
NM_001037131:66153:30	0	91
NM_001037131:66153:31	0	8217
NM_001037131:66153:32	0	223
NM_001037131:66153:33	0	70910
NM_001037131:66153:34	0	256
NM_001037131:66153:35	0	3471
NM_001037131:66153:36	0	204
NM_001037131:66153:37	0	7678
NM_001039362:46530:1	0	83
NM_001039362:46530:2	0	1092
NM_001039362:46530:3	0	26
NM_001039362:46530:4	0	129
NM_001039362:46530:5	0	3523
NM_001039362:46530:6	0	68
NM_001039362:46530:7	0	27411
NM_001039362:46530:8	0	86
NM_001039362:46530:9	0	10264
NM_001039362:46530:10	0	95
NM_001039362:46530:11	0	4293
NM_001039362:46530:12	0	92
NM_001039362:46530:13	0	3028
NM_001039362:46530:14	0	99
NM_001039362:46530:15	0	604
NM_001039362:46530:16	0	69
NM_001039362:46530:17	0	2177
NM_001039362:46530:18	0	93
NM_001039362:46530:19	0	97
NM_001039362:46530:20	0	94
NM_001039362:46530:21	0	2513
NM_001039362:46530:22	0	138
NM_001039362:46530:23	0	849
NM_001039362:46530:24	0	98
NM_001039362:46530:25	0	3573
NM_001039362:46530:26	0	133
NM_001039362:46530:27	0	798
NM_001039362:46530:28	0	90
NM_001039362:46530:29	0	1847
NM_001039550:39481:1	0	201
NM_001039550:39481:2	0	279
NM_001039550:39481:3	0	36
NM_001039550:39481:4	0	65
NM_001039550:39481:5	0	679
NM_001039550:39481:6	0	110
NM_001039550:39481:7	0	1030
NM_001039550:39481:8	0	54
NM_001039550:39481:9	0	167
NM_001039550:39481:10	0	123
NM_001039550:39481:11	0	775
NM_001039550:39481:12	0	93
NM_001039550:39481:13	0	203
NM_001039550:39481:14	0	103
NM_001039550:39481:15	0	183
NM_001039550:39481:16	0	71
NM_001039550:39481:17	0	1142
NM_001039550:39481:18	0	204
NM_001039550:39481:19	0	1151
NM_001039550:39481:20	0	11
NM_001039550:39481:21	0	903
NM_001039613:44091:1	0	3566
NM_001039613:44091:2	0	97
NM_001039613:44091:3	0	1476
NM_001039613:44091:4	0	1613
NM_001039613:44091:5	0	38
NM_001039613:44091:6	0	81
NM_001039613:44091:7	0	570
NM_001039613:44091:8	0	769
NM_001039613:44091:9	0	53
NM_001039613:44091:10	0	2182
NM_001039613:44091:11	0	32
NM_001039613:44091:12	0	117
NM_001039613:44091:13	0	2915
NM_001039613:44091:14	0	162
NM_001039613:44091:15	0	2984
NM_001039613:44091:16	0	119
NM_001039613:44091:17	0	3596
NM_001039613:44091:18	0	183
NM_001039613:44091:19	0	295
NM_001039753:8215:1	0	50
NM_001039753:8215:2	0	197
NM_001039753:8215:3	0	87973
NM_001039753:8215:4	0	160
NM_001039753:8215:5	0	3395
NM_001039753:8215:6	0	99
NM_001039753:8215:7	0	3508
NM_001039753:8215:8	0	69
NM_001039753:8215:9	0	7103
NM_001039753:8215:10	0	186
NM_001039753:8215:11	0	1590
NM_001039753:8215:12	0	136
NM_001039753:8215:13	0	14569
NM_001039753:8215:14	0	202
NM_001039753:8215:15	0	3237
NM_001039753:8215:16	0	138
NM_001039753:8215:17	0	2338
NM_001039753:8215:18	0	257
NM_001039753:8215:19	0	3424
NM_001039753:8215:20	0	213
NM_001039753:8215:21	0	5678
NM_001039753:8215:22	0	168
NM_001039753:8215:23	0	4081
NM_001039753:8215:24	0	107
NM_001039753:8215:25	0	2876
NM_001039753:8215:26	0	119
NM_001039753:8215:27	0	2296
NM_001039753:8215:28	0	187
NM_001039753:8215:29	0	2132
NM_001039753:8215:30	0	106
NM_001039753:8215:31	0	7941
NM_001039753:8215:32	0	94
NM_001039753:8215:33	0	11413
NM_001039753:8215:34	0	101
NM_001039753:8215:35	0	1299
NM_001039753:8215:36	0	203
NM_001039753:8215:37	0	2258
NM_001039753:8215:38	0	112
NM_001039753:8215:39	0	246
NM_001039753:8215:40	0	128
NM_001039753:8215:41	0	4240
NM_001039753:8215:42	0	142
NM_001039753:8215:43	0	3261
NM_001039753:8215:44	0	153
NM_001039753:8215:45	0	174
NM_001039753:8215:46	0	132
NM_001039753:8215:47	0	7451
NM_001039753:8215:48	0	89
NM_001039753:8215:49	0	5716
NM_001039753:8215:50	0	177
NM_001039753:8215:51	0	11377
NM_001039753:8215:52	0	202
NM_001039753:8215:53	0	110
NM_001039753:8215:54	0	127
NM_001039753:8215:55	0	20130
NM_001039753:8215:56	0	79
NM_001039753:8215:57	0	1689
NM_001039753:8215:58	0	130
NM_001039753:8215:59	0	1814
NM_001039753:8215:60	0	99
NM_001039753:8215:61	0	1290
NM_001039753:8215:62	0	174
NM_001039753:8215:63	0	3633
NM_001039753:8215:64	0	209
NM_001039753:8215:65	0	1105
NM_001039753:8215:66	0	158
NM_001039753:8215:67	0	957
NM_001039753:8215:68	0	115
NM_001039753:8215:69	0	2188
NM_001039753:8215:70	0	189
NM_001039753:8215:71	0	1274
NM_001039753:8215:72	0	173
NM_001039753:8215:73	0	412
NM_001039753:8215:74	0	163
NM_001039753:8215:75	0	2266
NM_001039753:8215:76	0	104
NM_001039753:8215:77	0	1024
NM_001039753:8215:78	0	154
NM_001039753:8215:79	0	386
NM_001039753:8215:80	0	101
NM_001039753:8215:81	0	1302
NM_001039753:8215:82	0	25
NM_001039753:8215:83	0	1925
NM_001040445:64911:1	0	143
NM_001040445:64911:2	0	49
NM_001040445:64911:3	0	6434
NM_001040445:64911:4	0	142
NM_001040445:64911:5	0	2015
NM_001040445:64911:6	0	303
NM_001040445:64911:7	0	8328
NM_001040445:64911:8	0	386
NM_001040445:64911:9	0	1656
NM_001040445:64911:10	0	128
NM_001040445:64911:11	0	5739
NM_001042521:65538:1	0	90
NM_001042521:65538:2	0	26086
NM_001042521:65538:3	0	125
NM_001042521:65538:4	0	17049
NM_001042521:65538:5	0	18587
NM_001042521:65538:6	0	164
NM_001042521:65538:7	0	288
NM_001042521:65538:8	0	3336
NM_001078170:20120:1	0	38
NM_001078170:20120:2	0	72
NM_001078170:20120:3	0	3757
NM_001078170:20120:4	0	4939
NM_001078170:20120:5	0	28678
NM_001078170:20120:6	0	65
NM_001078170:20120:7	0	1581
NM_001078170:20120:8	0	112
NM_001078170:20120:9	0	444
NM_001078170:20120:10	0	153
NM_001078170:20120:11	0	4055
NM_001078170:20120:12	0	231
NM_001078170:20120:13	0	345
NM_001078170:20120:14	0	146
NM_001078170:20120:15	0	4601
NM_001078170:20120:16	0	196
NM_001078170:20120:17	0	6003
NM_001078170:20120:18	0	88
NM_001078170:20120:19	0	2431
NM_001078170:20120:20	0	210
NM_001078170:20120:21	0	2116
NM_001078170:20120:22	0	182
NM_001078170:20120:23	0	83
NM_001078170:20120:24	0	176
NM_001078170:20120:25	0	167
NM_001078170:20120:26	0	124
NM_001078170:20120:27	0	923
NM_001078170:20120:28	0	159
NM_001078170:20120:29	0	266
NM_001078170:20120:30	0	138
NM_001078170:20120:31	0	262
NM_001078170:20120:32	0	147
NM_001078170:20120:33	0	880
NM_001078170:20120:34	0	180
NM_001078170:20120:35	0	88
NM_001078170:20120:36	0	84
NM_001078170:20120:37	0	3151
NM_001078170:20120:38	0	118
NM_001078170:20120:39	0	3553
NM_001078170:20120:40	0	95
NM_001078170:20120:41	0	727
NM_001078170:20120:42	0	2224
NM_001078170:20120:43	0	7041
NM_001078170:20120:44	0	140
NM_001078170:20120:45	0	2582
NM_001078170:20120:46	0	196
NM_001078170:20120:47	0	14754
NM_001078170:20120:48	0	35
NM_001078170:20120:49	0	191
NM_001080391:65798:1	0	141
NM_001080391:65798:2	0	32
NM_001080391:65798:3	0	1262
NM_001080391:65798:4	0	75
NM_001080391:65798:5	0	25271
NM_001080391:65798:6	0	163
NM_001080391:65798:7	0	1078
NM_001080391:65798:8	0	169
NM_001080391:65798:9	0	2472
NM_001080391:65798:10	0	84
NM_001080391:65798:11	0	2185
NM_001080391:65798:12	0	63
NM_001080391:65798:13	0	410
NM_001080391:65798:14	0	150
NM_001080391:65798:15	0	461
NM_001080391:65798:16	0	84
NM_001080391:65798:17	0	11006
NM_001080391:65798:18	0	153
NM_001080391:65798:19	0	1020
NM_001080391:65798:20	0	84
NM_001080391:65798:21	0	1548
NM_001080391:65798:22	0	84
NM_001080391:65798:23	0	2150
NM_001080391:65798:24	0	54
NM_001080391:65798:25	0	765
NM_001080391:65798:26	0	96
NM_001080391:65798:27	0	1827
NM_001080391:65798:28	0	54
