Gblock_id	cds_len	transcript_len	num_CRC.41	num_CRC.42	num_NC.41	num_NC.42
NM_000189:69879:30	0	184	155	63	3	1
NM_000189:69879:31	0	1229	4	5	0	1
NM_000189:69879:32	0	156	214	83	1	1
NM_000189:69879:33	0	1186	6	2	0	0
NM_000189:69879:34	0	234	229	94	2	1
NM_000189:69879:35	0	1318	9	2	0	0
NM_000189:69879:36	0	145	53	29	0	0
NM_000189:69879:37	0	2413	2946	2878	52	21
NM_000312:69483:1	0	73	0	0	0	0
NM_000312:69483:2	0	1429	0	1	1	0
NM_000312:69483:3	0	21	0	0	0	0
NM_000312:69483:4	0	70	0	0	0	0
NM_000312:69483:5	0	1270	0	0	0	0
NM_000312:69483:6	0	167	0	0	0	0
NM_000312:69483:7	0	1467	0	0	0	0
NM_000312:69483:8	0	25	0	0	0	0
NM_000312:69483:9	0	92	0	0	0	0
NM_000312:69483:10	0	138	1	0	0	0
NM_000312:69483:11	0	102	0	0	1	0
NM_000312:69483:12	0	135	4	3	0	0
NM_000312:69483:13	0	2676	4	5	6	8
NM_000312:69483:14	0	143	5	0	0	0
NM_000312:69483:15	0	877	2	2	3	0
NM_000312:69483:16	0	118	6	4	0	0
NM_000312:69483:17	0	1134	4	4	1	0
NM_000312:69483:18	0	590	22	21	1	1
NM_000312:69483:19	0	300	3	2	0	0
NM_000341:36465:1	0	78	9	0	0	0
NM_000341:36465:2	0	430	105	0	0	1
NM_000341:36465:3	0	4750	0	0	0	0
NM_000341:36465:4	0	180	43	0	0	0
NM_000341:36465:5	0	491	3	0	0	0
NM_000341:36465:6	0	155	29	1	1	0
NM_000341:36465:7	0	4490	23	0	1	0
NM_000341:36465:8	0	126	30	0	0	0
NM_000341:36465:9	0	13813	4	3	0	2
NM_000341:36465:10	0	120	45	0	0	0
NM_000341:36465:11	0	912	2	0	0	1
NM_000341:36465:12	0	125	43	3	1	0
NM_000341:36465:13	0	3015	7	0	1	0
NM_000341:36465:14	0	196	42	4	1	0
NM_000341:36465:15	0	8247	0	1	3	3
NM_000341:36465:16	0	168	39	3	1	0
NM_000341:36465:17	0	1081	3	1	1	0
NM_000341:36465:18	0	117	32	6	0	0
NM_000341:36465:19	0	6247	793	715	822	695
NM_000341:36465:20	0	441	452	135	302	203
NM_000341:36465:21	0	184	158	45	121	77
NM_000463:69644:1	0	66407	13	2	1	2
NM_000463:69644:2	0	15	0	0	0	0
NM_000463:69644:3	0	864	5	0	0	0
NM_000463:69644:4	0	5882	6	0	0	0
NM_000463:69644:5	0	132	54	0	0	0
NM_000463:69644:6	0	683	1	0	0	0
NM_000463:69644:7	0	88	55	2	1	0
NM_000463:69644:8	0	283	2	0	0	0
NM_000463:69644:9	0	220	123	0	1	0
NM_000463:69644:10	0	3822	46	0	0	1
NM_000463:69644:11	0	298	166	0	2	0
NM_000463:69644:12	0	740	467	1	5	2
NM_000523:69600:1	0	87	0	0	1	3
NM_000523:69600:2	0	781	0	0	10	127
NM_000523:69600:3	0	808	0	0	0	4
NM_000523:69600:4	0	251	0	0	11	72
NM_000523:69600:5	0	1208	3	1	29	268
NM_000578:69546:1	0	340	0	2	1	0
NM_000578:69546:2	0	7	0	0	0	0
NM_000578:69546:3	0	584	0	1	0	0
NM_000578:69546:4	0	143	3	3	3	0
NM_000578:69546:5	0	1140	1	1	0	0
NM_000578:69546:6	0	123	2	4	3	0
NM_000578:69546:7	0	781	1	2	0	0
NM_000578:69546:8	0	120	2	5	5	1
NM_000578:69546:9	0	1368	2	5	1	0
NM_000578:69546:10	0	107	0	3	2	0
NM_000578:69546:11	0	418	1	2	6	1
NM_000578:69546:12	0	71	1	3	1	0
NM_000578:69546:13	0	334	0	2	0	0
NM_000578:69546:14	0	68	0	1	1	0
NM_000578:69546:15	0	167	0	0	0	0
NM_000578:69546:16	0	156	3	3	5	2
NM_000578:69546:17	0	1914	9	10	4	4
NM_000578:69546:18	0	159	4	4	3	0
NM_000578:69546:19	0	1169	1	1	5	0
NM_000578:69546:20	0	90	3	1	1	0
NM_000578:69546:21	0	88	0	1	0	0
NM_000578:69546:22	0	120	3	5	4	0
NM_000578:69546:23	0	1485	9	13	16	0
NM_000578:69546:24	0	150	1	8	7	0
NM_000578:69546:25	0	989	0	0	0	0
NM_000578:69546:26	0	74	2	2	8	1
NM_000578:69546:27	0	438	1	3	5	0
NM_000578:69546:28	0	154	1	15	8	0
NM_000578:69546:29	0	139	0	1	0	0
NM_000578:69546:30	0	111	5	14	14	1
NM_000578:69546:31	0	1859	16	117	47	54
NM_000597:69803:1	0	120	0	0	0	0
NM_000597:69803:2	0	44	1	1	0	1
NM_000597:69803:3	0	398	469	189	21	24
NM_000597:69803:4	0	26591	23	14	2	1
NM_000597:69803:5	0	230	1047	567	90	37
NM_000597:69803:6	0	1071	13	9	2	0
NM_000597:69803:7	0	141	649	404	49	42
NM_000597:69803:8	0	1941	47	26	3	3
NM_000597:69803:9	0	165	699	450	56	46
NM_000597:69803:10	0	331	774	558	62	66
NM_000784:68674:1	0	434	10	29	73	61
NM_000784:68674:2	0	255	25	40	54	60
NM_000784:68674:3	0	27139	3	25	12	15
NM_000784:68674:4	0	191	19	51	47	52
NM_000784:68674:5	0	2454	2	4	2	4
NM_000784:68674:6	0	200	34	96	113	85
NM_000784:68674:7	0	130	0	3	3	4
NM_000784:68674:8	0	198	34	108	98	82
NM_000784:68674:9	0	174	0	1	1	1
NM_000784:68674:10	0	173	43	95	72	67
NM_000784:68674:11	0	924	1	3	9	2
NM_000784:68674:12	0	167	26	75	76	100
NM_000784:68674:13	0	192	0	3	1	3
NM_000784:68674:14	0	79	22	56	37	53
NM_000784:68674:15	0	86	1	5	4	2
NM_000784:68674:16	0	213	54	124	105	130
NM_000784:68674:17	0	153	2	2	1	2
NM_000784:68674:18	0	120	18	116	66	80
NM_000784:68674:19	0	263	35	173	107	168
NM_000817:69054:1	0	359	4	32	0	0
NM_000817:69054:2	0	1480	1	9	0	0
NM_000817:69054:3	0	63	1	13	0	0
NM_000817:69054:4	0	82	2	11	0	0
NM_000817:69054:5	0	3413	0	1	1	0
NM_000817:69054:6	0	63	1	7	0	0
NM_000817:69054:7	0	7325	1	5	1	0
NM_000817:69054:8	0	159	6	34	0	0
NM_000817:69054:9	0	1316	0	2	0	0
NM_000817:69054:10	0	243	3	50	0	0
NM_000817:69054:11	0	5600	2	1	0	0
NM_000817:69054:12	0	91	3	14	0	1
NM_000817:69054:13	0	5685	3	34	0	0
NM_000817:69054:14	0	1476	6	52	0	0
NM_000817:69054:15	0	113	0	10	0	0
NM_000817:69054:16	0	1348	3	14	0	1
NM_000817:69054:17	0	116	1	14	0	0
NM_000817:69054:18	0	84	0	2	0	0
NM_000817:69054:19	0	80	0	2	0	0
NM_000817:69054:20	0	223	0	0	0	0
NM_000817:69054:21	0	55	0	9	0	0
NM_000817:69054:22	0	1612	0	0	0	0
NM_000817:69054:23	0	117	2	11	0	0
NM_000817:69054:24	0	1493	3	14	0	1
NM_000817:69054:25	0	65	2	10	0	0
NM_000817:69054:26	0	3363	1	8	0	0
NM_000817:69054:27	0	79	1	5	0	0
NM_000817:69054:28	0	1080	1	5	0	0
NM_000817:69054:29	0	150	3	11	0	0
NM_000817:69054:30	0	2995	0	0	0	1
NM_000817:69054:31	0	108	2	13	0	1
NM_000817:69054:32	0	1678	0	2	0	0
NM_000817:69054:33	0	90	1	7	0	0
NM_000817:69054:34	0	815	1	1	0	0
NM_000817:69054:35	0	174	2	17	0	1
NM_000817:69054:36	0	1267	14	196	3	3
NM_000885:68995:1	0	763	14	0	3	1
NM_000885:68995:2	0	197	11	0	7	3
NM_000885:68995:3	0	344	1	0	0	0
NM_000885:68995:4	0	122	13	0	3	0
NM_000885:68995:5	0	16642	4	0	1	0
NM_000885:68995:6	0	107	8	1	2	2
NM_000885:68995:7	0	92	0	0	0	0
NM_000885:68995:8	0	130	14	0	3	0
NM_000885:68995:9	0	3468	2	1	3	1
NM_000885:68995:10	0	68	3	1	3	0
NM_000885:68995:11	0	1312	0	0	1	0
NM_000885:68995:12	0	130	9	0	5	0
NM_000885:68995:13	0	1331	0	0	0	0
NM_000885:68995:14	0	86	5	1	3	0
NM_000885:68995:15	0	676	1	1	0	0
NM_000885:68995:16	0	63	16	1	4	1
NM_000885:68995:17	0	91	4	0	0	0
NM_000885:68995:18	0	138	13	1	9	1
NM_000885:68995:19	0	3229	1	0	0	1
NM_000885:68995:20	0	112	14	0	7	0
NM_000885:68995:21	0	7332	11	6	7	2
NM_000885:68995:22	0	95	5	1	5	0
NM_000885:68995:23	0	1302	0	0	0	0
NM_000885:68995:24	0	91	11	0	4	2
NM_000885:68995:25	0	558	0	0	0	0
NM_000885:68995:26	0	46	1	0	4	0
NM_000885:68995:27	0	366	2	0	1	1
NM_000885:68995:28	0	155	23	1	8	0
NM_000885:68995:29	0	2685	4	2	4	1
NM_000885:68995:30	0	155	25	2	5	1
NM_000885:68995:31	0	10880	3	3	3	1
NM_000885:68995:32	0	150	17	0	13	0
NM_000885:68995:33	0	1891	2	0	0	0
NM_000885:68995:34	0	77	10	1	4	1
NM_000885:68995:35	0	10415	1	2	1	0
NM_000885:68995:36	0	151	23	1	5	3
NM_000885:68995:37	0	1095	1	1	1	0
NM_000885:68995:38	0	96	3	1	10	3
NM_000885:68995:39	0	638	0	0	0	0
NM_000885:68995:40	0	80	4	1	7	0
NM_000885:68995:41	0	951	1	0	0	0
NM_000885:68995:42	0	90	13	0	6	1
NM_000885:68995:43	0	2005	3	1	3	0
NM_000885:68995:44	0	91	13	0	2	0
NM_000885:68995:45	0	2153	1	1	4	0
NM_000885:68995:46	0	108	17	0	3	4
NM_000885:68995:47	0	875	3	1	1	0
NM_000885:68995:48	0	126	13	4	10	3
NM_000885:68995:49	0	1007	1	0	1	0
NM_000885:68995:50	0	120	15	4	10	2
NM_000885:68995:51	0	2495	2	0	1	0
NM_000885:68995:52	0	99	16	6	12	3
NM_000885:68995:53	0	445	2	0	1	0
NM_000885:68995:54	0	120	16	3	8	2
NM_000885:68995:55	0	496	6	0	0	0
NM_000885:68995:56	0	96	12	8	6	0
NM_000885:68995:57	0	3401	394	129	257	88
NM_000998:68187:1	0	78	20	8	3	4
NM_000998:68187:2	0	3	2	2	2	2
NM_000998:68187:3	0	392	39	34	15	9
NM_000998:68187:4	0	129	7043	8549	5324	9401
NM_000998:68187:5	0	550	43	47	25	46
NM_000998:68187:6	0	83	4351	6122	3349	6679
NM_000998:68187:7	0	1309	255	313	96	194
NM_000998:68187:8	0	64	3309	4152	2580	4946
NM_000998:68187:9	0	61	1078	1413	818	1787
NM_001001521:68129:1	0	269	154	72	213	142
NM_001001521:68129:2	0	972	93	66	38	8
NM_001001521:68129:3	0	395	14	5	10	5
NM_001001521:68129:4	0	13706	6	7	8	1
NM_001001521:68129:5	0	14	65	40	68	48
NM_001001521:68129:6	0	114	184	133	193	149
NM_001001521:68129:7	0	1395	42	35	37	28
NM_001001521:68129:8	0	108	226	130	228	165
NM_001001521:68129:9	0	24529	22	10	14	12
NM_001001521:68129:10	0	186	436	255	377	323
NM_001001521:68129:11	0	1308	23	14	11	6
NM_001001521:68129:12	0	134	315	201	309	214
NM_001001521:68129:13	0	1495	27	22	25	19
NM_001001521:68129:14	0	298	747	524	652	540
NM_001001521:68129:15	0	454	7	5	2	4
NM_001001521:68129:16	0	198	520	405	456	486
NM_001001521:68129:17	0	863	12	12	8	19
NM_001001521:68129:18	0	243	687	638	616	719
NM_001001521:68129:19	0	2436	36	69	58	63
NM_001001521:68129:20	0	105	282	240	254	286
NM_001001521:68129:21	0	934	32	32	35	25
NM_001001521:68129:22	0	108	284	315	251	351
NM_001001521:68129:23	0	335	723	902	667	845
NM_001001664:68875:1	0	340	13	2	17	5
NM_001001664:68875:2	0	48037	12	7	6	6
NM_001001664:68875:3	0	60	6	1	18	3
NM_001001664:68875:4	0	78	23	6	19	9
NM_001001664:68875:5	0	188	2	2	3	4
NM_001001664:68875:6	0	122	36	14	34	9
NM_001001664:68875:7	0	298	1	0	3	1
NM_001001664:68875:8	0	71	17	6	8	7
NM_001001664:68875:9	0	81	28	7	27	13
NM_001001664:68875:10	0	1499	4	4	1	3
NM_001001664:68875:11	0	128	51	19	41	19
NM_001001664:68875:12	0	6340	5	9	6	1
NM_001001664:68875:13	0	178	67	33	66	32
NM_001001664:68875:14	0	82	1	1	1	0
NM_001001664:68875:15	0	56	20	11	21	12
NM_001001664:68875:16	0	1467	4	0	0	0
NM_001001664:68875:17	0	123	45	25	46	35
NM_001001664:68875:18	0	3780	1	3	1	0
NM_001001664:68875:19	0	143	57	23	51	17
NM_001001664:68875:20	0	89	1	0	1	3
NM_001001664:68875:21	0	54	14	14	20	6
NM_001001664:68875:22	0	3942	6	4	2	2
NM_001001664:68875:23	0	145	54	22	46	20
NM_001001664:68875:24	0	4155	1109	1149	1232	629
NM_001003845:67876:1	0	166	8	51	6	6
NM_001003845:67876:2	0	51	7	40	0	6
NM_001003845:67876:3	0	695	10	50	8	22
NM_001003845:67876:4	0	1146	192	806	51	135
NM_001003845:67876:5	0	584	168	912	27	106
NM_001005386:68372:1	0	215	217	51	48	40
NM_001005386:68372:2	0	48	142	49	33	20
NM_001005386:68372:3	0	11894	27	21	4	5
NM_001005386:68372:4	0	111	364	123	96	45
NM_001005386:68372:5	0	2086	14	6	1	4
NM_001005386:68372:6	0	15	0	0	0	0
NM_001005386:68372:7	0	4460	16	11	10	1
NM_001005386:68372:8	0	216	457	165	140	60
NM_001005386:68372:9	0	4287	30	7	6	3
NM_001005386:68372:10	0	73	189	47	50	18
NM_001005386:68372:11	0	2628	15	2	5	2
NM_001005386:68372:12	0	137	411	146	130	58
NM_001005386:68372:13	0	1680	1	1	0	0
NM_001005386:68372:14	0	150	416	149	121	68
NM_001005386:68372:15	0	5552	9	11	1	1
NM_001005386:68372:16	0	146	527	212	163	77
NM_001005386:68372:17	0	3650	41	16	19	9
NM_001005386:68372:18	0	133	583	286	167	107
NM_001005386:68372:19	0	3388	34	19	4	6
NM_001005386:68372:20	0	171	902	420	257	151
NM_001005386:68372:21	0	2522	7312	6430	2319	1358
NM_001006635:67610:1	0	275	132	119	69	106
NM_001006635:67610:2	0	546	4	4	5	8
NM_001006635:67610:3	0	194	16	6	13	4
NM_001006635:67610:4	0	10	2	0	2	0
NM_001006635:67610:5	0	26440	9	11	4	2
NM_001006635:67610:6	0	48	46	36	22	18
NM_001006635:67610:7	0	941	7	9	5	2
NM_001006635:67610:8	0	47	51	48	28	41
NM_001006635:67610:9	0	25496	69	44	40	25
NM_001006635:67610:10	0	73	57	58	35	41
NM_001006635:67610:11	0	3360	8	23	7	8
NM_001006635:67610:12	0	77	80	103	47	63
NM_001006635:67610:13	0	1391	23	23	14	11
NM_001006635:67610:14	0	93	109	114	81	94
NM_001006635:67610:15	0	488	2	5	3	7
NM_001006635:67610:16	0	39	41	61	37	38
NM_001006635:67610:17	0	388	8	8	12	8
NM_001006635:67610:18	0	126	162	210	126	129
NM_001006635:67610:19	0	1157	5	8	6	2
NM_001006635:67610:20	0	77	90	128	66	72
NM_001006635:67610:21	0	6832	62	106	43	47
NM_001006635:67610:22	0	172	237	340	172	257
NM_001006635:67610:23	0	361	129	204	88	144
NM_001007231:67548:1	0	419	8	0	2	0
NM_001007231:67548:2	0	61	6	0	0	0
NM_001007231:67548:3	0	39960	17	4	8	2
NM_001007231:67548:4	0	200	4	2	6	1
NM_001007231:67548:5	0	6812	1	0	1	0
NM_001007231:67548:6	0	88	2	0	2	1
NM_001007231:67548:7	0	5519	4	0	0	0
NM_001007231:67548:8	0	117	1	0	8	0
NM_001007231:67548:9	0	19316	3	0	7	0
NM_001007231:67548:10	0	3	2	0	0	0
NM_001007231:67548:11	0	205	5	1	6	2
NM_001007231:67548:12	0	5806	1	0	3	0
NM_001007231:67548:13	0	133	5	4	4	2
NM_001007231:67548:14	0	2869	5	0	4	0
NM_001007231:67548:15	0	74	6	0	7	0
NM_001007231:67548:16	0	1510	1	0	1	0
NM_001007231:67548:17	0	122	4	4	2	4
NM_001007231:67548:18	0	1128	0	0	0	0
NM_001007231:67548:19	0	197	10	4	9	3
NM_001007231:67548:20	0	3020	0	0	0	0
NM_001007231:67548:21	0	533	33	7	31	6
NM_001007231:67548:22	0	3114	0	3	4	0
NM_001007231:67548:23	0	208	13	8	11	3
NM_001007231:67548:24	0	631	16	21	50	12
NM_001008387:31689:1	0	88	0	0	0	0
NM_001008387:31689:2	0	209	0	0	0	0
NM_001008387:31689:3	0	100	0	0	0	0
NM_001008387:31689:4	0	11	15	0	1	0
NM_001008387:31689:5	0	76	0	0	0	0
NM_001008387:31689:6	0	543	0	0	0	0
NM_001008387:31689:7	0	119	5	0	0	0
NM_001008387:31689:8	0	202	0	0	0	0
NM_001008387:31689:9	0	138	0	0	0	0
NM_001008387:31689:10	0	635	0	0	0	0
NM_001008387:31689:11	0	127	1	0	0	0
NM_001008387:31689:12	0	275	0	0	0	0
NM_001008387:31689:13	0	68	0	0	0	0
NM_001008387:31689:14	0	228	0	0	0	0
NM_001011:68002:1	0	88	74	97	13	10
NM_001011:68002:2	0	241	25	17	9	14
NM_001011:68002:3	0	9	22	16	6	5
NM_001011:68002:4	0	9	7	13	5	10
NM_001011:68002:5	0	75	1	1	2	3
NM_001011:68002:6	0	132	0	0	0	0
NM_001011:68002:7	0	72	0	1	0	0
NM_001011:68002:8	0	598	5	3	1	1
NM_001011:68002:9	0	144	349	478	246	308
NM_001011:68002:10	0	1079	13	10	3	1
NM_001011:68002:11	0	65	1	0	0	0
NM_001011:68002:12	0	2335	102	124	14	19
NM_001011:68002:13	0	151	793	1109	480	823
NM_001011:68002:14	0	544	68	74	11	14
NM_001011:68002:15	0	78	1	7	1	1
NM_001011:68002:16	0	37	0	0	0	0
NM_001024457:66573:1	0	16	0	0	0	0
NM_001024457:66573:2	0	48	0	0	0	0
NM_001024457:66573:3	0	4939	0	0	0	0
NM_001024457:66573:4	0	28678	9	3	3	0
NM_001024457:66573:5	0	65	0	0	0	0
NM_001024457:66573:6	0	1581	0	0	0	0
NM_001024457:66573:7	0	112	0	0	0	0
NM_001024457:66573:8	0	444	0	0	0	0
NM_001024457:66573:9	0	153	0	0	0	0
NM_001024457:66573:10	0	4055	0	0	0	0
NM_001024457:66573:11	0	231	0	0	1	0
NM_001024457:66573:12	0	345	0	0	0	0
NM_001024457:66573:13	0	146	0	0	0	0
NM_001024457:66573:14	0	4601	0	0	0	0
NM_001024457:66573:15	0	196	0	0	0	0
NM_001024457:66573:16	0	6003	0	0	0	0
NM_001024457:66573:17	0	88	0	0	0	0
NM_001024457:66573:18	0	2431	0	0	0	0
NM_001024457:66573:19	0	210	0	0	2	0
NM_001024457:66573:20	0	2116	0	0	0	0
NM_001024457:66573:21	0	182	0	0	1	0
NM_001024457:66573:22	0	83	0	0	0	0
NM_001024457:66573:23	0	176	0	0	0	0
NM_001024457:66573:24	0	167	0	0	0	0
NM_001024457:66573:25	0	124	0	0	1	0
NM_001024457:66573:26	0	923	0	0	0	0
NM_001024457:66573:27	0	159	0	0	0	0
NM_001024457:66573:28	0	266	0	0	0	0
NM_001024457:66573:29	0	138	0	0	0	0
NM_001024457:66573:30	0	262	0	0	0	0
NM_001024457:66573:31	0	147	0	0	1	0
NM_001024457:66573:32	0	880	0	0	0	0
NM_001024457:66573:33	0	180	0	0	0	0
NM_001024457:66573:34	0	88	0	0	0	0
NM_001024457:66573:35	0	84	0	0	0	0
NM_001024457:66573:36	0	3151	0	0	0	0
NM_001024457:66573:37	0	118	0	0	0	0
NM_001024457:66573:38	0	3553	0	0	0	0
NM_001024457:66573:39	0	95	0	0	0	0
NM_001024457:66573:40	0	727	0	0	0	0
NM_001024457:66573:41	0	2224	0	0	0	0
NM_001024457:66573:42	0	7041	0	0	0	0
NM_001024457:66573:43	0	140	0	0	0	0
NM_001024457:66573:44	0	2582	0	0	0	0
NM_001024457:66573:45	0	196	0	0	0	0
NM_001024457:66573:46	0	14754	0	0	2	1
NM_001024457:66573:47	0	35	0	0	2	0
NM_001024457:66573:48	0	1429	0	0	0	1
NM_001032392:66295:1	0	8297	3	16	9	16
NM_001032392:66295:2	0	1688	0	0	1	6
NM_001032392:66295:3	0	63	0	0	0	0
NM_001032392:66295:4	0	49	0	0	0	0
NM_001032392:66295:5	0	4044	0	0	0	0
NM_001032392:66295:6	0	136	0	0	0	0
NM_001032392:66295:7	0	1145	0	0	0	0
NM_001032392:66295:8	0	106	0	0	1	0
NM_001032392:66295:9	0	1	0	0	0	0
