readType	refseqid	row	juncpos5	juncpos3	num_NC.41	num_CRC.41	num_NC.42	num_CRC.42	gene_symbol	gene_id	contig	strand	gene_desc
3UTR	NM_001171603	8983	44546145	44545528	0	0	2	0	PREPL	9581	chr2	-	prolyl endopeptidase like
3UTR	NM_001198595	9103	48818994	48824446	4	0	0	0	STON1	11037	chr2	+	stonin 1
3UTR	NM_001199290	13342	170606609	170606614	0	0	1	1	PHOSPHO2-KLHL23	100526832	chr2	+	PHOSPHO2-KLHL23 readthrough
3UTR	NM_001206844	22214	85552038	85545846	0	1	0	1	TGOLN2	10618	chr2	-	trans-golgi network protein 2
3UTR	NM_001206844	22214	85552038	85549793	2	1	0	0	TGOLN2	10618	chr2	-	trans-golgi network protein 2
3UTR	NM_001206864	2155	202342914	202344755	0	1	0	0	STRADB	55437	chr2	+	STE20-related kinase adaptor beta
3UTR	NM_001244676	34623	88482592	88485417	1	0	2	0	THNSL2	55258	chr2	+	threonine synthase like 2
3UTR	NM_001244676	34623	88484998	88485417	3	0	0	0	THNSL2	55258	chr2	+	threonine synthase like 2
3UTR	NM_001244676	34623	88485243	88485417	0	0	1	0	THNSL2	55258	chr2	+	threonine synthase like 2
3UTR	NM_001244676	34623	88485243	88485452	0	0	1	0	THNSL2	55258	chr2	+	threonine synthase like 2
3UTR	NM_001254943	5414	55518812	55518300	2	0	1	0	CCDC88A	55704	chr2	-	coiled-coil domain containing 88A
3UTR	NM_001256126	62553	169518513	169630009	0	0	0	1	CERS6	253782	chr2	+	ceramide synthase 6
3UTR	NM_001256725	19773	85875976	85876140	2	5	0	2	USP39	10713	chr2	+	ubiquitin specific peptidase 39
3UTR	NM_001258312	44981	183011763	183007765	3	1	1	0	PDE1A	5136	chr2	-	phosphodiesterase 1A
3UTR	NM_001267061	39068	27600304	27600309	1	0	0	0	SNX17	9784	chr2	+	sorting nexin 17
3UTR	NM_001271634	26555	219457430	219461118	0	1	0	0	CNOT9	9125	chr2	+	CCR4-NOT transcription complex subunit 9
3UTR	NM_001277372	55430	203067310	203069721	0	0	0	1	KIAA2012	100652824	chr2	+	KIAA2012
3UTR	NM_001278283	57461	210884684	210885691	0	0	1	0	RPE	6120	chr2	+	ribulose-5-phosphate-3-epimerase
3UTR	NM_001278549	40267	173460751	173462341	0	0	0	4	PDK1	5163	chr2	+	pyruvate dehydrogenase kinase 1
3UTR	NM_001282431	58463	235404199	235404039	0	0	0	4	ARL4C	10123	chr2	-	ADP ribosylation factor like GTPase 4C
3UTR	NM_001282431	58463	235404372	235404257	0	0	0	1	ARL4C	10123	chr2	-	ADP ribosylation factor like GTPase 4C
3UTR	NM_001282925	52596	204291992	204292219	0	1	0	1	ABI2	10152	chr2	+	abl interactor 2
3UTR	NM_001282950	10853	232672332	232673131	0	0	0	1	COPS7B	64708	chr2	+	COP9 signalosome subunit 7B
3UTR	NM_001282958	48246	233431924	233445614	4	5	3	6	EIF4E2	9470	chr2	+	eukaryotic translation initiation factor 4E family member 2
3UTR	NM_001282958	48246	233439051	233445614	7	2	0	1	EIF4E2	9470	chr2	+	eukaryotic translation initiation factor 4E family member 2
3UTR	NM_001282973	57864	242289618	242291382	78	87	52	52	SEPT2	4735	chr2	+	septin 2
3UTR	NM_001288838	55471	58373609	58386484	7	15	18	17	VRK2	7444	chr2	+	vaccinia related kinase 2
3UTR	NM_001288838	55471	58381937	58386484	1	2	3	1	VRK2	7444	chr2	+	vaccinia related kinase 2
3UTR	NM_001291328	30533	24358057	24392225	0	0	0	1	FAM228B	375190	chr2	+	family with sequence similarity 228 member B
3UTR	NM_001291328	30533	24369956	24392225	0	0	0	1	FAM228B	375190	chr2	+	family with sequence similarity 228 member B
3UTR	NM_001291328	30533	24387204	24392225	1	4	9	3	FAM228B	375190	chr2	+	family with sequence similarity 228 member B
3UTR	NM_001291328	30533	24390552	24392225	6	1	11	2	FAM228B	375190	chr2	+	family with sequence similarity 228 member B
3UTR	NM_001293233	7578	16082976	16085615	0	1	0	0	MYCN	4613	chr2	+	MYCN proto-oncogene, bHLH transcription factor
3UTR	NM_001304536	21583	222289929	222285272	2	1	3	0	EPHA4	2043	chr2	-	EPH receptor A4
3UTR	NM_001308021	62391	208446518	208445574	0	1	0	0	METTL21A	151194	chr2	-	methyltransferase like 21A
3UTR	NM_001308021	62391	208446518	208445722	0	0	1	0	METTL21A	151194	chr2	-	methyltransferase like 21A
3UTR	NM_001316306	3319	173362828	173368819	1	53	0	7	ITGA6	3655	chr2	+	integrin subunit alpha 6
3UTR	NM_001316306	3319	173366629	173368819	6	68	0	4	ITGA6	3655	chr2	+	integrin subunit alpha 6
3UTR	NM_001319101	17585	65309843	65310773	12	4	5	3	CEP68	23177	chr2	+	centrosomal protein 68
3UTR	NM_001320833	7912	223423314	223423725	0	0	0	1	SGPP2	130367	chr2	+	sphingosine-1-phosphate phosphatase 2
3UTR	NM_001321099	11320	197702236	197701643	0	1	0	0	PGAP1	80055	chr2	-	post-GPI attachment to proteins 1
3UTR	NM_001321099	11320	197805489	197705444	0	1	0	0	PGAP1	80055	chr2	-	post-GPI attachment to proteins 1
3UTR	NM_001321210	6005	32239251	32237121	0	0	1	1	DPY30	84661	chr2	-	dpy-30, histone methyltransferase complex regulatory subunit
3UTR	NM_001321357	36588	27664756	27664892	0	0	0	1	NRBP1	29959	chr2	+	nuclear receptor binding protein 1
3UTR	NM_001321458	38975	100017749	100017400	0	0	1	0	REV1	51455	chr2	-	REV1, DNA directed polymerase
3UTR	NM_001321743	38091	131810464	131810025	17	4	8	6	FAM168B	130074	chr2	-	family with sequence similarity 168 member B
3UTR	NM_001322373	54240	37428869	37429006	24	18	8	19	CEBPZOS	100505876	chr2	+	CEBPZ opposite strand
3UTR	NM_001322373	54240	37428869	37429010	0	0	0	1	CEBPZOS	100505876	chr2	+	CEBPZ opposite strand
3UTR	NM_001322373	54240	37428869	37430393	0	0	0	1	CEBPZOS	100505876	chr2	+	CEBPZ opposite strand
3UTR	NM_001322373	54240	37428869	37431443	0	0	2	0	CEBPZOS	100505876	chr2	+	CEBPZ opposite strand
3UTR	NM_001322373	54240	37428869	37431447	6	11	6	6	CEBPZOS	100505876	chr2	+	CEBPZ opposite strand
3UTR	NM_001329114	33131	28521358	28561317	6	16	15	19	BABAM2	9577	chr2	+	BRISC and BRCA1 A complex member 2
3UTR	NM_001329114	33131	28533020	28561317	2	0	3	1	BABAM2	9577	chr2	+	BRISC and BRCA1 A complex member 2
3UTR	NM_001329114	33131	28550314	28561317	4	1	11	2	BABAM2	9577	chr2	+	BRISC and BRCA1 A complex member 2
3UTR	NM_001330247	15560	178084042	178084136	37	79	28	103	HNRNPA3	220988	chr2	+	heterogeneous nuclear ribonucleoprotein A3
3UTR	NM_001330247	15560	178086704	178086788	1	0	0	0	HNRNPA3	220988	chr2	+	heterogeneous nuclear ribonucleoprotein A3
3UTR	NM_001330315	55449	114475330	114472772	2	16	6	13	SLC35F5	80255	chr2	-	solute carrier family 35 member F5
3UTR	NM_001330315	55449	114476731	114472772	0	2	0	5	SLC35F5	80255	chr2	-	solute carrier family 35 member F5
3UTR	NM_001330462	47169	38525286	38523255	21	5	14	17	ATL2	64225	chr2	-	atlastin GTPase 2
3UTR	NM_001346122	39626	233741157	233743162	0	0	0	3	SNORC	389084	chr2	+	secondary ossification center associated regulator of chondrocyte maturation
3UTR	NM_001346122	39626	233741633	233743162	0	0	0	1	SNORC	389084	chr2	+	secondary ossification center associated regulator of chondrocyte maturation
3UTR	NM_001348738	53569	8867017	8865729	1	0	0	0	KIDINS220	57498	chr2	-	kinase D interacting substrate 220
3UTR	NM_001350854	23029	200684295	200625558	0	0	1	0	FTCDNL1	348751	chr2	-	formiminotransferase cyclodeaminase N-terminal like
3UTR	NM_001350854	23029	200710798	200625558	0	1	0	0	FTCDNL1	348751	chr2	-	formiminotransferase cyclodeaminase N-terminal like
3UTR	NM_001351395	17318	25600268	25600177	0	0	0	1	DTNB	1838	chr2	-	dystrobrevin beta
3UTR	NM_001351395	17318	25602159	25600422	0	3	0	0	DTNB	1838	chr2	-	dystrobrevin beta
3UTR	NM_001353970	13852	74087278	74089330	14	27	21	45	STAMBP	10617	chr2	+	STAM binding protein
3UTR	NM_001353970	13852	74087716	74089330	0	1	2	0	STAMBP	10617	chr2	+	STAM binding protein
3UTR	NM_001354347	24593	190615276	190611894	1	0	0	4	OSGEPL1	64172	chr2	-	O-sialoglycoprotein endopeptidase like 1
3UTR	NM_001354347	24593	190615276	190612057	2	3	1	2	OSGEPL1	64172	chr2	-	O-sialoglycoprotein endopeptidase like 1
3UTR	NM_001354347	24593	190617379	190612057	1	0	0	1	OSGEPL1	64172	chr2	-	O-sialoglycoprotein endopeptidase like 1
3UTR	NM_001354587	13591	97915910	97930066	4	3	3	5	ANKRD36	375248	chr2	+	ankyrin repeat domain 36
3UTR	NM_001355251	51364	110969792	110969199	18	23	30	43	SMIM37	205251	chr2	-	small integral membrane protein 37
3UTR	NM_001521	36787	27550044	27549085	0	0	3	0	GTF3C2	2976	chr2	-	general transcription factor IIIC subunit 2
3UTR	NM_001809	19062	27016194	27016680	1	19	0	28	CENPA	1058	chr2	+	centromere protein A
3UTR	NM_001927	14527	220018544	220291306	0	0	1	0	DES	1674	chr2	+	desmin
3UTR	NM_001927	14527	220031689	220290736	0	0	1	0	DES	1674	chr2	+	desmin
3UTR	NM_001927	14527	220064143	220290736	1	0	0	0	DES	1674	chr2	+	desmin
3UTR	NM_001927	14527	220159275	220290738	1	0	0	0	DES	1674	chr2	+	desmin
3UTR	NM_001927	14527	220167561	220291315	0	0	1	0	DES	1674	chr2	+	desmin
3UTR	NM_001927	14527	220180059	220290773	0	0	1	0	DES	1674	chr2	+	desmin
3UTR	NM_001927	14527	220290392	220290839	0	0	1	0	DES	1674	chr2	+	desmin
3UTR	NM_001927	14527	220291274	220291323	0	0	2	0	DES	1674	chr2	+	desmin
3UTR	NM_001927	14527	220291283	220291344	0	0	1	0	DES	1674	chr2	+	desmin
3UTR	NM_001927	14527	220291313	220291347	0	0	1	0	DES	1674	chr2	+	desmin
3UTR	NM_002166	27946	8823036	8823815	157	120	185	69	ID2	3398	chr2	+	inhibitor of DNA binding 2
3UTR	NM_002398	32074	66795888	66798378	9	0	18	3	MEIS1	4211	chr2	+	Meis homeobox 1
3UTR	NM_002398	32074	66796277	66798378	26	0	20	0	MEIS1	4211	chr2	+	Meis homeobox 1
3UTR	NM_002398	32074	66798193	66798378	1	0	0	0	MEIS1	4211	chr2	+	Meis homeobox 1
3UTR	NM_002518	47642	101609989	101612258	4	12	4	16	NPAS2	4862	chr2	+	neuronal PAS domain protein 2
3UTR	NM_002518	47642	101611886	101612258	0	0	0	1	NPAS2	4862	chr2	+	neuronal PAS domain protein 2
3UTR	NM_002665	33876	88053153	88056339	0	1	1	0	PLGLB2	5342	chr2	+	plasminogen-like B2
3UTR	NM_002807	10979	232030731	232037249	1	0	0	0	PSMD1	5707	chr2	+	proteasome 26S subunit, non-ATPase 1
3UTR	NM_002807	10979	232035435	232037249	32	31	47	49	PSMD1	5707	chr2	+	proteasome 26S subunit, non-ATPase 1
3UTR	NM_002823	12613	232417249	232577599	0	0	0	3	PTMA	5757	chr2	+	prothymosin alpha
3UTR	NM_002823	12613	232448068	232578098	0	1	0	0	PTMA	5757	chr2	+	prothymosin alpha
3UTR	NM_002823	12613	232577226	232577637	0	1	0	1	PTMA	5757	chr2	+	prothymosin alpha
3UTR	NM_002936	46878	3831072	3590659	0	1	0	0	RNASEH1	246243	chr2	-	ribonuclease H1
3UTR	NM_003659	7592	178403218	178403257	1	0	0	0	AGPS	8540	chr2	+	alkylglycerone phosphate synthase
3UTR	NM_003761	28698	85806290	85808934	0	0	0	3	VAMP8	8673	chr2	+	vesicle associated membrane protein 8
3UTR	NM_003761	28698	85808779	85808934	0	0	0	1	VAMP8	8673	chr2	+	vesicle associated membrane protein 8
3UTR	NM_003761	28698	85808825	85808934	0	0	0	1	VAMP8	8673	chr2	+	vesicle associated membrane protein 8
3UTR	NM_003872	21031	206661919	206662332	0	0	1	0	NRP2	8828	chr2	+	neuropilin 2
3UTR	NM_003879	3485	202028807	202031877	6	1	2	1	CFLAR	8837	chr2	+	CASP8 and FADD like apoptosis regulator
3UTR	NM_003879	3485	202028807	202036051	0	0	0	1	CFLAR	8837	chr2	+	CASP8 and FADD like apoptosis regulator
3UTR	NM_004040	38404	20437955	20647967	1	0	0	0	RHOB	388	chr2	+	ras homolog family member B
3UTR	NM_004040	38404	20648386	20648410	1	0	0	0	RHOB	388	chr2	+	ras homolog family member B
3UTR	NM_004522	1859	149868197	149879592	5	1	0	0	KIF5C	3800	chr2	+	kinesin family member 5C
3UTR	NM_005336	17635	242169248	242167825	1	1	1	1	HDLBP	3069	chr2	-	high density lipoprotein binding protein
3UTR	NM_005544	29703	227659705	227600966	11	4	6	9	IRS1	3667	chr2	-	insulin receptor substrate 1
3UTR	NM_005876	32534	220357731	220357847	1	0	0	0	SPEG	10290	chr2	+	SPEG complex locus
3UTR	NM_005911	35091	85770848	85771875	0	0	0	1	MAT2A	4144	chr2	+	methionine adenosyltransferase 2A
3UTR	NM_006857	51948	70131557	70131644	8	3	1	11	SNRNP27	11017	chr2	+	small nuclear ribonucleoprotein U4/U6.U5 subunit 27
3UTR	NM_007046	56637	27308901	27308960	0	0	0	1	EMILIN1	11117	chr2	+	elastin microfibril interfacer 1
3UTR	NM_012205	40168	42994547	42994287	1	0	0	0	HAAO	23498	chr2	-	3-hydroxyanthranilate 3,4-dioxygenase
3UTR	NM_014171	33953	46851368	46851924	0	0	1	0	CRIPT	9419	chr2	+	CXXC repeat containing interactor of PDZ3 domain
3UTR	NM_014362	7162	191069842	191069528	0	0	0	2	HIBCH	26275	chr2	-	3-hydroxyisobutyryl-CoA hydrolase
3UTR	NM_014369	48664	131130793	131132239	0	7	0	1	PTPN18	26469	chr2	+	protein tyrosine phosphatase, non-receptor type 18
3UTR	NM_014369	48664	131130793	131132655	0	0	1	0	PTPN18	26469	chr2	+	protein tyrosine phosphatase, non-receptor type 18
3UTR	NM_014369	48664	131132490	131132655	0	0	0	1	PTPN18	26469	chr2	+	protein tyrosine phosphatase, non-receptor type 18
3UTR	NM_014553	26358	122168442	121981761	2	0	0	0	TFCP2L1	29842	chr2	-	transcription factor CP2 like 1
3UTR	NM_014607	54583	136540453	136541079	1	2	1	0	UBXN4	23190	chr2	+	UBX domain protein 4
3UTR	NM_014607	54583	136540465	136541079	0	2	0	0	UBXN4	23190	chr2	+	UBX domain protein 4
3UTR	NM_014614	54580	54093222	54092289	0	0	0	1	PSME4	23198	chr2	-	proteasome activator subunit 4
3UTR	NM_014614	54580	54093222	54092710	8	10	4	9	PSME4	23198	chr2	-	proteasome activator subunit 4
3UTR	NM_014911	50022	69689050	69688414	0	0	0	1	AAK1	22848	chr2	-	AP2 associated kinase 1
3UTR	NM_014911	50022	69692571	69689115	0	0	1	0	AAK1	22848	chr2	-	AP2 associated kinase 1
3UTR	NM_014911	50022	69732701	69693683	1	1	0	0	AAK1	22848	chr2	-	AP2 associated kinase 1
3UTR	NM_015131	17577	28961731	29170731	1	0	0	0	WDR43	23160	chr2	+	WD repeat domain 43
3UTR	NM_015320	15040	131803861	131803911	0	0	1	0	ARHGEF4	50649	chr2	+	Rho guanine nucleotide exchange factor 4
3UTR	NM_016441	39214	36627660	36776763	0	0	0	1	CRIM1	51232	chr2	+	cysteine rich transmembrane BMP regulator 1
3UTR	NM_016510	57972	239007201	239007230	1	0	4	0	SCLY	51540	chr2	+	selenocysteine lyase
3UTR	NM_017727	8182	27258596	27264473	0	0	0	1	TMEM214	54867	chr2	+	transmembrane protein 214
3UTR	NM_017727	8182	27263822	27264148	0	0	1	0	TMEM214	54867	chr2	+	transmembrane protein 214
3UTR	NM_017933	2110	229890288	229889615	1	0	0	0	PID1	55022	chr2	-	phosphotyrosine interaction domain containing 1
3UTR	NM_021095	1180	27422973	27422705	0	1	0	0	SLC5A6	8884	chr2	-	solute carrier family 5 member 6
3UTR	NM_021141	27913	217070441	217070884	1	0	0	0	XRCC5	7520	chr2	+	X-ray repair cross complementing 5
3UTR	NM_021141	27913	217070441	217070890	0	0	2	0	XRCC5	7520	chr2	+	X-ray repair cross complementing 5
3UTR	NM_021925	26416	20885307	20884683	2	0	0	2	LDAH	60526	chr2	-	lipid droplet associated hydrolase
3UTR	NM_022648	54966	218931940	218664961	0	0	1	0	TNS1	7145	chr2	-	tensin 1
3UTR	NM_023083	15684	241538123	241538219	0	0	1	0	CAPN10	11132	chr2	+	calpain 10
3UTR	NM_024293	15357	220047309	220048002	1	1	2	0	RETREG2	79137	chr2	+	reticulophagy regulator family member 2
3UTR	NM_024322	24416	25040710	25042223	1	2	0	7	CENPO	79172	chr2	+	centromere protein O
3UTR	NM_032144	34014	130453349	130740058	0	0	0	1	RAB6C	84084	chr2	+	RAB6C, member RAS oncogene family
3UTR	NM_032494	35081	112988480	112974045	0	6	3	2	ZC3H8	84524	chr2	-	zinc finger CCCH-type containing 8
3UTR	NM_032515	17506	242512000	242512119	0	1	0	0	BOK	666	chr2	+	BOK, BCL2 family apoptosis regulator
3UTR	NM_032546	152	27529410	27529755	0	2	0	0	TRIM54	57159	chr2	+	tripartite motif containing 54
3UTR	NM_033109	13413	55863447	55862713	1	0	0	0	PNPT1	87178	chr2	-	polyribonucleotide nucleotidyltransferase 1
3UTR	NM_052905	28074	153505950	153506005	0	1	0	0	FMNL2	114793	chr2	+	formin like 2
3UTR	NM_133478	14240	74448561	74445919	1	0	1	0	SLC4A5	57835	chr2	-	solute carrier family 4 member 5
3UTR	NM_134442	28860	208462207	208463804	2	0	1	0	CREB1	1385	chr2	+	cAMP responsive element binding protein 1
3UTR	NM_138623	13076	111907724	111921710	1	1	0	5	BCL2L11	10018	chr2	+	BCL2 like 11
3UTR	NM_138623	13076	111911481	111921710	0	0	2	0	BCL2L11	10018	chr2	+	BCL2 like 11
3UTR	NM_144575	46393	30953596	30946102	0	2	0	0	CAPN13	92291	chr2	-	calpain 13
3UTR	NM_144711	46380	170606609	170606614	0	0	1	1	KLHL23	151230	chr2	+	kelch like family member 23
3UTR	NM_145212	26476	99812219	99813495	0	0	0	1	MRPL30	51263	chr2	+	mitochondrial ribosomal protein L30
3UTR	NM_145212	26476	99812219	99813617	0	0	1	2	MRPL30	51263	chr2	+	mitochondrial ribosomal protein L30
3UTR	NM_145236	36280	232263627	232264039	0	0	0	1	B3GNT7	93010	chr2	+	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7
3UTR	NM_147223	20132	24985645	24991090	4	1	1	1	NCOA1	8648	chr2	+	nuclear receptor coactivator 1
3UTR	NM_147223	20132	24985645	24991093	2	0	0	0	NCOA1	8648	chr2	+	nuclear receptor coactivator 1
3UTR	NM_147223	20132	24991004	24991090	7	4	12	6	NCOA1	8648	chr2	+	nuclear receptor coactivator 1
3UTR	NM_147223	20132	24991004	24991093	5	2	5	1	NCOA1	8648	chr2	+	nuclear receptor coactivator 1
3UTR	NM_152391	64180	11318234	11318246	0	1	9	15	PQLC3	130814	chr2	+	PQ loop repeat containing 3
3UTR	NM_152945	8689	178990911	178994124	4	14	4	22	RBM45	129831	chr2	+	RNA binding motif protein 45
3UTR	NM_153712	47098	113278002	113289735	1	0	0	0	TTL	150465	chr2	+	tubulin tyrosine ligase
3UTR	NM_153712	47098	113286505	113289735	0	0	0	1	TTL	150465	chr2	+	tubulin tyrosine ligase
3UTR	NM_172101	56199	87072045	87042841	1	0	0	0	CD8B	926	chr2	-	CD8b molecule
3UTR	NM_173074	26623	46815214	46808730	4	3	0	0	PIGF	5281	chr2	-	phosphatidylinositol glycan anchor biosynthesis class F
3UTR	NM_173074	26623	46818957	46808730	0	0	0	1	PIGF	5281	chr2	-	phosphatidylinositol glycan anchor biosynthesis class F
3UTR	NM_173074	26623	46819614	46808730	1	8	3	5	PIGF	5281	chr2	-	phosphatidylinositol glycan anchor biosynthesis class F
3UTR	NM_198581	63894	113089859	113091554	3	0	0	0	ZC3H6	376940	chr2	+	zinc finger CCCH-type containing 6
3UTR	NM_201594	2847	85663717	85663960	0	1	0	1	SH2D6	284948	chr2	+	SH2 domain containing 6
3UTR	NM_206876	24137	29025545	29025570	0	0	0	1	PPP1CB	5500	chr2	+	protein phosphatase 1 catalytic subunit beta
5UTR	NM_000104	69939	38302923	38302532	4	0	0	0	CYP1B1	1545	chr2	-	cytochrome P450 family 1 subfamily B member 1
5UTR	NM_000575	69548	113542020	113541355	0	1	0	0	IL1A	3552	chr2	-	interleukin 1 alpha
5UTR	NM_000576	69547	113594285	113593821	0	1	0	1	IL1B	3553	chr2	-	interleukin 1 beta
5UTR	NM_000634	69490	219031631	219029967	0	0	0	1	CXCR1	3577	chr2	-	C-X-C motif chemokine receptor 1
5UTR	NM_000817	69054	171673558	171675039	0	1	0	9	GAD1	2571	chr2	+	glutamate decarboxylase 1
5UTR	NM_000817	69054	171673926	171675039	0	0	0	1	GAD1	2571	chr2	+	glutamate decarboxylase 1
5UTR	NM_001001521	68129	64068366	64083440	60	52	47	26	UGP2	7360	chr2	+	UDP-glucose pyrophosphorylase 2
5UTR	NM_001001521	68129	64069338	64083440	4	10	0	14	UGP2	7360	chr2	+	UDP-glucose pyrophosphorylase 2
5UTR	NM_001001521	68129	64069733	64083440	4	3	1	0	UGP2	7360	chr2	+	UDP-glucose pyrophosphorylase 2
5UTR	NM_001001664	68875	139259689	139307727	10	2	2	0	SPOPL	339745	chr2	+	speckle type BTB/POZ protein like
5UTR	NM_001002919	67939	288553	287892	1	0	0	0	ALKAL2	285016	chr2	-	ALK and LTK ligand 2
5UTR	NM_001006635	67610	177134397	177134944	4	4	2	2	MTX2	10651	chr2	+	metaxin 2
5UTR	NM_001006946	68287	20425023	20424847	0	9	0	3	SDC1	6382	chr2	-	syndecan 1
5UTR	NM_001008387	31689	79252899	79253209	1	15	0	0	REG3G	130120	chr2	+	regenerating family member 3 gamma
5UTR	NM_001011	68002	3622940	3623182	3	16	2	15	RPS7	6201	chr2	+	ribosomal protein S7
5UTR	NM_001011	68002	3622940	3623191	4	7	10	12	RPS7	6201	chr2	+	ribosomal protein S7
5UTR	NM_001011	68002	3623038	3623182	2	6	3	1	RPS7	6201	chr2	+	ribosomal protein S7
5UTR	NM_001011	68002	3623038	3623191	1	0	0	0	RPS7	6201	chr2	+	ribosomal protein S7
5UTR	NM_001024680	66548	68693276	68692310	0	0	1	0	FBXO48	554251	chr2	-	F-box protein 48
5UTR	NM_001024680	66548	68694343	68693602	1	1	0	0	FBXO48	554251	chr2	-	F-box protein 48
5UTR	NM_001031738	66337	85829730	85829187	1	1	2	0	TMEM150A	129303	chr2	-	transmembrane protein 150A
5UTR	NM_001039348	66927	56150034	56149582	7	0	0	0	EFEMP1	2202	chr2	-	EGF containing fibulin extracellular matrix protein 1
5UTR	NM_001039348	66927	56150846	56149582	11	1	0	0	EFEMP1	2202	chr2	-	EGF containing fibulin extracellular matrix protein 1
5UTR	NM_001039348	66927	56150846	56150074	6	1	0	0	EFEMP1	2202	chr2	-	EGF containing fibulin extracellular matrix protein 1
5UTR	NM_001039538	67481	210372365	210444760	0	0	1	0	MAP2	4133	chr2	+	microtubule associated protein 2
5UTR	NM_001039538	67481	210444824	210489777	3	0	0	0	MAP2	4133	chr2	+	microtubule associated protein 2
5UTR	NM_001039538	67481	210489853	210517866	1	0	0	0	MAP2	4133	chr2	+	microtubule associated protein 2
5UTR	NM_001039550	39481	220144240	220144520	15	18	14	5	DNAJB2	3300	chr2	+	DnaJ heat shock protein family (Hsp40) member B2
5UTR	NM_001040142	66628	166150645	166152283	1	0	1	0	SCN2A	6326	chr2	+	sodium voltage-gated channel alpha subunit 2
5UTR	NM_001042521	65538	191045835	191064423	3	3	0	0	C2orf88	84281	chr2	+	chromosome 2 open reading frame 88
5UTR	NM_001042521	65538	191045854	191064423	1	0	0	0	C2orf88	84281	chr2	+	chromosome 2 open reading frame 88
5UTR	NM_001042521	65538	191046135	191064423	1	0	0	0	C2orf88	84281	chr2	+	chromosome 2 open reading frame 88
5UTR	NM_001077198	29279	220093156	220092775	5	3	2	0	ATG9A	79065	chr2	-	autophagy related 9A
5UTR	NM_001077198	29279	220093732	220092775	1	1	0	0	ATG9A	79065	chr2	-	autophagy related 9A
5UTR	NM_001077198	29279	220093732	220093204	1	0	0	0	ATG9A	79065	chr2	-	autophagy related 9A
5UTR	NM_001077198	29279	220093732	220093207	3	3	0	0	ATG9A	79065	chr2	-	autophagy related 9A
5UTR	NM_001077198	29279	220094257	220092775	0	1	0	0	ATG9A	79065	chr2	-	autophagy related 9A
5UTR	NM_001077198	29279	220094257	220093207	1	3	0	0	ATG9A	79065	chr2	-	autophagy related 9A
5UTR	NM_001077269	66078	175462329	175450339	0	1	0	0	WIPF1	7456	chr2	-	WAS/WASL interacting protein family member 1
5UTR	NM_001077269	66078	175547502	175450339	10	0	1	1	WIPF1	7456	chr2	-	WAS/WASL interacting protein family member 1
5UTR	NM_001079	66442	98330457	98340479	0	1	0	0	ZAP70	7535	chr2	+	zeta chain of T cell receptor associated protein kinase 70
5UTR	NM_001079526	66438	214014868	214013368	0	2	0	0	IKZF2	22807	chr2	-	IKAROS family zinc finger 2
5UTR	NM_001080475	56918	208890113	208866681	3	1	0	1	PLEKHM3	389072	chr2	-	pleckstrin homology domain containing M3
5UTR	NM_001080527	66316	128293407	128317275	0	7	0	5	MYO7B	4648	chr2	+	myosin VIIB
